x;y;z;a;index
0.009;-0.006;9.824;9.824;0.097
0.004;-0.006;9.843;9.843;0.092
-0.001;0.008;9.810;9.810;0.098
0.028;0.003;9.805;9.805;0.099
0.011;-0.002;9.805;9.805;0.099
0.011;-0.006;9.827;9.827;0.098
0.009;-0.002;9.817;9.817;0.097
0.016;-0.002;9.810;9.810;0.097
0.006;-0.002;9.805;9.805;0.097
0.016;-0.018;9.822;9.822;0.099
0.006;-0.002;9.817;9.817;0.099
0.854;4.033;8.895;9.804;1.110
0.823;4.042;8.946;9.851;1.031
0.897;4.074;8.910;9.838;1.000
0.916;4.064;8.857;9.788;0.971
0.849;3.695;8.476;9.286;1.003
1.788;3.346;8.416;9.232;1.332
4.974;4.028;13.825;15.235;6.446
11.851;10.241;20.632;25.904;13.182
2.247;-3.622;-0.021;4.262;29.744
1.258;-3.219;0.247;3.465;29.764
2.400;-3.399;0.221;4.167;29.785
-9.195;-0.207;21.369;23.265;38.458
0.083;0.128;10.854;10.855;40.936
0.296;-0.059;9.927;9.932;40.947
0.578;0.077;9.877;9.894;40.948
0.557;0.104;9.848;9.864;40.948
0.552;0.087;9.810;9.826;40.947
0.555;0.080;9.827;9.843;40.947
0.559;0.092;9.831;9.848;40.947
0.574;0.099;9.839;9.856;40.947
0.566;0.087;9.839;9.855;40.947
0.564;0.082;9.815;9.831;40.946
0.562;0.094;9.803;9.819;40.946
0.555;0.087;9.815;9.831;40.943
0.559;0.113;9.822;9.838;40.931
0.571;0.085;9.819;9.836;40.441
0.574;0.087;9.831;9.849;38.771
0.564;0.082;9.819;9.836;28.147
0.555;0.097;9.831;9.848;28.126
0.569;0.089;9.807;9.824;28.102
0.581;0.097;9.817;9.835;14.065
0.564;0.092;9.807;9.824;1.025
0.564;0.097;9.815;9.831;0.333
0.538;0.109;9.831;9.847;0.106
0.559;0.049;9.784;9.800;0.125
0.571;0.094;9.815;9.832;0.130
0.562;0.092;9.803;9.819;0.130
0.562;0.092;9.772;9.788;0.133
0.499;0.082;9.810;9.823;0.151
0.449;0.128;9.829;9.840;0.166
0.411;0.111;9.839;9.848;0.170
0.461;0.118;9.812;9.824;0.178
0.396;0.104;9.863;9.871;0.196
