x;y;z;a
-21.083;3.603;-13.286;25.180
-3.060;3.536;5.867;7.503
-4.046;0.003;7.792;8.780
-2.428;4.465;7.524;9.080
0.503;5.030;0.523;5.082
6.306;17.212;-7.464;19.792
6.115;5.059;-0.300;7.942
9.763;9.053;-4.131;13.941
5.703;6.898;-0.042;8.950
3.337;6.754;-6.640;10.042
2.610;0.951;-6.889;7.428
5.224;6.409;-3.537;8.993
-4.391;9.503;-6.697;12.427
9.802;6.160;-3.901;12.217
6.651;2.684;-5.414;8.986
9.869;4.178;-7.512;13.087
13.632;-4.163;-5.108;15.142
7.915;2.330;-3.212;8.854
6.814;7.444;1.203;10.163
10.137;-7.850;-3.010;13.170
5.665;8.574;2.764;10.641
9.754;5.222;2.056;11.253
6.536;2.636;8.070;10.714
2.131;11.552;0.504;11.758
-0.187;9.014;6.193;10.938
4.965;0.175;-8.077;9.482
23.228;20.095;11.795;32.901
14.638;-5.035;-4.495;16.119
8.892;-3.397;-2.541;9.852
22.414;38.329;-8.019;45.120
-9.993;13.123;-1.737;16.586
23.803;20.669;-12.348;33.857
-1.786;-12.323;-2.081;12.624
14.351;32.219;3.128;35.409
-0.388;7.329;2.027;7.614
8.758;7.118;1.270;11.357
8.231;2.033;2.037;8.720
5.358;2.560;5.752;8.267
6.392;1.046;4.737;8.025
5.157;5.145;6.135;9.524
8.001;-7.487;7.687;13.385
2.523;1.602;8.961;9.446
0.780;9.158;0.476;9.203
1.221;4.379;-0.415;4.565
-1.796;10.010;0.715;10.195
5.454;-1.329;14.276;15.340
3.299;1.765;6.921;7.867
6.153;-3.177;-1.679;7.125
16.180;3.603;5.245;17.386
5.607;2.636;5.494;8.281
5.732;-1.731;1.989;6.309
15.644;3.785;9.162;18.520
-9.725;21.464;8.185;24.946
2.772;0.510;4.316;5.155
7.848;3.278;-1.631;8.660
7.092;5.040;-0.702;8.728
10.261;2.991;-0.434;10.697
6.153;1.190;-3.202;7.038
10.798;6.438;-3.796;13.132
8.193;4.791;-2.627;9.848
7.139;7.731;-1.947;10.702
7.408;8.995;-0.348;11.658
4.784;0.491;-2.924;5.628
9.246;5.050;-1.986;10.721
9.419;4.121;-0.808;10.312
6.364;6.007;-2.110;9.002
5.923;6.409;-3.116;9.267
6.613;6.563;-3.087;9.815
5.952;7.070;-2.378;9.543
6.555;4.417;0.839;7.949
6.555;4.417;0.839;7.949
6.431;2.617;-1.382;7.079
5.693;5.231;-3.307;8.410
6.115;6.802;-3.087;9.653
