x,y;z;a;Unnamed: 3
3.06;4.35;8.625;10.133
3.05;0.357;9.564;10.045
1.441;-2.689;12.293;12.666
3.615;1.535;6.681;7.75
-1.164;0.127;5.494;5.617
-0.532;6.141;6.49;8.951
1.48;0.577;9.325;9.459
-5.167;1.075;7.677;9.316
-3.251;2.186;8.204;9.092
-4.956;3.048;7.821;9.748
-4.592;2.627;8.233;9.786
-3.194;1.698;9.315;9.993
-3.079;1.592;8.874;9.527
-3.587;2.493;8.587;9.634
-2.983;1.621;8.74;9.377
-2.993;2.109;8.779;9.512
-2.859;2.378;8.731;9.49
-2.993;2.224;8.625;9.397
-2.897;2.263;8.894;9.623
-3.117;2.176;8.683;9.479
-3.031;3.431;8.434;9.596
-4.152;1.161;9.803;10.709
-3.232;1.746;8.453;9.217
-2.907;1.918;9.018;9.667
-2.686;2.828;8.587;9.431
