x,y;z;a;Unnamed: 3
-0.043;-2.641;4.756;5.44
-1.805;-17.255;-2.838;17.58
3.855;-13.788;-0.808;14.339
0.302;-9.862;10.857;14.67
1.441;-23.556;7.754;24.842
-5.483;6.342;-5.769;10.177
-6.402;-4.91;4.737;9.356
-0.445;-3.723;13.318;13.836
2.131;-5.791;6.442;8.921
7.206;-5.849;3.732;10.003
6.699;-8.291;3.329;11.167
4.745;6.457;0.514;8.03
13.498;1.841;8.664;16.145
9.026;1.918;3.301;9.8
10.415;0.558;11.269;15.354
5.665;-2.727;3.109;7.014
5.483;-2.899;7.141;9.458
5.483;-2.899;7.141;9.458
5.483;-2.899;7.141;9.458
5.483;-2.899;7.141;9.458
5.483;-2.899;7.141;9.458
5.387;-3.244;7.064;9.458
5.071;-3.187;7.093;9.283
5.205;-3.091;7.141;9.362
5.425;-3.129;6.921;9.334
