x,y;z;a;
28.390;12.979;-1.267;31.242
9.955;11.581;1.414;15.337
15.931;1.765;-2.235;16.183
7.810;-1.060;-2.196;8.182
8.260;0.893;-2.589;8.702
12.502;0.874;2.372;12.755
10.328;2.023;0.217;10.527
12.253;1.966;-2.283;12.618
6.785;-0.917;-2.311;7.226
8.471;3.469;-0.999;9.208
11.439;1.171;4.345;12.293
10.060;0.769;-0.204;10.092
10.903;0.702;-3.116;11.361
7.695;1.037;-2.560;8.176
7.120;0.893;-3.231;7.870
10.855;-0.610;-0.224;10.875
10.376;1.295;3.119;10.912
15.701;2.655;-3.710;16.350
8.911;0.596;-2.292;9.220
7.858;-0.773;-3.681;8.711
17.071;3.728;-0.300;17.475
9.304;4.982;2.812;10.922
15.615;2.109;-3.968;16.249
4.640;-0.026;-1.794;4.975
8.614;0.357;-2.541;8.988
14.456;3.498;2.008;15.008
14.763;19.539;-5.759;25.157
4.851;5.059;-2.579;7.468
6.498;3.498;-0.195;7.382
10.194;12.309;2.669;16.203
11.612;3.412;0.150;12.104
11.612;3.412;0.150;12.104
5.789;2.119;-0.980;6.242
11.516;3.862;-1.258;12.211
8.844;1.420;-1.880;9.153
8.911;1.401;-0.185;9.022
11.200;3.220;-0.319;11.658
8.068;2.780;-0.128;8.535
8.068;2.780;-0.128;8.535
8.068;2.780;-0.128;8.535
8.068;2.780;-0.128;8.535
8.068;2.780;-0.128;8.535
10.223;3.450;-1.220;10.858
8.394;3.297;-3.403;9.639
7.973;6.256;-0.769;10.163
7.341;2.033;-1.488;7.761
7.341;2.033;-1.488;7.761
7.341;2.033;-1.488;7.761
7.341;2.033;-1.488;7.761
7.341;2.033;-1.488;7.761
7.341;2.033;-1.488;7.761
7.341;2.033;-1.488;7.761
-3.587;24.059;-3.422;24.565
-2.457;1.305;3.195;4.237
-4.075;-2.478;7.476;8.868
12.330;1.908;17.532;21.518
-4.927;8.306;-0.109;9.658
-4.927;8.306;-0.109;9.658
-4.927;8.306;-0.109;9.658
-4.927;8.306;-0.109;9.658
-4.927;8.306;-0.109;9.658
-2.236;12.941;1.251;13.192
-1.346;10.843;-0.406;10.934
-1.911;11.581;1.088;11.788
-1.480;8.756;1.682;9.038
0.924;13.496;1.395;13.600
0.924;13.496;1.395;13.600
0.924;13.496;1.395;13.600
0.924;13.496;1.395;13.600
0.924;13.496;1.395;13.600
0.924;13.496;1.395;13.600
0.005;9.474;2.870;9.899
-0.177;9.005;3.454;9.646
-3.424;8.670;1.529;9.446
-2.677;7.271;2.190;8.052
-3.079;9.685;6.768;12.210
-2.725;9.733;7.476;12.571
-3.711;7.051;4.517;9.159
27.921;6.898;-3.480;28.970
7.551;11.629;2.812;14.148
20.106;4.657;-2.790;20.826
12.435;4.216;-4.399;13.848
-1.853;2.761;7.151;7.886
-2.294;0.414;5.733;6.189
-4.812;3.067;7.840;9.697
-7.523;7.290;5.187;11.690
-1.374;0.443;7.505;7.643
5.933;-0.313;2.420;6.415
27.586;9.570;-2.168;29.279
11.047;6.678;4.565;13.692
16.659;0.864;-5.108;17.446
5.894;-0.716;-3.757;7.027
7.666;1.755;0.839;7.909
12.876;5.097;-1.382;13.917
9.227;-0.007;3.751;9.960
9.179;4.810;-1.641;10.492
16.659;4.092;-2.972;17.410
