x;y;z;a
-3.127;-0.084;10.474;10.931
-2.016;-2.162;11.067;11.455
-4.286;-0.189;9.401;10.334
-2.648;1.037;9.143;9.575
-4.132;2.521;9.583;10.736
-6.01;2.244;8.329;10.512
-5.081;0.568;9.775;11.031
-3.749;0.453;9.794;10.497
-2.045;-3.512;8.482;9.405
-1.307;-4.499;9.526;10.615
-3.529;-3.474;9.219;10.465
-1.968;-4.566;9.277;10.525
-2.591;-3.704;9.66;10.665
-3.836;-3.972;10.033;11.452
-2.926;-3.474;8.961;10.046
-3.05;0.721;6.988;7.659
-5.425;2.454;7.371;9.476
-5.358;2.636;7.62;9.681
-3.625;4.877;6.988;9.26
-3.855;5.729;6.25;9.314
-6.306;7.683;7.208;12.278
-3.146;6.716;4.565;8.709
-3.395;6.534;3.004;7.952
-4.899;9.397;4.546;11.531
-4.449;7.75;2.439;9.263
