x;y;z;a
-2.179;3.431;-6.554;7.712
0.244;3.527;-5.567;6.595
3.711;2.521;-5.29;6.936
3.577;6.18;-1.976;7.409
2.897;6.888;-6.267;9.752
1.997;6.275;-6.63;9.345
2.179;5.892;-5.95;8.653
2.485;6.946;-5.299;9.083
4.008;7.262;-3.001;8.82
4.506;6.017;-4.993;9.024
0.991;7.549;-6.161;9.794
2.428;5.825;-4.935;8.012
8.202;0.213;-3.547;8.939
-7.657;11.543;-6.152;15.156
3.893;6.84;-5.634;9.679
2.255;8.66;-6.63;11.138
4.544;5.806;-6.372;9.745
1.91;6.084;-6.583;9.165
2.476;6.936;-7.186;10.29
0.761;5.231;-5.989;7.988
3.749;6.505;-7.272;10.453
1.029;9.11;-6.267;11.105
3.826;2.454;-1.708;4.856
1.345;6.639;-5.73;8.873
2.15;6.754;-5.692;9.091
