x;y;z;a
0;0;0;0
6.173816;-25.479591;-1.068962;26.238679
6.326816;-5.271592;4.331038;9.304632
9.678816;-4.562592;5.308038;11.944538
7.935816;-2.264592;5.940038;10.168067
6.345816;-0.904592;5.883038;8.700449
6.709816;2.619408;5.729038;9.203522
10.808816;6.909408;10.576038;16.625974
6.230816;0.359408;7.013038;9.388021
3.357816;-0.367592;6.802038;7.594588
6.288816;4.419408;8.583038;11.521672
5.732816;-0.406592;7.051038;9.096573
6.020816;0.378408;8.469038;10.397982
3.434816;-2.972592;8.871037;9.966422
3.625816;-8.221592;7.473038;11.687062
0.101816;-7.110592;6.955038;9.947032
-2.004184;-7.723592;4.848038;9.336707
-1.621184;-5.501592;2.990038;6.468081
0.925816;-8.795591;7.798038;11.791054
1.365816;-8.297592;6.438038;10.590742
2.782816;-4.466592;6.055038;8.022343
5.866816;-3.643592;4.063038;8.012713
5.464816;-3.279592;3.661038;7.350043
8.127816;-1.172592;2.952038;8.726448
11.842816;-0.559592;1.841038;11.998119
10.023816;-2.647592;1.573038;10.486233
12.436816;2.025408;2.512038;12.848619
