x;y;z;a;s
0;0;0;0;0
26.266817;-6.631592;-2.505962;27.206682;shock no free fall check for stasis
0.484816;-8.929592;1.956038;9.154166;stasis
6.843816;-12.626592;1.535038;14.443856;stasis
5.368816;-12.684591;-0.417962;13.780339;stasis
0.886816;-9.006592;-0.819962;9.087215;stasis
1.691816;-7.818592;0.654038;8.026231;stasis
-2.483184;-4.715592;1.630038;5.573153;stasis
2.514816;-5.884592;2.703038;6.946879;stasis
4.238816;-11.151591;4.101038;12.615231;stasis
3.434816;-8.010592;4.063038;9.616436;stasis
4.238816;-8.450592;2.320038;9.734611;stasis
3.721816;-8.680592;0.864038;9.484258;stasis
3.146816;-10.730592;-2.103962;11.378695;stasis
4.832816;-8.374592;-2.984962;10.119283;stasis
4.430816;-7.052592;-1.432962;8.451305;stasis
5.273816;-8.221592;-3.271962;10.301138;stasis
6.364816;-13.028592;-2.103962;14.652022;stasis
-2.062184;-7.416592;-0.551962;7.717713;stasis
-6.582184;-8.910592;2.167038;11.288040;stasis
-3.556184;1.412408;4.235038;5.707616;stasis
-7.904184;-0.846592;7.607038;11.002721;stasis
-5.931184;-2.455592;7.607038;9.953688;stasis
-4.571184;-1.248592;8.737038;9.939342;stasis
-3.958184;-3.604592;8.967038;10.443566;stasis
-4.303184;-2.034592;7.875038;9.201803;stasis
-4.207184;-0.272592;8.162038;9.186597;stasis
