x;y;z;a;s
0;0;0;0;0
-7.482184;-25.900591;-12.906962;29.890021;shock no free fall check for stasis
-6.524184;-0.367592;0.903038;6.596634;stasis
-0.644184;-11.630591;-1.911962;11.804289;stasis
-9.953184;-8.355592;-3.003962;13.338125;stasis
-3.881184;-0.999592;-2.122962;4.535387;stasis
-5.931184;-6.114592;0.692038;8.546700;stasis
-8.804184;-6.784592;-4.593962;12.027004;stasis
-6.275184;-3.624592;0.903038;7.302813;stasis
-8.019183;-6.554592;-0.321962;10.362125;stasis
-5.873184;-6.286592;2.090038;8.853461;stasis
-7.195184;-4.083592;-0.302962;8.278779;stasis
-6.735184;-5.654592;-0.340962;8.800759;stasis
-5.969184;-6.995592;-0.858962;9.236194;stasis
-3.651184;-8.316592;-0.245962;9.086107;stasis
-4.954184;-8.987592;-0.321962;10.267638;stasis
-5.471184;-1.440592;0.385038;5.670750;stasis
-6.812184;-11.553592;-2.716962;13.684780;stasis
-5.222184;-6.880592;0.194038;8.640104;stasis
-7.578184;1.086408;9.350038;12.084385;stasis
-3.517184;-0.808592;5.729038;6.770988;stasis
-6.524184;0.991408;10.461038;12.368556;stasis
-10.643184;-3.451592;10.097038;15.071199;stasis
-8.248184;0.090408;2.531038;8.628260;stasis
-3.632184;-2.551592;8.258038;9.375423;stasis
-4.149184;-1.402592;5.902038;7.349629;stasis
-6.697184;-6.650592;5.576038;10.962429;stasis
