x;y;z;a;s
0;0;0;0;0
8.548817;3.481408;23.083038;24.860192;shock no free fall check for stasis
0.541816;1.546408;-0.532962;1.723076;stasis
5.981816;4.860408;4.446038;8.897918;stasis
5.790816;7.599408;-9.726962;13.634454;stasis
7.245816;4.458408;3.986038;9.395092;stasis
6.824816;5.817408;-3.961962;9.803953;stasis
6.728816;5.741408;-3.558962;9.534513;stasis
6.709816;5.760408;-3.597962;9.547213;stasis
6.709816;5.817408;-3.654962;9.603261;stasis
6.709816;5.837408;-3.692962;9.629898;stasis
6.728816;5.837408;-3.712962;9.650823;stasis
6.728816;5.837408;-3.673962;9.635886;stasis
6.690816;5.817408;-3.692962;9.604542;stasis
6.728816;5.817408;-3.673962;9.623783;stasis
6.728816;5.817408;-3.673962;9.623783;stasis
6.709816;5.817408;-3.673962;9.610508;stasis
6.728816;5.817408;-3.673962;9.623783;stasis
6.709816;5.817408;-3.654962;9.603261;stasis
6.709816;5.817408;-3.654962;9.603261;stasis
6.728816;5.837408;-3.673962;9.635886;stasis
6.728816;5.817408;-3.673962;9.623783;stasis
6.728816;5.817408;-3.673962;9.623783;stasis
6.709816;5.837408;-3.692962;9.629898;stasis
6.709816;5.837408;-3.673962;9.622628;stasis
6.728816;5.837408;-3.673962;9.635886;stasis
6.709816;5.817408;-3.692962;9.617788;stasis
