x;y;z;a;s
0;0;0;0;0
-24.721182;-1.574592;1.669038;24.827442;shock no free fall check for stasis
6.269816;-10.059591;11.074038;16.221599;stasis
-1.640184;-7.608592;6.553038;10.174634;stasis
-6.927184;-6.458592;-4.286962;10.396025;stasis
-9.053184;-13.316592;2.799038;16.344001;stasis
-3.709184;-6.995592;5.844038;9.841195;stasis
0.273816;-17.664591;0.060038;17.666815;stasis
-0.223184;-10.232592;-0.455962;10.245177;stasis
-7.233184;-16.246592;-3.961962;18.219984;stasis
-5.663184;-10.059591;4.293038;12.316542;stasis
-7.865184;1.259408;4.178038;8.994622;stasis
-7.061184;-2.015592;7.741038;10.669892;stasis
-6.275184;-3.509592;9.924038;12.254864;stasis
-16.734182;4.017408;8.775038;19.317705;stasis
1.614816;1.623408;10.710038;10.952078;stasis
-5.471184;1.795408;6.400038;8.609171;stasis
-4.456184;-3.700592;10.020038;11.573811;stasis
-6.065184;-3.106592;4.829038;8.352064;stasis
-4.532184;-3.298592;7.147038;9.083036;stasis
-4.954184;-6.554592;6.419038;10.426440;stasis
-4.820184;-6.037592;7.377038;10.682105;stasis
-5.643184;-5.156592;6.821038;10.245122;stasis
-4.820184;-5.769592;7.549038;10.654123;stasis
-5.931184;-3.279592;7.434038;10.059800;stasis
-5.184184;-4.217592;8.181038;10.563769;stasis
-5.567184;-1.057592;4.235038;7.074432;stasis
