x;y;z;a;s
0;0;0;0;0
19.217817;-36.607594;-33.765965;53.381465;shock no free fall check for stasis
3.357816;-5.328592;-6.508962;9.057340;stasis
1.844816;-4.543592;-7.293962;8.789167;stasis
0.005816;-5.290592;-8.749962;10.225078;stasis
-0.204184;-0.501592;-11.450962;11.463761;stasis
1.308816;-1.076592;-9.036963;9.194495;stasis
5.541816;-1.555592;-11.009962;12.423802;stasis
-1.966184;4.764408;0.060038;5.154519;stasis
-1.142184;3.825408;9.445038;10.254125;stasis
-2.215184;5.070408;9.005038;10.569143;stasis
-0.261184;1.795408;12.108038;12.243214;stasis
-0.644184;2.504408;11.323038;11.614569;stasis
-2.502184;-4.562592;8.813038;10.234637;stasis
-1.698184;2.925408;4.542038;5.663210;stasis
-4.647184;0.071408;13.679038;14.447058;stasis
-3.805184;-5.079592;12.108038;13.670635;stasis
-1.813184;-1.229592;9.158038;9.416432;stasis
-0.491184;-1.976592;9.005038;9.232491;stasis
0.043816;4.228408;4.714038;6.332733;stasis
11.134816;13.173409;4.025038;17.712249;stasis
3.664816;5.396408;7.913038;10.255158;stasis
7.035816;4.764408;7.319038;11.214750;stasis
1.748816;-0.043592;12.184038;12.308982;stasis
-12.098184;-18.047592;-4.210962;22.131738;stasis
0.120816;-0.521592;8.373038;8.390139;stasis
-0.644184;-3.777592;11.514038;12.135001;stasis
