x;y;z;a;s
0;0;0;0;0
;shock no free fall check for stasis
9.065816;-1.459592;10.671038;14.078014;stasis
7.609816;-2.742592;7.281038;10.883227;stasis
7.207816;1.699408;5.193038;9.044791;stasis
5.522816;4.668408;5.461038;9.061924;stasis
4.679816;7.484408;5.040038;10.164597;stasis
4.047816;7.101408;2.071038;8.432319;stasis
5.004816;8.039409;4.197038;10.358349;stasis
5.158816;5.741408;5.653038;9.567340;stasis
6.824816;4.707408;6.630038;10.615800;stasis
4.238816;0.263408;9.484038;10.391532;stasis
5.751816;-7.129592;9.963037;13.534275;stasis
6.173816;-3.604592;5.864038;9.246406;stasis
3.127816;-7.531592;0.941038;8.209364;stasis
4.909816;-6.995592;3.508038;9.238557;stasis
6.882816;-6.114592;2.224038;9.471417;stasis
7.054816;-8.278592;-0.781962;10.904906;stasis
9.410816;-5.079592;-1.451962;10.792308;stasis
7.648816;-8.297592;1.860038;11.437402;stasis
7.341816;-5.003592;-1.432962;8.999532;stasis
7.705816;-3.547592;-1.681962;8.648353;stasis
7.954816;-4.754592;-1.011962;9.322516;stasis
8.452816;-4.849592;-1.758962;9.902655;stasis
8.222816;-5.022592;-2.160962;9.874760;stasis
9.391816;-4.562592;-1.681962;10.576032;stasis
7.820816;-4.332592;1.879038;9.136044;stasis
