x;y;z;a;s
0;0;0;0;0
-7.559184;22.865408;-9.400962;25.852393;shock no free fall check for stasis
-0.491184;-14.676592;8.756038;17.097129;stasis
2.035816;-2.628592;3.795038;5.045429;stasis
0.331816;1.316408;-0.724962;1.539027;stasis
6.364816;3.902408;11.840038;13.997363;stasis
3.357816;-2.934592;7.089038;8.375035;stasis
2.610816;-1.134592;9.407038;9.828327;stasis
-0.261184;-0.329592;8.526038;8.536403;stasis
1.039816;0.722408;9.714038;9.796205;stasis
-0.242184;-2.991592;8.947038;9.437042;stasis
0.790816;-1.440592;9.656038;9.794885;stasis
1.250816;-0.674592;10.097038;10.196558;stasis
0.522816;-5.060592;10.882038;12.012563;stasis
1.308816;0.071408;10.116038;10.200604;stasis
0.676816;7.675408;10.748038;13.224610;stasis
-2.196184;1.680408;10.882038;11.227900;stasis
-1.180184;4.055408;7.434038;8.550093;stasis
-2.694184;2.504408;9.618038;10.297444;stasis
0.369816;1.853408;9.139038;9.332411;stasis
-2.502184;-2.302592;10.441038;10.980807;stasis
