x;y;z;a;s
-4.034184;7.216408;7.032038;10.853605;possible fall detected
-16.427183;-12.856592;-17.024963;26.925707;shock T_DURATION: 401
-6.429184;-4.773592;-2.064962;8.269562;stasis
-6.582184;-6.765592;-7.332962;11.952853;stasis
-13.171184;-7.071592;-6.700962;16.382624;stasis
-9.991183;-9.446591;-3.328962;14.147220;stasis
-6.218184;-9.044592;4.216038;11.757781;stasis
-7.559184;-7.569592;1.362038;10.784022;stasis
-7.770184;-6.765592;-0.321962;10.307892;stasis
-7.042184;-6.995592;-0.302962;9.930883;stasis
-7.597184;-6.880592;-0.207962;10.251975;stasis
-7.386184;-6.765592;0.117038;10.017117;stasis
-7.042184;-6.784592;0.347038;9.784859;stasis
-7.272184;-6.842592;0.156038;9.986494;stasis
