x;y;z;a;s
1.174816;1.220408;1.113038;2.026929;free fall
-7.137184;8.001409;-10.167962;14.776650;shock T_DURATION: 199
-13.401184;10.338408;-2.601962;17.124387;stasis
1.250816;1.508408;1.745038;2.623927;stasis
-5.433184;6.105408;-1.375962;8.287869;stasis
-6.448184;9.897408;-1.873962;11.960330;stasis
4.832816;1.872408;0.405038;5.198661;stasis
-22.518183;18.057407;-3.961962;29.134784;stasis
-0.376184;5.492408;-3.463962;6.504391;stasis
-2.770184;3.711408;2.952038;5.492085;stasis
-15.853184;-2.130592;9.273038;18.489243;stasis
-4.092184;3.059408;5.787038;7.719828;stasis
-4.379184;6.239408;11.131038;13.491014;stasis
-3.307184;3.806408;5.519038;7.475693;stasis
