x;y;z;a
0.130;1.166;-0.268;1.203
6.930;-10.441;-1.915;12.677
9.209;-12.624;-3.581;16.031
-0.980;1.242;1.360;2.086
-0.329;-0.079;-1.608;1.643
10.665;-16.321;1.532;19.557
0.992;-1.266;1.513;2.208
1.835;-33.062;-3.294;33.277
11.833;-9.368;7.853;17.013
1.049;-2.951;-0.039;3.132
0.590;-8.947;0.957;9.018
3.080;-10.441;-3.696;11.496
5.915;-20.593;-8.389;23.010
7.658;-19.980;-5.382;22.064
0.513;-15.076;1.245;15.136
1.509;-19.865;1.704;19.995
4.631;-10.920;1.187;11.921
3.118;-6.016;0.344;6.785
3.520;-11.992;-3.888;13.089
3.865;-3.411;-0.363;5.168
10.301;-3.143;2.911;11.156
1.471;-4.350;-1.455;4.817
8.271;-11.820;-0.957;14.458
20.951;-4.043;-1.934;21.425
-0.290;-1.017;-0.900;1.389
