x;y;z;a
6.796;-3.2;-4.654;8.836
8.309;-6.016;1.398;10.353
5.57;-10.824;-3.447;12.652
3.195;-9.253;-5.803;11.38
-0.501;4.307;-4.041;5.927
9.152;-3.162;-8.044;12.588
6.968;-10.173;-11.32;16.739
1.107;-0.806;3.601;3.853
3.329;-9.042;-1.647;9.775
2.812;-7.146;1.072;7.754
6.432;-29.844;-8.944;31.813
4.861;-10.326;0.996;11.457
7.543;-18.964;-3.39;20.689
4.497;-7.529;-2.336;9.076
4.344;-6.093;-6.263;9.758
5.876;-11.303;-3.696;13.265
5.129;-9.54;-3.773;11.47
4.631;-8.583;-5.248;11.075
4.765;-7.683;-4.999;10.331
4.44;-7.893;-3.888;9.856
6.891;-8.583;-5.152;12.153
4.88;-9.042;-3.447;10.838
4.44;-6.572;-4.922;9.334
3.405;-7.874;-2.623;8.971
3.041;-8.813;-5.516;10.833
3.769;-8.487;-3.505;9.926
2.62;-8.276;-2.681;9.086
3.865;-9.215;-2.164;10.225
2.907;-10.134;-1.627;10.668
3.233;-5.327;3.294;7.049
5.378;-10.594;0.172;11.882
3.003;-8.487;-1.762;9.174
2.505;-7.548;-2.049;8.213
4.593;-6.303;-3.294;8.466
7.562;-5.192;-1.455;9.287
7.37;-4.79;3.256;9.373
