x;y;z;a
-7.861;-2.171;1.204;8.244
-7.861;0.96;13.912;16.009
-6.837;2.598;8.875;11.5
-5.324;1.286;7.898;9.611
0.212;4.925;8.013;9.408
-5.266;2.77;5.868;8.357
-9.873;11.035;3.962;15.328
-4.232;5.682;3.953;8.112
-6.042;8.401;3.148;10.817
-4.826;7.089;4.0;9.463
-4.873;8.976;3.627;10.839
-3.092;8.689;3.225;9.77
-5.113;8.239;3.656;10.362
-4.193;7.587;3.11;9.21
-6.224;10.805;0.591;12.483
-2.948;6.103;-0.884;6.835
-4.759;9.302;4.814;11.504
-6.329;4.772;5.916;9.891
-6.138;3.623;5.628;9.081
-4.624;2.761;6.586;8.508
-2.996;3.201;7.745;8.9
-3.332;0.979;9.804;10.401
-3.887;3.805;7.946;9.629
-4.184;3.508;8.157;9.815
-4.806;3.086;8.722;10.426
