x;y;z;a
-1.799;9.407;0.036;9.578
-1.818;10.422;-0.146;10.581
-1.340;8.660;-2.119;9.016
-1.052;8.919;-2.761;9.395
-2.470;10.489;-4.465;11.665
-0.085;12.711;-0.376;12.717
-2.096;8.258;4.489;9.630
-2.632;-3.828;5.916;7.522
-1.684;20.669;17.427;27.088
-6.818;1.669;13.912;15.583
-4.739;0.893;7.898;9.254
-4.088;2.176;8.243;9.455
-5.774;2.483;7.458;9.753
-4.328;2.224;7.755;9.155
-5.438;2.655;8.032;10.057
-5.170;2.224;7.879;9.683
-5.027;2.215;7.611;9.386
-5.343;2.119;7.850;9.729
-5.448;1.841;7.822;9.708
-5.630;2.301;8.511;10.461
-5.822;2.138;7.879;10.027
-6.099;1.640;7.142;9.534
-5.802;1.880;7.927;10.002
-6.760;0.960;6.653;9.533
-6.875;0.759;6.998;9.839
-6.683;0.673;6.749;9.522
-7.268;0.682;7.218;10.266
-6.856;0.587;7.324;10.049
-6.971;0.884;6.931;9.870
-5.707;2.579;7.764;9.975
-8.043;0.089;6.730;10.488
-6.712;0.874;7.046;9.770
-6.348;1.315;6.308;9.046
-7.450;2.809;6.921;10.549
-5.563;1.343;10.541;11.995
-2.527;1.305;6.624;7.209
-7.373;0.309;7.496;10.519
-6.463;5.634;1.989;8.802
4.847;10.183;3.694;11.867
-10.284;1.018;-0.635;10.354
-2.134;4.666;8.683;10.086
-7.383;0.759;6.040;9.569
-2.575;9.196;24.342;26.148
-7.861;-2.171;1.204;8.244
-7.861;0.960;13.912;16.009
-6.837;2.598;8.875;11.500
-5.324;1.286;7.898;9.611
0.212;4.925;8.013;9.408
-5.266;2.770;5.868;8.357
-9.873;11.035;3.962;15.328
-4.232;5.682;3.953;8.112
-6.042;8.401;3.148;10.817
-4.826;7.089;4.000;9.463
-4.873;8.976;3.627;10.839
-3.092;8.689;3.225;9.770
-5.113;8.239;3.656;10.362
-4.193;7.587;3.110;9.210
-6.224;10.805;0.591;12.483
-2.948;6.103;-0.884;6.835
-4.759;9.302;4.814;11.504
-6.329;4.772;5.916;9.891
-6.138;3.623;5.628;9.081
-4.624;2.761;6.586;8.508
-2.996;3.201;7.745;8.900
-3.332;0.979;9.804;10.401
-3.887;3.805;7.946;9.629
-4.184;3.508;8.157;9.815
-4.806;3.086;8.722;10.426
-4.902;11.772;-4.638;13.569
-4.289;6.591;-0.568;7.885
-3.178;6.534;3.340;7.997
-0.593;3.402;5.724;6.685
3.209;6.122;11.671;13.565
2.635;5.222;5.916;8.319
0.739;7.128;5.992;9.341
-1.234;0.797;7.008;7.160
24.958;31.003;12.639;41.759
0.461;13.908;7.726;15.916
0.432;9.053;-1.727;9.226
-4.624;11.341;0.495;12.258
-4.663;3.354;1.281;5.885
-6.454;10.575;0.610;12.404
-5.956;4.915;-2.962;8.271
-3.801;7.999;2.344;9.161
-1.416;10.307;-2.177;10.629
-1.838;9.091;-3.661;9.971
2.826;12.261;1.865;12.720
4.292;5.279;2.411;7.218
6.245;8.928;2.391;11.155
6.207;9.263;2.334;11.392
6.437;6.687;2.506;9.614
6.743;6.266;0.543;9.221
6.523;4.054;6.356;9.969
5.920;5.940;4.489;9.512
3.458;10.499;-1.238;11.123
2.415;6.151;3.531;7.492
9.798;13.362;2.918;16.825
4.052;8.286;3.340;9.810
4.359;10.575;5.054;12.505
5.374;6.419;8.875;12.200
4.033;3.690;5.533;7.777
2.213;5.097;-1.410;5.733
-2.345;2.148;8.760;9.319
-1.541;1.975;8.626;8.982
-2.240;2.148;9.670;10.156
-3.475;2.244;7.209;8.311
-3.245;-4.786;14.008;15.155
2.041;-7.506;10.426;13.008
-2.575;0.424;6.969;7.442
-5.620;14.464;-7.951;17.436
-10.447;25.659;-1.736;27.758
4.474;-0.246;-2.933;5.355
6.111;1.401;3.253;7.064
-12.113;21.301;-17.691;30.223
2.826;19.855;-7.243;21.323
-5.075;-3.129;-6.630;8.916
-3.226;1.238;16.201;16.566
3.650;5.768;5.121;8.533
0.375;-4.834;14.908;15.677
-5.716;4.054;12.390;14.234
-2.058;4.159;3.445;5.779
-0.353;-2.727;6.280;6.855
-1.924;-1.156;10.254;10.497
-1.569;-5.485;10.877;12.282
0.001;-3.905;7.908;8.819
-2.412;0.501;7.448;7.845
-2.020;2.282;6.854;7.501
-2.757;0.941;7.371;7.926
-5.170;6.084;10.398;13.109
-3.303;4.906;9.191;10.929
-3.695;5.404;6.921;9.527
-3.379;4.427;7.927;9.688
-4.136;5.557;8.798;11.198
-5.458;6.448;6.701;10.783
-3.102;6.496;6.567;9.744
-3.073;6.725;6.395;9.776
4.426;9.627;4.700;11.591
1.897;7.214;1.961;7.713
2.338;13.046;2.870;13.561
-3.016;-2.890;2.296;4.766
-6.061;13.314;-8.622;16.981
-5.343;6.725;-0.338;8.596
1.409;8.277;-0.424;8.407
-9.058;-2.353;12.658;15.742
-5.994;25.477;-5.145;26.673
-4.605;-11.949;5.111;13.788
1.725;18.811;-5.701;19.732
-2.652;8.085;-3.814;9.325
0.796;14.339;-8.459;16.667
0.116;0.366;2.324;2.356
3.525;16.235;-7.635;18.284
-0.708;-12.390;7.869;14.695
-1.129;1.305;1.376;2.207
-7.823;9.177;-0.127;12.060
-0.803;6.879;-1.219;7.032
-2.824;18.840;-3.240;19.324
0.001;5.978;-1.209;6.100
0.940;7.415;-3.412;8.216
0.250;9.733;-6.821;11.888
-4.826;4.657;-7.856;10.329
-2.278;13.372;-6.917;15.226
-1.024;12.213;-4.829;13.173
-3.763;-1.884;1.874;4.606
0.528;4.628;-2.483;5.279
-3.772;26.846;6.270;27.826
-3.600;-1.175;1.386;4.032
3.171;9.560;-2.406;10.356
-3.456;17.806;6.002;19.105
-4.672;4.389;1.328;6.546
-1.416;3.488;-0.577;3.809
-6.703;-5.399;2.899;9.082
-8.225;5.873;9.708;14.014
4.847;-6.328;-6.946;10.573
-4.749;-5.705;5.102;9.007
-4.012;4.092;6.366;8.565
1.840;6.486;6.318;9.240
11.647;8.545;9.440;17.256
6.015;6.304;3.387;9.349
11.781;25.755;1.185;28.346
11.541;-9.191;-3.891;15.258
-11.481;1.803;7.831;14.014
-6.233;7.865;7.113;12.301
-5.027;3.517;7.898;10.001
-3.964;6.046;5.494;9.080
-2.412;7.760;4.757;9.416
0.480;6.946;6.098;9.255
3.995;8.057;6.232;10.941
5.565;6.362;4.958;9.799
6.667;5.557;4.661;9.851
7.031;4.686;4.307;9.483
7.241;4.561;4.144;9.509
7.155;4.417;4.154;9.379
7.260;4.580;4.048;9.491
7.318;4.772;3.847;9.546
7.260;4.724;3.828;9.470
7.318;4.686;3.847;9.503
7.241;4.619;3.895;9.431
7.193;4.571;3.828;9.343
7.404;4.743;3.751;9.560
7.260;4.848;3.646;9.461
7.442;4.494;3.780;9.480
7.299;4.542;3.780;9.391
7.691;4.350;3.933;9.672
7.404;3.910;3.598;9.113
-0.190;4.647;7.611;8.920
0.154;4.006;11.461;12.142
6.082;-5.360;12.246;14.687
-0.870;6.869;4.508;8.262
1.993;9.972;-0.166;10.171
9.597;8.421;-3.355;13.201
1.352;11.523;9.459;14.970
-2.565;-0.926;-4.006;4.846
8.639;-11.624;21.277;25.738
-2.460;6.994;8.846;11.542
-2.326;7.492;8.281;11.407
-1.292;6.639;6.691;9.514
0.384;7.243;7.189;10.212
1.256;4.006;9.124;10.043
0.202;3.565;6.433;7.358
2.089;6.802;6.940;9.940
6.475;7.779;11.700;15.470
-0.210;8.976;3.033;9.477
1.304;9.847;1.099;9.994
1.323;10.853;0.323;10.938
2.242;7.836;1.472;8.283
1.447;9.991;3.426;10.661
5.632;5.212;-0.884;7.725
11.963;7.003;-0.089;13.862
6.561;5.931;3.742;9.603
11.043;9.168;3.742;14.832
9.214;13.688;2.200;16.646
5.010;6.773;3.866;9.270
-6.980;-1.645;3.282;7.887
-6.674;-2.353;3.014;7.692
-11.884;-1.405;4.202;12.683
-8.235;-2.085;3.857;9.329
-7.852;-1.377;2.727;8.425
-11.309;-1.080;3.771;11.970
0.107;6.994;-5.979;9.201
-1.033;8.258;-4.935;9.675
0.126;8.363;-8.153;11.680
0.786;6.591;-7.511;10.024
0.968;6.448;-6.831;9.443
2.386;8.124;-7.683;11.433
4.004;8.239;-4.121;10.044
1.763;6.668;-0.070;6.898
1.562;24.548;-8.220;25.935
3.803;2.052;-0.204;4.326
11.216;-4.872;8.913;15.132
4.138;6.524;2.296;8.060
8.486;2.493;3.780;9.619
10.009;6.429;2.257;12.108
7.021;6.869;3.186;10.326
7.481;6.601;3.943;10.728
7.548;5.864;1.664;9.701
4.818;11.399;0.716;12.396
-0.066;9.637;3.847;10.377
-2.786;4.159;6.462;8.174
-2.824;4.101;8.415;9.778
-2.834;4.437;8.348;9.869
-4.395;2.904;6.452;8.329
-0.267;-2.191;7.477;7.796
6.015;9.215;2.229;11.228
1.294;8.421;-4.705;9.732
-0.353;8.784;-4.542;9.896
0.767;10.144;-3.661;10.812
-1.646;6.409;-5.730;8.753
1.447;10.211;-7.252;12.608
3.257;7.434;-2.914;8.624
0.461;8.478;-5.270;9.993
1.926;9.378;-5.059;10.829
2.261;8.756;-5.490;10.579
-0.066;-1.128;6.854;6.947
1.122;-5.313;10.513;11.832
-3.427;0.960;11.786;12.312
-2.690;-1.386;8.760;9.268
-6.425;-1.242;7.247;9.764
-1.502;-2.938;3.885;5.097
8.534;1.219;12.476;15.165
-2.211;7.587;-3.297;8.563
-6.818;23.743;6.404;25.519
-5.075;4.791;1.281;7.095
-1.905;-0.246;3.234;3.761
0.873;3.335;11.681;12.179
-4.596;1.008;7.908;9.202
-6.176;4.657;5.964;9.767
-6.406;5.433;6.739;10.769
-4.586;4.283;7.965;10.140
-4.816;4.829;7.209;9.924
-3.772;3.479;7.936;9.451
-3.657;4.015;6.433;8.419
-3.284;6.113;7.218;10.012
-4.203;8.239;7.869;12.144
-5.735;5.107;6.596;10.123
-4.232;5.749;6.624;9.738
-5.343;3.900;7.649;10.113
-4.059;3.115;6.615;8.363
-5.391;4.360;6.318;9.380
-4.893;3.958;6.222;8.850
-6.032;3.029;6.768;9.559
-5.774;-1.080;6.893;9.056
-5.314;7.463;10.350;13.822
-5.936;0.481;11.221;12.704
-2.508;-6.586;8.463;11.013
-6.166;-4.135;4.326;8.593
-2.010;-0.974;14.717;14.885
2.654;7.664;5.284;9.680
2.625;7.808;5.197;9.740
9.195;1.966;5.150;10.721
3.516;11.322;8.808;14.769
11.943;11.246;2.037;16.531
4.780;6.362;-1.219;8.050
7.835;7.568;1.396;10.982
10.306;-0.017;-3.192;10.789
4.847;7.434;2.765;9.295
5.153;5.988;4.862;9.277
4.407;4.848;5.274;8.411
1.457;11.169;5.466;12.520
5.393;5.768;5.724;9.753
4.253;7.118;4.824;9.593
7.385;2.569;3.196;8.447
7.270;7.377;1.903;10.530
25.437;-2.727;2.171;25.675
10.287;1.257;7.419;12.745
8.199;0.951;1.865;8.462
9.616;0.194;2.822;10.024
8.716;0.357;3.186;9.287
8.841;-0.562;4.230;9.817
9.291;0.433;2.238;9.566
10.373;1.171;2.794;10.806
8.946;0.644;-1.066;9.032
6.992;-0.495;-1.880;7.257
6.149;2.713;0.543;6.743
8.812;1.726;2.257;9.259
9.453;4.781;0.955;10.637
9.808;0.893;1.817;10.015
3.008;4.753;3.656;6.708
4.292;7.185;6.079;10.344
4.445;6.936;4.451;9.363
5.575;5.586;6.433;10.181
6.753;7.118;3.809;10.525
5.757;4.015;6.749;9.737
6.264;5.835;-0.233;8.564
6.197;4.494;5.542;9.451
6.552;3.297;5.705;9.292
7.280;2.473;5.763;9.608
8.821;1.746;6.241;10.946
6.906;0.252;3.340;7.675
5.431;4.801;-2.100;7.547
7.356;13.171;0.792;15.107
6.695;6.888;-2.454;9.915
8.582;10.786;-1.200;13.836
6.647;5.969;1.271;9.024
6.015;6.208;-0.482;8.658
3.133;2.435;7.678;8.643
0.336;9.915;-0.625;9.940
-6.626;24.308;0.696;25.205
6.820;6.572;5.284;10.845
9.339;5.787;9.718;14.667
-1.646;6.007;2.171;6.596
0.585;8.382;-4.647;9.602
-2.632;10.374;-2.981;11.110
-2.316;6.821;-0.309;7.210
-0.564;1.554;4.163;4.479
-2.182;7.645;-6.027;9.976
-0.267;10.164;2.257;10.415
-0.851;4.034;3.129;5.176
5.355;-0.036;7.850;9.503
4.119;7.970;6.730;11.215
1.687;6.639;6.691;9.576
3.094;8.018;6.653;10.869
2.903;8.564;5.695;10.687
1.237;7.702;5.054;9.295
1.217;9.168;3.675;9.951
0.892;8.727;3.656;9.504
0.528;8.746;3.943;9.608
0.739;8.947;3.253;9.549
0.748;6.658;5.877;8.913
1.476;8.392;4.479;9.626
1.399;8.488;4.364;9.646
1.371;8.899;4.221;9.944
1.026;8.526;4.422;9.659
-2.767;6.936;0.725;7.503
-2.115;8.210;2.391;8.809
-1.952;10.614;2.200;11.014
-3.504;8.852;2.085;9.745
-2.565;9.053;4.508;10.433
1.668;9.934;4.316;10.959
0.576;10.614;-0.051;10.629
-0.937;11.638;-1.765;11.809
7.155;26.243;-1.631;27.250
2.778;5.605;-1.276;6.385
5.144;7.827;-1.382;9.467
4.560;7.731;0.036;8.976
6.140;8.133;0.112;10.191
5.173;7.731;0.265;9.306
4.301;9.474;-1.267;10.481
2.568;8.737;-0.376;9.114
2.146;10.077;1.530;10.416
2.338;9.752;2.976;10.460
1.754;9.235;2.142;9.641
1.620;9.675;1.424;9.913
2.137;9.484;1.300;9.808
2.146;9.579;0.821;9.851
1.859;9.215;0.620;9.421
1.897;9.560;1.003;9.798
1.792;9.474;0.783;9.674
1.706;10.403;1.539;10.654
1.897;9.187;0.323;9.386
1.897;9.484;0.869;9.710
1.917;9.800;0.007;9.985
2.031;9.244;0.352;9.471
1.304;9.742;0.141;9.830
1.294;9.531;0.131;9.620
1.227;9.589;0.131;9.668
1.208;9.493;0.007;9.570
3.880;8.660;-2.608;9.841
-7.239;5.471;5.063;10.391
-8.091;3.919;3.110;9.513
-8.350;4.207;2.851;9.775
-9.001;4.494;0.744;10.088
-4.998;13.075;-2.723;14.260
-9.930;-2.947;9.536;14.079
-4.155;3.019;-13.506;14.450
-2.211;32.343;9.545;33.795
-7.181;6.074;-1.190;9.481
-7.153;5.959;-1.774;9.478
-5.573;7.970;1.922;9.913
-6.559;6.802;0.811;9.484
-6.530;7.319;1.127;9.873
-4.347;9.675;1.070;10.661
-0.487;10.460;2.516;10.770
4.933;9.206;2.985;10.863
1.840;6.170;-10.097;11.975
-0.133;1.793;-4.197;4.566
1.572;7.865;-6.036;10.038
2.999;7.769;-4.485;9.459
2.146;6.352;-4.724;8.202
1.419;7.156;-3.642;8.154
0.116;2.933;-4.877;5.692
0.212;8.066;-7.741;11.182
-2.173;8.689;-2.387;9.269
-4.414;7.128;-2.914;8.876
-4.289;6.888;-5.921;10.045
-4.385;6.563;-5.778;9.781
-4.471;6.649;-5.730;9.850
-3.877;7.233;-6.122;10.239
-4.059;6.409;-6.084;9.725
-3.992;6.534;-6.563;10.085
-4.031;6.658;-6.927;10.419
-0.851;3.967;8.856;9.741
-1.253;4.130;9.105;10.076
-0.899;3.307;9.861;10.440
-2.297;5.490;6.883;9.099
0.212;1.564;10.379;10.498
0.528;2.655;10.072;10.430
-1.962;2.904;10.714;11.272
-2.585;2.272;6.768;7.593
0.633;7.750;30.136;31.123
-0.688;5.519;8.415;10.087
-0.190;2.636;9.363;9.729
-0.554;3.536;9.220;9.890
-0.602;2.866;9.201;9.655
-0.985;3.364;9.057;9.712
-1.234;3.958;8.894;9.813
-0.277;3.105;8.252;8.822
-3.763;-0.668;23.413;23.722
-0.755;1.487;11.940;12.055
-1.215;1.477;12.629;12.773
-3.485;6.189;6.845;9.864
-1.435;10.690;6.270;12.476
-6.185;-6.912;-12.998;15.969
9.779;6.534;16.067;19.912
4.368;6.074;4.345;8.652
6.322;10.173;7.333;14.044
7.442;10.470;0.026;12.846
7.940;4.599;3.292;9.749
7.241;5.940;2.918;9.810
7.404;6.122;3.340;10.171
7.251;4.762;2.631;9.065
6.063;8.727;-0.386;10.634
7.749;5.327;0.610;9.423
6.849;5.691;3.043;9.410
7.691;7.185;3.512;11.096
