[20210414 14:07:33]	2.076408;7.897933;-0.232356;8.169627;last second
[20210414 14:07:34]	1.894449;9.411069;0.265638;9.603526;last second
[20210414 14:07:34]	2.765938;9.372762;1.146704;9.839411;last second
[20210414 14:07:34]	-2.721572;9.746258;-0.328124;10.124434;last second
[20210414 14:07:34]	0.754809;9.803719;0.840246;9.868569;last second
[20210414 14:07:34]	2.066831;8.462965;0.418867;8.721755;last second
[20210414 14:07:34]	1.511377;8.779000;1.117974;8.978027;last second
[20210414 14:07:34]	1.243226;9.707951;0.945591;9.832805;last second
[20210414 14:07:34]	1.118727;9.037574;-0.107858;9.107191;last second
[20210414 14:07:34]	1.664605;8.530003;-1.726338;8.860705;last second
[20210414 14:07:34]	-5.412655;26.706781;-7.501153;28.263338;shock no free fall check for stasis
[20210414 14:07:34]	1.243226;9.114188;-2.894708;9.643307;stasis
[20210414 14:07:34]	1.425185;9.573874;-2.253062;9.938134;stasis
[20210414 14:07:34]	1.348571;8.750270;-1.065538;8.917468;stasis
[20210414 14:07:34]	-0.451869;8.568310;0.409290;8.589973;stasis
[20210414 14:07:34]	1.808257;9.851603;0.840246;10.051362;stasis
[20210414 14:07:35]	1.808257;9.296147;2.506611;9.796492;stasis
[20210414 14:07:35]	0.706925;6.442259;5.896801;8.762117;stasis
[20210414 14:07:35]	2.373289;8.750270;8.243118;12.253519;stasis
[20210414 14:07:35]	-0.135834;7.246711;7.227976;10.236059;stasis
[20210414 14:07:35]	1.386878;3.521333;8.683651;9.472540;stasis
[20210414 14:07:36]	1.425185;-5.509596;10.599012;12.030206;stasis
[20210414 14:07:36]	1.645452;13.356713;-8.161952;15.739338;stasis
[20210414 14:07:36]	-1.016901;6.605065;8.923071;11.148191;stasis
[20210414 14:07:36]	-3.449409;-2.722745;9.804137;10.743969;stasis
[20210414 14:07:36]	-0.652982;-0.031662;9.219953;9.243101;stasis
[20210414 14:07:37]	-3.736714;2.094389;8.501692;9.519887;stasis
[20210414 14:07:37]	-6.140492;2.400846;5.887224;8.839068;stasis
[20210414 14:07:37]	-14.587235;2.850956;2.669416;15.101032;stasis
[20210414 14:07:37]	-12.729335;3.128684;0.303945;13.111713;stasis
[20210414 14:07:37]	-5.881918;-2.301365;-4.465305;7.735127;stasis
[20210414 14:07:38]	-9.712641;-0.481772;0.390136;9.732405;stasis
[20210414 14:07:38]	-6.332028;7.610630;0.303945;9.904981;stasis
[20210414 14:07:38]	-4.522012;5.647384;-0.653736;7.264221;stasis
[20210414 14:07:38]	-1.218013;10.004831;-2.684019;10.429965;stasis
[20210414 14:07:38]	-0.729596;9.018420;-1.879567;9.241049;stasis
[20210414 14:07:39]	A stasis: {avg:10,298,mediana:9,905,sqm:2,024};
[20210414 14:07:39]	min: 9,123300; max: 10,104300; mediana: 9,904981; sqm: 2,023881; min_sqm: 1,000000; filtered: 0; spikes: 10; false; 
[20210414 14:10:05]	-7.414207;7.093482;1.347817;10.349134;last second
[20210414 14:10:05]	-5.786150;14.132435;2.698147;15.507587;last second
[20210414 14:10:05]	-9.434914;9.727104;1.108397;13.596422;last second
[20210414 14:10:05]	-7.490822;5.120660;-1.352842;9.174080;last second
[20210414 14:10:05]	-7.260979;5.302619;-2.415868;9.309995;last second
[20210414 14:10:05]	-6.820446;5.618654;-2.530790;9.191988;last second
[20210414 14:10:05]	-5.834034;7.285018;-1.343266;9.429306;last second
[20210414 14:10:05]	-5.738266;14.419739;1.271203;15.571529;last second
[20210414 14:10:05]	-3.526024;1.337821;4.690123;6.018294;last second
[20210414 14:10:05]	-3.803751;-4.465724;6.212835;8.544620;last second
[20210414 14:10:05]	-12.135572;27.185623;12.447336;32.268660;shock no free fall check for stasis
[20210414 14:10:05]	-5.403078;6.403952;8.856033;12.191521;stasis
[20210414 14:10:05]	-2.539613;2.218887;3.991016;5.225065;stasis
[20210414 14:10:05]	-5.393501;4.613089;5.504151;8.981432;stasis
[20210414 14:10:06]	-7.902625;7.524438;4.699699;11.880902;stasis
[20210414 14:10:06]	-4.933815;4.804625;5.561612;8.852032;stasis
[20210414 14:10:06]	-5.115774;9.478106;6.251142;12.453209;stasis
[20210414 14:10:06]	-0.566791;4.699280;4.690123;6.663463;stasis
[20210414 14:10:06]	-4.253861;11.182778;8.252695;14.534677;stasis
[20210414 14:10:07]	1.195342;5.810190;5.293461;7.950338;stasis
[20210414 14:10:07]	2.670170;7.955395;3.789903;9.207686;stasis
[20210414 14:10:07]	-1.304205;4.967431;-1.841260;5.455873;stasis
