x;y;z;a
-4.485;-1.745;6.589;8.16
-6.611;2.047;12.948;14.682
-1.689;-5.307;6.972;8.924
-6.592;-0.098;12.392;14.037
0.877;-3.392;7.7;8.46
-5.328;-1.726;6.589;8.648
-0.884;-13.333;4.175;14.0
-2.282;-11.935;-2.623;12.432
-4.026;-9.789;8.734;13.723
-5.328;-2.204;3.85;6.934
-10.232;-22.604;-7.316;25.869
-6.439;-6.533;-4.96;10.428
-3.413;1.53;10.42;11.071
-5.634;-7.893;-0.823;9.733
-2.761;17.447;15.61;23.573
-2.915;-0.232;13.063;13.387
-5.022;-11.188;-1.742;12.387
-1.478;-8.2;-0.344;8.34
-6.152;-4.139;-0.842;7.463
-3.853;-6.572;1.36;7.739
-5.864;-3.488;-2.834;7.389
-2.895;-11.705;-2.03;12.228
-7.224;-5.173;-2.489;9.228
-2.723;-7.012;2.72;7.999
-0.923;-9.1;-3.236;9.703
-4.658;-15.44;-4.635;16.781
-5.73;-6.706;-4.098;9.727
-6.994;-1.477;-1.8;7.372
-2.397;-12.031;-6.78;14.017
-3.317;-10.192;-9.902;14.592
-2.972;-12.299;-2.106;12.828
-5.634;-7.644;-6.033;11.251
-6.267;-2.722;0.344;6.842
-5.29;-4.12;5.363;8.587
-4.255;5.418;9.845;12.016
-4.543;-2.722;12.948;13.99
