x;y;z;a;index
2.003;7.655;5.859;9.846;0.000
1.929;7.727;6.245;10.121;0.000
1.572;7.315;6.992;10.241;0.000
1.443;6.774;7.203;9.992;0.000
1.333;6.638;6.877;9.650;0.000
1.378;6.700;6.087;9.156;0.000
1.486;6.880;6.269;9.425;0.000
1.601;6.935;6.685;9.765;0.000
1.771;6.700;7.327;10.085;0.000
1.565;6.487;7.480;10.024;0.000
1.335;6.039;7.727;9.897;0.000
1.323;5.699;7.997;9.909;0.000
1.026;5.685;8.012;9.877;0.000
0.808;5.726;8.213;10.044;0.000
0.914;5.630;8.110;9.915;0.000
0.825;5.697;7.878;9.757;0.000
0.763;5.764;7.569;9.544;0.000
0.622;5.754;7.677;9.614;0.000
0.610;5.699;8.005;9.845;0.000
0.669;5.666;8.165;9.961;2.016
0.516;5.778;7.981;9.866;1.994
0.303;5.934;7.645;9.683;1.817
0.447;6.013;7.459;9.591;1.735
0.698;6.030;7.413;9.581;1.714
0.842;6.214;7.351;9.662;1.538
0.796;6.408;7.200;9.671;1.534
0.669;6.319;7.353;9.719;1.487
0.938;6.140;7.768;9.945;1.411
1.031;6.212;7.799;10.023;1.376
0.890;6.355;7.511;9.879;1.305
0.885;6.180;7.665;9.886;1.252
0.959;5.984;7.847;9.915;1.247
0.844;5.979;7.748;9.824;1.220
1.036;5.979;7.571;9.703;1.236
1.129;6.209;7.624;9.897;1.235
0.993;6.348;7.492;9.870;1.215
1.019;6.202;7.231;9.581;1.239
1.206;6.224;7.193;9.588;1.209
1.450;6.439;7.334;9.867;1.247
1.407;6.566;7.456;10.034;1.232
1.328;6.415;7.540;9.989;1.172
1.182;6.260;7.471;9.818;1.167
1.191;6.250;7.456;9.802;1.139
1.244;6.279;7.677;9.995;1.136
1.194;6.070;7.808;9.962;1.136
1.086;6.027;7.832;9.942;1.121
1.038;6.046;7.734;9.872;0.997
1.005;6.058;7.696;9.846;0.991
0.964;6.044;7.918;10.008;0.954
0.808;6.054;7.765;9.879;0.951
0.796;6.178;7.475;9.731;0.962
0.804;6.350;7.320;9.724;0.979
0.787;6.487;7.164;9.697;0.966
0.935;6.592;6.994;9.657;0.965
0.971;6.683;7.040;9.755;0.942
0.890;6.722;7.356;10.004;0.951
0.804;6.477;7.607;10.024;0.999
0.677;6.322;7.578;9.892;0.956
0.684;6.327;7.533;9.861;0.939
0.669;6.341;7.655;9.963;0.928
0.741;6.348;7.538;9.883;0.911
0.806;6.398;7.416;9.827;0.923
0.741;6.542;7.408;9.911;0.908
0.698;6.485;7.461;9.910;0.877
0.701;6.370;7.463;9.837;0.876
0.669;6.386;7.236;9.674;0.899
0.619;6.398;7.138;9.606;0.905
0.423;6.367;7.205;9.625;0.901
0.389;6.118;7.372;9.588;0.924
0.528;6.097;7.595;9.754;0.908
0.772;6.307;7.727;10.004;0.944
1.057;6.516;7.528;10.012;1.006
0.990;6.628;7.186;9.826;1.042
0.777;6.650;6.968;9.663;1.080
0.653;6.425;6.937;9.477;1.061
0.662;6.499;7.068;9.625;1.009
0.701;6.628;7.054;9.705;0.998
0.665;6.619;6.920;9.599;1.006
0.715;6.552;7.102;9.689;1.019
0.830;6.556;7.334;9.872;1.042
0.890;6.621;7.377;9.953;1.036
0.935;6.635;7.372;9.963;1.025
0.971;6.607;7.329;9.915;1.023
0.859;6.578;7.289;9.856;1.024
0.868;6.535;7.310;9.844;0.999
0.705;6.520;7.123;9.683;1.024
0.543;6.324;7.049;9.486;1.037
0.504;6.252;7.372;9.680;1.046
0.792;6.331;7.593;9.918;1.078
0.976;6.561;7.442;9.969;1.073
1.069;6.530;7.449;9.964;0.998
1.021;6.535;7.672;10.129;0.956
0.959;6.547;7.748;10.189;0.911
0.962;6.487;7.624;10.056;0.884
1.062;6.568;7.643;10.133;0.881
1.170;6.702;7.636;10.227;0.887
1.026;6.726;7.322;9.996;0.942
0.866;6.516;7.253;9.788;0.961
0.722;6.288;7.660;9.937;1.046
0.746;6.336;7.665;9.972;1.042
0.837;6.528;7.358;9.872;1.106
1.036;6.619;7.155;9.801;1.144
1.211;6.623;7.234;9.882;1.153
1.091;6.633;7.387;9.988;1.169
0.935;6.528;7.394;9.907;1.157
0.918;6.439;7.305;9.781;1.134
0.938;6.554;7.274;9.836;1.090
0.966;6.559;7.332;9.885;1.027
0.930;6.547;7.284;9.838;0.974
0.789;6.458;7.236;9.731;0.985
0.744;6.334;7.449;9.806;0.990
0.959;6.422;7.475;9.902;1.013
1.043;6.619;7.315;9.920;1.038
1.062;6.487;7.250;9.787;1.041
1.000;6.437;7.298;9.782;1.031
0.933;6.509;7.231;9.774;0.978
0.883;6.611;7.123;9.759;0.952
0.830;6.623;6.939;9.629;0.840
0.732;6.475;6.788;9.410;0.870
0.868;6.415;7.238;9.711;0.918
0.801;6.518;7.353;9.859;0.884
0.693;6.573;7.191;9.767;0.887
0.782;6.494;7.164;9.701;0.873
0.820;6.520;7.277;9.805;0.862
1.074;6.640;7.442;10.031;0.912
1.021;6.616;7.526;10.072;0.910
0.847;6.480;7.514;9.958;0.935
0.811;6.408;7.528;9.919;0.936
0.873;6.509;7.392;9.887;0.938
0.964;6.518;7.169;9.737;0.935
0.921;6.578;7.135;9.748;0.909
0.950;6.485;7.284;9.798;0.886
0.938;6.434;7.344;9.809;0.878
1.072;6.513;7.337;9.869;0.886
1.486;6.702;7.406;10.099;0.992
1.529;6.822;7.437;10.207;0.988
1.316;6.599;7.447;10.037;1.017
0.971;6.334;7.461;9.835;1.081
0.875;6.367;7.341;9.757;0.985
1.002;6.492;7.236;9.773;0.992
1.112;6.604;7.135;9.786;0.989
1.115;6.652;7.107;9.798;0.983
1.141;6.611;7.076;9.751;0.977
1.000;6.607;7.313;9.906;0.962
0.978;6.566;7.413;9.951;0.962
1.017;6.573;7.341;9.906;0.940
1.103;6.640;7.282;9.916;0.945
0.981;6.693;7.123;9.823;0.950
0.880;6.628;7.061;9.725;0.929
0.806;6.518;7.406;9.899;0.996
0.933;6.535;7.586;10.056;1.005
1.033;6.599;7.404;9.972;1.025
0.861;6.592;7.100;9.726;1.072
0.775;6.437;7.188;9.680;0.988
0.741;6.293;7.461;9.789;1.027
0.784;6.470;7.432;9.885;0.997
0.792;6.604;7.155;9.769;0.949
0.830;6.549;7.071;9.674;0.942
0.820;6.530;7.133;9.705;0.921
0.815;6.604;7.212;9.813;0.908
0.736;6.554;7.231;9.787;0.912
0.820;6.489;7.315;9.813;0.920
0.890;6.626;7.284;9.887;0.891
0.804;6.664;7.135;9.796;0.902
0.868;6.561;7.322;9.870;0.925
1.081;6.566;7.586;10.091;0.977
1.072;6.683;7.550;10.140;0.963
0.957;6.595;7.444;9.991;0.970
0.751;6.540;7.437;9.932;0.922
0.770;6.482;7.305;9.797;0.907
0.873;6.456;7.298;9.783;0.887
1.148;6.585;7.514;10.057;0.897
1.158;6.662;7.571;10.151;0.880
0.935;6.556;7.282;9.843;0.907
0.868;6.365;7.243;9.681;0.911
0.859;6.518;7.224;9.768;0.871
0.799;6.631;6.886;9.593;0.937
0.746;6.544;6.772;9.447;0.947
0.801;6.509;6.937;9.546;0.958
0.811;6.607;7.064;9.706;0.966
0.878;6.568;7.226;9.805;0.974
0.918;6.499;7.365;9.865;0.974
0.974;6.544;7.322;9.869;0.962
1.014;6.628;7.267;9.888;0.942
0.997;6.607;7.253;9.861;0.879
0.918;6.485;7.399;9.881;0.895
0.933;6.386;7.619;9.985;0.909
1.024;6.403;7.684;10.054;0.891
1.122;6.398;7.554;9.963;0.894
1.124;6.578;7.411;9.973;0.917
1.146;6.444;7.423;9.896;0.849
0.993;6.413;7.466;9.892;0.859
0.863;6.410;7.337;9.781;0.792
0.782;6.413;7.147;9.634;0.791
0.899;6.506;7.320;9.835;0.809
1.067;6.674;7.325;9.966;0.762
0.957;6.698;7.131;9.830;0.779
0.885;6.626;7.188;9.816;0.768
0.885;6.509;7.411;9.903;0.792
0.930;6.494;7.722;10.133;0.833
0.741;6.511;7.717;10.124;0.839
0.698;6.377;7.605;9.949;0.854
0.684;6.293;7.547;9.850;0.854
0.815;6.391;7.602;9.965;0.870
0.763;6.480;7.502;9.942;0.858
0.780;6.477;7.138;9.670;0.900
0.722;6.408;7.092;9.586;0.899
0.820;6.492;7.203;9.731;0.900
0.938;6.604;7.152;9.780;0.887
0.911;6.590;7.056;9.698;0.882
0.892;6.499;7.191;9.733;0.882
0.978;6.504;7.344;9.858;0.881
0.974;6.564;7.126;9.737;0.885
1.132;6.499;7.169;9.742;0.873
1.088;6.614;7.435;10.010;0.890
1.060;6.602;7.384;9.962;0.863
0.983;6.611;7.131;9.774;0.896
0.926;6.585;6.934;9.608;0.884
0.859;6.647;6.901;9.620;0.832
0.892;6.626;6.870;9.586;0.811
0.962;6.564;7.140;9.746;0.841
0.981;6.667;7.279;9.919;0.853
0.789;6.702;7.265;9.916;0.858
0.693;6.662;7.282;9.893;0.852
0.502;6.796;7.229;9.934;0.807
0.301;6.899;7.006;9.837;0.861
0.327;7.062;6.683;9.728;0.919
0.454;7.157;6.326;9.563;0.984
0.677;7.186;5.649;9.165;1.211
0.997;7.131;4.430;8.454;1.741
0.725;7.121;3.515;7.975;1.978
0.076;6.343;2.608;6.859;2.390
0.495;2.852;0.285;2.909;4.841
1.062;1.852;0.118;2.138;4.970
0.576;0.722;-0.541;1.070;5.162
0.265;-0.241;-0.430;0.560;5.254
0.143;-1.625;-0.699;1.774;5.438
0.088;-2.709;-0.380;2.737;5.553
0.116;-3.284;0.235;3.295;5.617
0.195;-3.404;-0.337;3.426;5.640
0.923;-1.347;0.149;1.640;6.065
0.938;-1.287;0.173;1.602;6.062
0.904;-1.273;0.230;1.578;6.061
0.892;-1.225;0.281;1.541;6.057
0.878;-1.199;0.285;1.513;6.049
0.827;-1.187;0.309;1.479;6.038
0.804;-1.177;0.364;1.471;6.026
0.768;-1.180;0.379;1.457;5.983
0.744;-1.180;0.429;1.459;5.849
0.729;-1.196;0.465;1.476;5.771
0.717;-1.208;0.556;1.511;5.609
0.691;-1.251;0.621;1.558;3.703
0.693;-1.268;0.707;1.609;3.517
0.696;-1.318;0.800;1.692;3.230
0.710;-1.354;0.886;1.768;3.067
0.741;-1.390;0.958;1.844;2.723
0.770;-1.429;1.047;1.931;2.478
0.823;-1.455;1.176;2.044;2.335
0.837;-1.457;1.305;2.128;2.263
-4.074;-12.265;41.496;43.462;41.908
-25.064;-27.256;77.355;85.760;60.889
1.663;9.741;56.927;57.778;78.790
-1.241;2.419;10.121;10.480;91.982
0.990;-0.509;-0.055;1.115;92.616
0.997;-0.219;-0.914;1.371;92.621
0.727;-0.308;-0.864;1.170;92.621
0.279;-0.289;1.200;1.266;92.645
-1.653;-1.285;7.993;8.262;92.919
-0.049;-1.831;12.542;12.675;93.046
1.419;-4.292;13.265;14.014;93.093
-0.073;-6.210;11.088;12.709;93.150
-7.074;5.872;2.852;9.625;94.550
-2.869;4.038;23.998;24.504;96.994
0.686;1.179;14.285;14.350;97.586
-0.805;-0.765;6.671;6.763;97.913
-3.391;-1.182;4.689;5.906;97.968
-2.048;-0.512;8.230;8.496;98.044
-1.794;0.226;10.952;11.100;98.085
-2.285;0.446;11.143;11.384;88.683
-2.137;-0.181;10.085;10.311;76.910
-1.703;-0.150;8.716;8.882;58.453
-2.067;0.073;9.017;9.252;34.121
-2.168;0.037;10.100;10.330;32.378
-2.096;-0.057;10.119;10.334;32.365
-2.043;-0.088;9.233;9.457;32.376
-1.928;0.051;9.470;9.664;32.308
-2.000;0.034;9.709;9.913;31.512
-2.074;-0.047;9.592;9.814;31.137
-2.074;0.003;9.547;9.769;30.996
-2.065;-0.030;9.645;9.863;30.824
-2.017;-0.006;9.640;9.849;26.217
-1.974;-0.023;9.537;9.739;14.803
-2.036;0.010;9.590;9.803;10.197
-2.050;0.001;9.621;9.837;6.325
-2.060;-0.061;9.626;9.844;5.405
-2.062;-0.009;9.570;9.790;3.799
-1.991;-0.016;9.626;9.829;2.534
-2.024;0.013;9.626;9.836;2.469
-2.038;-0.035;9.609;9.823;2.136
-2.050;-0.033;9.599;9.816;1.581
-2.046;-0.023;9.590;9.805;1.492
-2.017;-0.002;9.637;9.846;1.023
-2.017;0.003;9.566;9.776;1.019
-2.019;-0.006;9.582;9.793;0.500
-2.038;0.001;9.587;9.802;0.402
-2.038;-0.037;9.626;9.839;0.319
-2.034;-0.004;9.592;9.805;0.280
-2.015;-0.011;9.570;9.780;0.273
-2.036;-0.002;9.618;9.831;0.258
-2.034;-0.018;9.590;9.803;0.254
-2.053;-0.004;9.597;9.814;0.229
-2.036;-0.009;9.602;9.815;0.212
-2.012;-0.009;9.616;9.824;0.211
-2.024;0.003;9.597;9.808;0.203
-2.015;-0.030;9.592;9.801;0.192
-2.034;-0.011;9.609;9.822;0.172
-2.043;0.006;9.566;9.781;0.172
-2.034;-0.011;9.604;9.817;0.170
-2.036;-0.009;9.566;9.780;0.173
-2.012;-0.021;9.609;9.817;0.180
-2.067;-0.002;9.580;9.801;0.182
-2.015;0.008;9.604;9.813;0.177
-2.027;-0.002;9.626;9.837;0.178
-2.031;-0.021;9.597;9.809;0.180
-2.024;-0.011;9.609;9.820;0.172
-2.053;-0.009;9.578;9.795;0.171
-2.036;-0.016;9.621;9.834;0.175
-2.036;-0.009;9.611;9.824;0.167
-2.019;-0.011;9.614;9.823;0.164
-2.031;0.006;9.566;9.779;0.171
-2.027;-0.013;9.604;9.815;0.175
-2.034;-0.009;9.606;9.819;0.173
-2.031;-0.016;9.590;9.802;0.172
-2.038;-0.013;9.599;9.813;0.169
-2.041;-0.016;9.578;9.793;0.167
-2.043;-0.006;9.618;9.833;0.166
-2.029;-0.004;9.590;9.802;0.164
-2.036;-0.018;9.604;9.817;0.160
-2.053;0.003;9.575;9.793;0.157
-2.036;-0.006;9.594;9.808;0.146
-2.050;-0.009;9.602;9.818;0.134
-2.046;-0.018;9.580;9.796;0.134
-2.029;-0.004;9.606;9.818;0.134
-2.024;-0.011;9.602;9.813;0.133
-2.038;-0.013;9.578;9.792;0.129
-2.043;-0.011;9.594;9.810;0.122
-2.031;-0.018;9.594;9.807;0.122
-2.038;-0.009;9.582;9.797;0.122
-2.034;-0.018;9.599;9.812;0.112
-2.036;-0.011;9.592;9.806;0.104
-2.031;-0.011;9.609;9.821;0.105
-2.029;-0.004;9.587;9.800;0.106
-2.046;-0.009;9.602;9.817;0.108
-2.038;-0.002;9.590;9.804;0.107
-2.027;-0.004;9.599;9.811;0.099
-2.038;-0.009;9.594;9.809;0.095
-2.024;-0.021;9.609;9.820;0.095
-2.027;0.001;9.590;9.801;0.091
-2.034;-0.004;9.597;9.810;0.088
-2.031;-0.013;9.614;9.826;0.089
-2.034;-0.011;9.597;9.810;0.087
-2.027;-0.016;9.604;9.815;0.081
-2.036;0.013;9.597;9.810;0.086
-2.031;-0.011;9.602;9.814;0.085
-2.031;-0.004;9.606;9.819;0.084
-2.046;-0.011;9.578;9.794;0.089
-2.046;-0.025;9.611;9.826;0.094
-2.029;-0.011;9.580;9.793;0.100
-2.041;-0.016;9.582;9.797;0.100
-2.058;-0.023;9.578;9.796;0.100
-2.027;-0.025;9.602;9.813;0.105
-2.029;-0.004;9.604;9.816;0.105
-2.036;-0.009;9.585;9.799;0.106
-2.034;-0.006;9.618;9.831;0.110
-2.027;-0.018;9.592;9.804;0.113
-2.029;-0.013;9.599;9.811;0.111
-2.046;-0.013;9.580;9.796;0.110
-2.024;-0.028;9.604;9.815;0.115
-2.034;-0.013;9.597;9.810;0.115
-2.036;0.001;9.592;9.806;0.115
-2.050;0.001;9.630;9.846;0.122
-2.031;-0.009;9.609;9.821;0.121
-2.024;-0.011;9.566;9.777;0.127
-2.000;-0.006;9.575;9.782;0.129
-2.043;-0.004;9.614;9.828;0.137
-2.024;-0.009;9.592;9.803;0.136
-2.065;-0.016;9.580;9.800;0.137
-2.036;-0.025;9.614;9.827;0.144
-2.048;-0.016;9.604;9.820;0.144
-2.012;-0.006;9.597;9.805;0.143
-2.022;-0.009;9.575;9.786;0.144
-2.022;-0.004;9.604;9.814;0.145
-2.034;-0.004;9.594;9.808;0.142
-2.034;-0.013;9.599;9.812;0.139
-2.027;-0.011;9.594;9.806;0.139
-2.031;-0.002;9.582;9.795;0.138
-2.034;-0.028;9.602;9.815;0.137
-2.046;-0.011;9.573;9.789;0.140
-2.012;-0.002;9.585;9.794;0.144
-2.024;-0.002;9.592;9.803;0.139
-2.038;-0.006;9.587;9.802;0.137
-2.007;-0.025;9.614;9.821;0.137
-2.055;-0.013;9.587;9.805;0.146
-2.029;-0.016;9.606;9.818;0.138
-2.036;-0.002;9.592;9.806;0.136
-2.036;-0.004;9.609;9.822;0.130
-2.029;-0.021;9.585;9.797;0.126
-2.046;-0.006;9.587;9.803;0.127
-2.048;-0.009;9.609;9.825;0.123
-2.043;-0.018;9.597;9.812;0.122
-2.022;-0.006;9.604;9.814;0.121
-2.017;0.008;9.602;9.811;0.121
-2.019;0.003;9.609;9.819;0.121
-2.038;-0.004;9.575;9.790;0.127
-2.036;0.001;9.606;9.820;0.129
-2.027;-0.021;9.590;9.801;0.129
-2.031;-0.002;9.597;9.809;0.125
-2.027;-0.002;9.614;9.825;0.121
-1.782;-0.392;9.681;9.851;0.481
-2.194;0.221;9.171;9.432;1.018
-1.969;0.216;10.040;10.233;1.356
