x;y;z;a;index
3.177;3.120;8.877;9.931;5.675
3.663;3.335;8.276;9.645;5.732
3.127;3.438;8.168;9.398;5.759
2.976;3.172;8.628;9.662;5.785
3.630;3.419;8.240;9.631;5.840
3.508;3.385;8.645;9.924;5.855
2.232;2.684;9.145;9.788;6.054
-0.505;1.180;10.122;10.203;6.882
-0.242;1.542;9.025;9.159;6.983
-0.594;1.178;10.139;10.224;7.089
-0.258;1.233;10.069;10.148;7.097
0.192;1.671;9.782;9.925;7.131
0.412;1.841;9.789;9.969;7.107
0.299;1.760;9.653;9.816;5.845
0.299;1.609;9.451;9.592;5.601
-0.788;0.790;5.388;5.503;6.983
0.019;-0.048;0.157;0.165;8.319
-20.121;1.255;78.337;80.890;81.162
8.792;-4.925;18.930;21.446;104.831
0.139;0.869;9.655;9.695;105.751
0.225;0.867;9.803;9.844;105.748
0.182;0.848;9.775;9.813;105.746
0.173;0.840;9.784;9.822;105.745
0.175;0.864;9.777;9.817;105.742
0.184;0.864;9.789;9.829;105.741
0.175;0.848;9.787;9.825;105.730
0.170;0.850;9.791;9.830;105.679
0.163;0.869;9.796;9.836;105.673
0.184;0.848;9.782;9.820;105.665
0.165;0.857;9.779;9.818;105.665
0.180;0.886;9.787;9.828;105.663
0.146;0.883;9.777;9.818;105.662
0.163;0.883;9.789;9.830;105.662
0.165;0.864;9.784;9.824;105.662
0.168;0.876;9.789;9.830;105.575
0.182;0.881;9.753;9.795;105.439
0.163;0.876;9.770;9.810;67.807
0.146;0.900;9.775;9.817;13.947
0.165;0.886;9.779;9.821;0.207
0.158;0.876;9.777;9.818;0.117
0.163;0.883;9.796;9.837;0.105
0.175;0.888;9.791;9.833;0.105
0.163;0.883;9.765;9.806;0.106
0.165;0.886;9.772;9.814;0.106
0.161;0.891;9.765;9.807;0.104
0.170;0.886;9.765;9.807;0.104
0.153;0.874;9.782;9.822;0.106
0.161;0.888;9.770;9.811;0.102
-0.009;0.989;9.724;9.775;0.226
