x;y;z;a;index
1.015;6.302;7.459;9.818;0.919
1.006;6.292;7.438;9.794;0.681
0.984;6.285;7.479;9.818;0.531
1.022;6.326;7.481;9.850;0.463
1.097;6.383;7.479;9.893;0.458
1.051;6.402;7.285;9.755;0.482
1.140;6.474;7.282;9.810;0.477
1.159;6.498;7.316;9.853;0.445
1.092;6.441;7.347;9.831;0.422
1.113;6.441;7.368;9.850;0.406
1.030;6.395;7.311;9.768;0.416
1.075;6.438;7.323;9.810;0.417
1.049;6.397;7.464;9.886;0.437
1.075;6.409;7.373;9.829;0.442
1.085;6.433;7.450;9.903;0.414
1.058;6.378;7.342;9.783;0.426
1.042;6.374;7.383;9.809;0.410
0.996;6.419;7.306;9.776;0.414
1.109;6.405;7.349;9.811;0.430
0.627;6.800;8.673;11.039;1.522
20.146;-1.367;31.809;37.677;31.389
-22.983;-38.380;16.076;47.536;66.804
-12.675;-13.793;7.874;20.320;72.393
59.086;-41.263;51.478;88.565;114.221
14.172;4.733;2.834;15.208;139.806
3.438;5.672;8.369;10.679;140.329
0.424;6.804;7.285;9.977;140.370
1.334;6.764;6.123;9.221;140.378
0.869;7.111;7.778;10.574;140.389
1.020;6.907;6.885;9.806;140.392
0.505;6.855;6.322;9.339;140.394
0.862;6.819;6.593;9.524;140.395
0.752;6.963;6.993;9.896;140.395
0.922;6.793;6.925;9.744;140.396
2.260;7.568;7.761;11.073;140.407
-4.068;4.379;6.554;8.870;140.590
1.315;3.168;5.005;6.067;140.707
3.568;-13.099;-25.333;28.741;144.874
10.624;-37.092;-5.901;39.032;148.288
4.319;-28.401;2.735;28.857;145.590
-2.006;-12.240;-30.653;33.067;138.329
1.698;1.408;-9.940;10.182;137.789
-3.797;-2.255;22.333;22.765;110.749
-7.549;-3.141;-2.613;8.584;80.020
14.107;6.747;-8.125;17.622;82.787
-0.656;-1.185;-8.565;8.672;84.399
-0.440;5.035;11.834;12.868;87.040
-13.188;-3.438;-12.937;18.791;91.764
-3.618;3.117;2.266;5.286;93.731
-0.390;1.822;19.807;19.894;95.419
-6.254;-0.005;-7.823;10.016;99.527
0.362;6.146;-7.093;9.392;99.938
-4.659;2.219;4.938;7.143;100.861
10.827;12.996;1.557;16.987;102.651
2.797;9.663;-0.724;10.086;102.793
-37.760;-52.193;-12.746;65.669;127.079
5.538;-25.197;78.337;82.476;160.806
-6.144;-3.742;2.776;7.711;176.527
-14.624;-6.177;-4.852;16.600;176.374
-1.190;4.003;12.856;13.517;174.039
-1.046;5.416;1.639;5.754;172.593
-1.626;1.374;-4.900;5.342;169.596
3.994;12.316;3.202;13.338;168.353
-0.594;7.968;1.012;8.054;166.704
-1.946;3.845;-5.860;7.274;166.058
3.649;12.965;4.428;14.178;165.350
-0.515;6.730;0.775;6.794;162.979
-1.918;5.330;-6.365;8.520;162.023
11.165;13.532;0.518;17.551;161.918
0.656;3.208;1.256;3.507;160.106
-2.241;6.546;5.867;9.072;159.977
9.517;5.562;-5.858;12.483;160.262
29.751;-21.307;-10.874;38.175;162.705
39.178;-37.794;11.980;55.738;165.152
13.679;-21.350;-4.208;25.703;151.137
6.347;2.294;-18.916;20.084;113.012
10.477;5.921;-14.827;19.096;80.700
2.622;3.797;25.117;25.538;89.656
2.572;7.669;-6.576;10.424;91.978
-3.213;4.573;0.698;5.632;91.804
3.841;4.674;12.921;14.267;92.562
6.182;10.049;-6.830;13.632;93.677
-0.943;1.197;4.943;5.173;94.859
4.971;4.827;10.910;12.924;94.952
4.494;6.797;3.741;8.966;94.080
3.206;7.099;0.779;7.828;93.766
1.580;7.137;-0.111;7.311;93.491
1.032;6.898;-0.808;7.021;91.955
1.113;7.235;-1.136;7.408;90.765
0.718;7.561;-2.259;7.924;90.549
-0.299;7.228;-5.819;9.284;89.085
-1.362;6.728;-7.694;10.311;82.369
-2.952;5.876;-7.198;9.749;76.845
-4.286;4.300;-5.010;7.871;68.786
-3.828;2.732;-3.111;5.639;62.520
-3.167;0.922;-0.281;3.311;62.237
-1.987;0.469;5.470;5.838;47.397
0.584;1.044;9.471;9.546;35.355
2.469;2.042;11.812;12.239;34.118
2.464;2.291;14.860;15.236;31.213
1.913;-0.237;16.349;16.463;23.637
1.497;-2.631;15.425;15.719;17.255
1.444;-2.150;15.770;15.981;14.640
2.354;-0.860;17.384;17.563;12.804
4.317;0.721;17.784;18.314;12.647
5.430;0.498;17.254;18.096;12.572
3.733;-0.663;14.709;15.190;12.959
1.360;-2.557;8.812;9.276;14.550
-0.285;-2.993;6.178;6.871;14.832
-0.929;-1.544;7.684;7.893;14.525
0.802;-0.912;6.176;6.294;14.551
2.394;-0.601;11.077;11.349;15.326
3.012;-2.330;11.300;11.924;15.141
3.896;-1.963;9.578;10.525;15.062
4.346;-2.514;10.565;11.697;14.718
4.269;-3.125;12.459;13.535;13.635
3.690;-3.431;15.542;16.339;13.149
2.100;-4.477;15.353;16.130;12.905
1.408;-5.852;10.682;12.261;13.467
1.343;-7.365;4.328;8.647;14.667
0.182;-8.660;1.194;8.744;14.873
-0.677;-7.789;0.559;7.838;14.925
-1.231;-5.212;1.510;5.564;15.017
-0.591;1.642;-0.420;1.795;16.435
6.620;4.899;8.635;11.933;20.326
12.862;5.222;11.022;17.725;21.147
13.592;9.697;11.752;20.418;20.599
