x;y;z;a;index
0.000;-0.012;9.801;9.801;0.144
0.005;-0.019;9.763;9.763;0.147
0.007;-0.017;9.782;9.782;0.147
-0.007;-0.002;9.813;9.813;0.149
-0.014;-0.007;9.782;9.782;0.150
-0.002;-0.012;9.789;9.789;0.139
0.003;-0.012;9.794;9.794;0.127
-0.002;-0.010;9.787;9.787;0.126
-0.005;-0.005;9.794;9.794;0.123
0.003;-0.022;9.791;9.791;0.120
0.007;-0.014;9.806;9.806;0.111
0.005;-0.012;9.787;9.787;0.107
0.005;-0.014;9.777;9.777;0.103
0.000;-0.014;9.794;9.794;0.103
0.000;-0.022;9.784;9.784;0.095
0.012;-0.012;9.808;9.808;0.098
0.007;-0.022;9.808;9.808;0.095
0.022;-0.007;9.794;9.794;0.096
0.019;-0.019;9.803;9.803;0.093
0.003;-0.005;9.787;9.787;0.094
0.003;-0.002;9.794;9.794;0.086
0.007;-0.000;9.784;9.784;0.084
0.003;-0.005;9.767;9.767;0.078
0.007;-0.014;9.808;9.808;0.082
-0.007;-0.017;9.799;9.799;0.083
0.000;-0.024;9.767;9.767;0.089
0.017;-0.007;9.796;9.796;0.096
0.007;-0.005;9.799;9.799;0.096
-0.002;-0.000;9.808;9.808;0.095
0.003;-0.010;9.777;9.777;0.100
0.003;-0.022;9.811;9.811;0.104
0.007;-0.022;9.801;9.801;0.104
0.014;-0.010;9.801;9.801;0.103
0.017;-0.022;9.782;9.782;0.105
0.000;-0.010;9.784;9.784;0.103
-0.005;-0.012;9.777;9.777;0.103
-0.007;-0.024;9.806;9.806;0.105
0.007;-0.010;9.791;9.791;0.107
0.012;-0.022;9.789;9.789;0.104
0.022;-0.019;9.782;9.782;0.104
-0.002;-0.002;9.789;9.789;0.108
0.003;-0.014;9.799;9.799;0.108
-0.014;-0.012;9.799;9.799;0.101
0.000;-0.017;9.789;9.789;0.101
0.010;-0.002;9.791;9.791;0.097
0.005;-0.019;9.777;9.777;0.092
-0.024;-0.012;9.775;9.775;0.096
-0.012;-0.007;9.815;9.815;0.104
0.007;-0.014;9.787;9.787;0.105
0.003;0.010;9.784;9.784;0.102
-0.012;-0.022;9.763;9.763;0.109
0.007;-0.022;9.789;9.789;0.113
0.005;-0.029;9.784;9.784;0.111
0.014;0.010;9.808;9.808;0.119
0.000;-0.019;9.789;9.789;0.124
0.010;-0.014;9.796;9.796;0.121
0.005;-0.012;9.796;9.796;0.118
0.007;-0.005;9.763;9.763;0.122
0.019;-0.000;9.784;9.784;0.124
0.010;-0.029;9.796;9.796;0.125
0.000;-0.014;9.799;9.799;0.125
0.010;0.002;9.777;9.777;0.127
0.012;-0.000;9.796;9.796;0.128
0.003;-0.012;9.782;9.782;0.128
0.003;0.002;9.801;9.801;0.128
0.010;-0.002;9.794;9.794;0.125
0.007;-0.014;9.794;9.794;0.118
0.022;-0.010;9.801;9.801;0.114
0.007;-0.000;9.787;9.787;0.114
0.003;-0.012;9.779;9.779;0.107
-0.009;-0.017;9.791;9.791;0.104
0.010;-0.000;9.772;9.772;0.108
0.003;-0.002;9.789;9.789;0.100
-0.009;-0.005;9.808;9.808;0.095
0.022;-0.012;9.787;9.787;0.102
0.010;-0.012;9.799;9.799;0.103
0.005;-0.012;9.794;9.794;0.097
-0.012;-0.014;9.789;9.789;0.096
0.007;-0.029;9.791;9.791;0.093
-0.009;-0.005;9.806;9.806;0.097
0.007;-0.031;9.799;9.799;0.098
0.017;0.002;9.784;9.784;0.103
0.012;-0.017;9.784;9.784;0.103
-0.005;-0.010;9.782;9.782;0.102
0.000;-0.007;9.779;9.779;0.102
0.014;-0.010;9.806;9.806;0.105
0.012;-0.026;9.799;9.799;0.105
-0.009;-0.014;9.782;9.782;0.107
0.000;-0.019;9.791;9.791;0.107
0.026;0.002;9.803;9.803;0.112
0.003;0.005;9.799;9.799;0.110
-0.005;-0.026;9.794;9.794;0.113
-0.005;-0.007;9.789;9.789;0.112
-0.009;-0.005;9.772;9.772;0.107
-0.012;-0.019;9.803;9.803;0.111
0.000;-0.029;9.782;9.782;0.114
0.000;-0.002;9.765;9.765;0.117
0.017;-0.026;9.808;9.808;0.126
