x;y;z;a;index
0.235;5.100;8.343;9.781;0.728
0.223;5.121;8.410;9.849;0.637
0.230;5.088;8.369;9.797;0.621
0.259;5.093;8.501;9.913;0.635
0.354;5.169;9.025;10.407;0.762
1.169;6.599;8.700;10.981;1.837
-4.906;8.124;7.725;12.237;6.597
-5.497;4.824;5.168;8.956;7.828
-3.938;6.168;-2.917;7.878;11.439
5.385;11.196;2.391;12.651;16.468
-2.140;8.210;2.065;8.732;18.353
0.876;4.413;13.957;14.665;22.400
-3.668;5.842;-1.577;7.076;27.672
-3.800;9.785;0.688;10.520;28.044
-3.357;5.574;4.292;7.794;28.590
12.434;15.024;1.268;19.543;34.134
-1.070;4.633;0.301;4.764;38.163
5.576;12.764;-2.391;14.132;39.673
-4.769;4.499;2.111;6.888;42.065
0.742;9.431;5.091;10.743;42.814
-6.836;1.872;5.973;9.268;44.140
-1.492;8.722;-0.789;8.884;45.493
-3.850;5.004;4.854;7.964;46.052
-2.593;10.468;0.559;10.799;46.587
-1.891;9.160;1.428;9.462;46.589
-5.423;4.750;5.700;9.190;46.696
2.442;11.904;0.470;12.161;47.991
-1.508;7.959;-0.267;8.105;47.595
3.383;8.732;-5.877;11.056;46.700
2.940;10.614;-5.922;12.505;46.032
-3.982;5.749;1.206;7.096;45.567
-0.038;8.200;9.624;12.644;43.644
0.472;5.131;-3.396;6.171;45.424
5.090;12.632;-12.272;18.333;46.784
5.660;13.176;-13.019;19.368;42.921
-0.560;5.243;-7.718;9.347;40.995
-3.862;1.695;-2.032;4.681;40.236
-2.713;-0.261;0.504;2.771;37.880
0.951;2.890;17.132;17.400;40.880
-4.305;4.221;5.896;8.433;41.370
-2.382;4.386;0.727;5.044;40.258
14.153;11.840;-8.925;20.497;44.627
7.676;11.885;-8.570;16.542;44.539
3.371;7.911;0.411;8.609;45.780
7.269;2.219;9.382;12.074;46.623
3.134;1.597;11.815;12.327;45.351
-1.494;7.599;4.704;9.061;46.184
-0.009;8.830;10.052;13.380;45.928
6.046;6.723;2.094;9.281;47.011
-3.450;4.130;-6.923;8.769;47.601
2.279;8.569;0.322;8.873;47.733
-1.020;8.172;6.023;10.202;46.290
-2.983;-2.787;6.583;7.746;45.942
-0.053;-2.287;12.643;12.848;46.423
3.809;-0.340;10.378;11.060;45.268
7.535;1.645;12.320;14.535;44.888
4.635;2.286;7.795;9.353;45.085
3.345;0.982;9.152;9.794;41.690
-0.912;2.107;10.802;11.043;40.056
-4.221;4.650;5.247;8.183;40.278
4.023;7.073;4.402;9.251;35.704
14.462;5.428;-1.950;15.569;37.212
9.762;3.110;-6.992;12.404;36.368
8.857;2.332;-0.478;9.171;35.191
15.443;7.149;6.933;18.376;36.558
8.387;2.981;-2.489;9.243;37.208
0.659;1.607;-4.701;5.012;37.664
11.684;7.271;6.698;15.305;39.972
10.173;6.369;-1.953;12.160;38.697
10.506;7.686;0.473;13.026;37.419
5.701;7.149;-4.488;10.186;37.478
4.655;6.584;-4.747;9.357;35.803
3.654;5.002;0.447;6.210;35.592
1.161;3.804;7.072;8.114;35.979
0.218;3.572;10.644;11.229;35.869
-6.218;4.891;11.039;13.581;36.064
-8.353;6.637;8.774;13.813;36.168
-6.290;6.816;13.589;16.452;36.242
0.036;5.100;14.194;15.083;36.174
0.508;5.370;9.169;10.638;35.490
-1.752;7.080;4.847;8.757;33.679
-3.337;8.478;3.487;9.756;32.980
-2.394;8.615;4.926;10.208;32.354
0.077;9.680;9.056;13.256;30.815
1.631;9.534;12.380;15.710;28.410
1.319;10.403;12.772;16.526;27.233
0.958;11.955;15.413;19.529;21.623
-0.359;10.633;21.957;24.398;20.879
-0.249;9.618;20.980;23.081;20.741
-0.141;11.203;15.770;19.345;20.295
-0.460;11.339;14.032;18.047;20.335
-0.299;9.874;12.784;16.156;19.667
-1.652;8.445;9.586;12.881;18.691
-1.767;7.551;5.929;9.762;18.704
0.182;7.463;4.718;8.831;17.657
0.501;6.268;2.314;6.700;17.503
-0.139;3.414;-1.876;3.898;17.464
-0.172;2.624;-5.271;5.891;16.547
-0.187;2.014;-7.076;7.360;15.871
0.165;1.640;-8.992;9.142;15.137
0.062;1.688;-8.944;9.102;14.927
-1.513;0.055;-8.439;8.573;15.008
