x;y;z;a;index
-1.223;-9.975;2.237;10.296;14.373
3.411;-5.168;7.485;9.714;16.692
-1.127;-5.512;10.109;11.569;17.137
-5.035;-2.371;6.872;8.843;18.115
-9.555;0.252;9.285;13.326;19.0
-1.204;-8.06;1.605;8.306;23.632
-2.334;-8.271;7.542;11.434;24.39
0.787;-6.049;6.068;8.604;24.7
-1.683;-8.903;-1.67;9.213;26.147
-3.311;2.972;12.772;13.525;32.185
-8.617;36.588;24.973;45.129;48.402
-12.658;-39.78;-13.392;43.841;98.297
-2.564;2.723;9.381;10.099;109.949
-8.866;-1.988;0.628;9.108;110.576
-9.613;-2.084;0.513;9.85;110.578
1.113;-6.528;5.589;8.665;110.943
2.434;-4.727;5.167;7.414;110.897
2.319;-9.86;3.271;10.644;110.621
1.841;-10.339;5.857;12.024;110.651
5.499;-2.429;5.799;8.352;110.988
-1.989;-2.275;9.285;9.764;110.97
0.271;-7.639;7.696;10.847;111.01
1.285;-7.677;6.068;9.869;110.866
5.193;-5.263;5.895;9.456;110.812
4.503;-8.347;6.221;11.342;109.962
4.848;-9.018;5.263;11.512;109.802
3.986;-4.785;8.002;10.14;109.844
4.062;-6.719;6.259;10.041;109.537
2.128;-8.022;7.983;11.515;107.957
4.522;-6.834;3.309;8.837;101.865
4.12;-6.279;7.313;10.482;55.433
4.733;-5.857;6.872;10.194;25.427
5.748;0.463;8.155;9.988;23.465
4.311;-3.559;6.661;8.696;23.885
5.269;-7.064;6.106;10.721;20.578
5.576;-6.93;5.014;10.21;20.484
