x;y;z;a
-6.751;6.183;3.064;9.654
-3.179;9.228;2.317;10.032
-6.186;8.539;2.327;10.798
-1.829;9.946;1.264;10.192
-5.506;7.715;2.336;9.762
-2.997;9.401;1.254;9.946
-8.168;4.152;-0.000;9.163
-2.767;11.699;4.970;13.009
-4.414;8.146;3.706;9.979
-3.074;10.090;2.633;10.872
-5.468;12.312;1.838;13.596
-4.338;8.835;3.409;10.416
-3.916;8.826;2.633;10.008
-4.089;8.682;2.700;9.969
-3.964;8.883;2.777;10.116
-3.888;8.711;2.691;9.911
-4.041;8.721;2.786;10.007
-4.117;8.711;2.882;10.057
-4.098;8.692;2.949;10.052
-4.117;8.654;2.854;9.999
-4.137;8.663;2.988;10.054
-4.108;8.730;2.873;10.067
-4.022;8.663;2.988;10.007
-4.031;8.816;2.786;10.087
-4.137;8.596;3.074;10.023
