x;y;z;a
0.142;8.882;3.663;9.609
0.036;8.805;4.037;9.687
-0.002;8.767;3.941;9.612
-0.079;8.815;4.017;9.688
-0.165;8.968;4.046;9.840
-0.193;8.892;4.008;9.755
-0.193;8.939;4.123;9.846
-0.203;8.978;3.998;9.830
-0.213;8.844;3.845;9.646
2.268;11.880;2.025;12.262
2.890;8.786;4.669;10.361
-0.500;0.004;0.033;0.501
-10.623;-12.819;-5.224;17.449
-31.998;1.259;1.882;32.078
-9.694;10.070;9.160;16.711
7.861;7.685;-15.538;19.034
4.595;1.144;-5.521;7.274
0.352;1.738;-9.495;9.660
0.352;1.833;-9.390;9.574
0.381;1.709;-9.428;9.590
0.324;1.719;-9.218;9.382
0.333;1.814;-9.361;9.541
0.352;1.757;-9.352;9.522
0.372;1.738;-9.275;9.444
0.333;1.786;-9.304;9.480
0.410;1.757;-9.294;9.468
0.285;1.699;-9.266;9.425
0.295;1.719;-9.256;9.419
0.343;1.719;-9.294;9.458
0.285;1.671;-9.256;9.410
0.295;1.652;-9.275;9.426
0.209;1.652;-9.179;9.329
0.199;1.632;-9.151;9.297
0.285;1.623;-9.179;9.326
0.266;1.623;-9.103;9.250
0.237;1.613;-9.189;9.333
0.266;1.671;-9.323;9.475
0.305;1.671;-9.266;9.420
0.257;1.652;-9.151;9.302
0.266;1.661;-9.179;9.332
0.314;1.680;-9.199;9.356
0.247;1.632;-9.179;9.327
0.285;1.652;-9.065;9.218
0.295;1.699;-9.294;9.453
0.237;1.604;-9.189;9.331
0.209;1.652;-9.256;9.405
0.257;1.709;-9.256;9.416
0.352;1.623;-9.179;9.328
0.381;1.699;-9.342;9.503
0.314;1.709;-9.294;9.455
0.372;1.766;-9.314;9.487
0.343;1.757;-9.314;9.484
0.333;1.814;-9.342;9.523
0.400;1.757;-9.323;9.496
0.802;3.308;-15.491;15.860
2.191;0.148;-11.794;11.997
2.651;-0.877;-4.899;5.638
0.372;-10.463;3.615;11.076
4.087;-7.130;5.291;9.775
5.284;-6.747;4.573;9.714
4.959;-6.585;5.799;10.078
6.328;-4.918;4.391;9.139
5.237;-5.876;5.128;9.394
5.160;-5.847;5.147;9.344
5.160;-5.761;5.435;9.453
5.102;-5.857;5.377;9.447
5.189;-5.703;5.473;9.456
5.055;-5.751;5.454;9.401
5.237;-5.550;5.473;9.390
5.447;-5.502;5.406;9.443
5.179;-5.751;5.550;9.524
5.189;-5.550;5.598;9.437
5.323;-5.541;5.396;9.389
