x;y;z;a
-0.059;-1.222;7.465;7.565
-2.205;-2.706;12.416;12.898
-1.027;-2.150;8.116;8.459
-0.950;-1.796;7.953;8.209
-0.730;-2.304;9.141;9.455
-0.624;-1.892;9.467;9.674
-0.548;-1.585;9.084;9.237
-1.103;-2.457;8.748;9.154
-1.304;-1.499;8.949;9.167
-2.099;-1.892;9.275;9.696
-1.525;-1.097;9.198;9.388
-1.285;-1.538;9.179;9.396
-1.506;-1.681;9.333;9.602
-1.898;-1.691;9.036;9.386
-0.079;0.234;0.196;0.315
-0.308;0.081;0.551;0.636
-0.912;-0.551;1.345;1.716
-1.458;0.991;-0.522;1.838
-21.320;-34.166;-34.491;53.023
8.225;4.659;12.761;15.880
0.324;0.598;9.294;9.319
-10.546;3.730;-10.463;15.317
-1.094;-9.544;-9.601;13.581
0.017;2.743;-9.218;9.617
0.372;1.259;-9.495;9.586
0.372;1.278;-9.515;9.607
0.391;1.345;-9.457;9.560
0.257;1.259;-9.419;9.506
0.391;1.249;-9.342;9.433
0.372;1.221;-9.438;9.524
0.295;1.249;-9.448;9.534
0.400;1.221;-9.467;9.553
0.352;1.307;-9.419;9.516
0.343;1.268;-9.448;9.539
0.362;1.211;-9.400;9.484
0.343;1.259;-9.448;9.537
0.372;1.182;-9.438;9.519
0.352;1.288;-9.457;9.551
0.429;1.316;-9.448;9.548
0.391;1.403;-9.524;9.635
0.429;1.249;-9.534;9.625
0.400;1.297;-9.457;9.554
0.314;1.211;-9.352;9.435
0.257;1.297;-9.390;9.483
0.333;1.297;-9.448;9.542
0.419;1.642;-9.495;9.646
0.324;1.326;-9.467;9.565
0.429;1.288;-9.476;9.573
0.372;1.259;-9.505;9.595
0.400;1.297;-9.486;9.583
0.400;1.297;-9.419;9.516
0.372;1.374;-9.543;9.649
0.458;1.335;-9.495;9.600
0.467;1.345;-9.572;9.677
0.458;1.326;-9.495;9.599
0.333;1.240;-9.371;9.458
0.400;1.297;-9.572;9.668
0.429;1.335;-9.543;9.646
0.314;1.307;-9.246;9.344
1.511;-0.187;-11.248;11.351
4.154;5.521;-9.965;12.126
1.214;8.834;0.867;8.959
1.109;10.587;4.017;11.377
-0.433;2.973;5.588;6.344
-1.170;1.833;7.580;7.886
-1.649;1.594;8.059;8.379
-2.358;1.230;7.743;8.187
-3.316;1.307;8.672;9.375
-3.948;0.837;9.275;10.115
-4.063;1.144;8.720;9.687
-4.053;1.154;8.892;9.840
-4.235;0.809;8.844;9.839
