FallDetector: calibrazione: normX: -0.159; normY: -0.402; normZ: -0.077; counter: 50
FallDetector: svm: 55,644, theta: -60,980, dsvm: 61,617, agsvm: -37,702, adgsvm: -41,749
FallDetector: svm: 13,803, theta: -66,506, dsvm: 44,776, agsvm: -10,200, adgsvm: -33,087
FallDetector: svm: 12,766, theta: -48,658, dsvm: 17,296, agsvm: -6,902, adgsvm: -9,351
FallDetector: svm: 13,599, theta: -59,883, dsvm: 14,832, agsvm: -9,049, adgsvm: -9,869
FallDetector: svm: 10,608, theta: -36,488, dsvm: 11,225, agsvm: -4,301, adgsvm: -4,551
FallDetector: svm: 10,316, theta: -36,617, dsvm: 2,228, agsvm: -4,197, adgsvm: -0,906
FallDetector: svm: 10,268, theta: -39,730, dsvm: 2,036, agsvm: -4,533, adgsvm: -0,899
FallDetector: svm: 10,242, theta: -39,218, dsvm: 0,256, agsvm: -4,463, adgsvm: -0,111
FallDetector: svm: 10,291, theta: -39,045, dsvm: 0,165, agsvm: -4,465, adgsvm: -0,072
FallDetector: svm: 10,298, theta: -39,264, dsvm: 0,048, agsvm: -4,493, adgsvm: -0,021
FallDetector: svm: 10,277, theta: -39,295, dsvm: 0,027, agsvm: -4,487, adgsvm: -0,012
FallDetector: svm: 10,298, theta: -39,264, dsvm: 0,027, agsvm: -4,493, adgsvm: -0,012
FallDetector: svm: 10,297, theta: -39,084, dsvm: 0,033, agsvm: -4,472, adgsvm: -0,015
FallDetector: svm: 10,287, theta: -39,191, dsvm: 0,028, agsvm: -4,479, adgsvm: -0,012
FallDetector: svm: 10,276, theta: -39,116, dsvm: 0,039, agsvm: -4,466, adgsvm: -0,017
FallDetector: svm: 10,281, theta: -39,154, dsvm: 0,020, agsvm: -4,473, adgsvm: -0,009
FallDetector: svm: 10,302, theta: -39,121, dsvm: 0,028, agsvm: -4,478, adgsvm: -0,012
FallDetector: svm: 10,281, theta: -39,154, dsvm: 0,028, agsvm: -4,473, adgsvm: -0,012
FallDetector: svm: 10,281, theta: -39,154, dsvm: 0,000, agsvm: -4,473, adgsvm: -0,000
FallDetector: svm: 10,292, theta: -39,228, dsvm: 0,019, agsvm: -4,486, adgsvm: -0,008
FallDetector: svm: 10,292, theta: -39,228, dsvm: 0,042, agsvm: -4,486, adgsvm: -0,019
FallDetector: svm: 10,267, theta: -39,221, dsvm: 0,042, agsvm: -4,474, adgsvm: -0,019
FallDetector: svm: 10,272, theta: -39,258, dsvm: 0,019, agsvm: -4,481, adgsvm: -0,008
FallDetector: calibrazione: normX: -0.090; normY: -0.331; normZ: -0.070; counter: 50
FallDetector: svm: 9,693, theta: 79,375, dsvm: 13,400, agsvm: 8,549, adgsvm: 11,818
FallDetector: svm: 9,357, theta: -79,783, dsvm: 4,057, agsvm: -8,295, adgsvm: -3,596
FallDetector: svm: 9,059, theta: 88,024, dsvm: 4,163, agsvm: 8,860, adgsvm: 4,072
FallDetector: svm: 9,424, theta: 88,916, dsvm: 2,768, agsvm: 9,311, adgsvm: 2,735
FallDetector: svm: 9,804, theta: -86,563, dsvm: 1,542, agsvm: -9,430, adgsvm: -1,483
FallDetector: svm: 9,873, theta: -87,593, dsvm: 0,364, agsvm: -9,609, adgsvm: -0,354
FallDetector: svm: 9,846, theta: -88,145, dsvm: 0,181, agsvm: -9,643, adgsvm: -0,177
FallDetector: svm: 9,826, theta: -87,132, dsvm: 0,336, agsvm: -9,513, adgsvm: -0,326
FallDetector: svm: 9,843, theta: -87,247, dsvm: 0,033, agsvm: -9,542, adgsvm: -0,032
FallDetector: svm: 9,842, theta: -87,247, dsvm: 0,019, agsvm: -9,541, adgsvm: -0,018
FallDetector: svm: 9,871, theta: -86,924, dsvm: 0,147, agsvm: -9,534, adgsvm: -0,142
FallDetector: svm: 9,844, theta: -87,137, dsvm: 0,123, agsvm: -9,531, adgsvm: -0,119
FallDetector: svm: 9,841, theta: -87,363, dsvm: 0,043, agsvm: -9,553, adgsvm: -0,042
FallDetector: svm: 9,861, theta: -87,369, dsvm: 0,027, agsvm: -9,573, adgsvm: -0,026
FallDetector: svm: 9,860, theta: -87,369, dsvm: 0,019, agsvm: -9,572, adgsvm: -0,018
FallDetector: svm: 9,860, theta: -87,369, dsvm: 0,000, agsvm: -9,572, adgsvm: -0,000
FallDetector: svm: 9,688, theta: -86,978, dsvm: 0,319, agsvm: -9,363, adgsvm: -0,308
FallDetector: svm: 9,841, theta: -87,247, dsvm: 0,321, agsvm: -9,540, adgsvm: -0,311
FallDetector: svm: 9,841, theta: -87,363, dsvm: 0,028, agsvm: -9,553, adgsvm: -0,027
FallDetector: svm: 9,841, theta: -87,247, dsvm: 0,028, agsvm: -9,540, adgsvm: -0,027
FallDetector: svm: 9,822, theta: -87,242, dsvm: 0,019, agsvm: -9,521, adgsvm: -0,018
FallDetector: svm: 9,841, theta: -87,363, dsvm: 0,033, agsvm: -9,553, adgsvm: -0,033
FallDetector: svm: 9,861, theta: -87,252, dsvm: 0,028, agsvm: -9,560, adgsvm: -0,027
FallDetector: svm: 11,405, theta: -52,235, dsvm: 23,809, agsvm: -6,619, adgsvm: -13,818
FallDetector: svm: 22,467, theta: -50,652, dsvm: 21,816, agsvm: -12,644, adgsvm: -12,278
FallDetector: svm: 8,184, theta: -15,554, dsvm: 16,548, agsvm: -1,414, adgsvm: -2,860
FallDetector: svm: 9,791, theta: -39,284, dsvm: 5,294, agsvm: -4,274, adgsvm: -2,311
FallDetector: svm: 10,253, theta: -41,867, dsvm: 0,910, agsvm: -4,770, adgsvm: -0,423
FallDetector: svm: 10,309, theta: -43,461, dsvm: 0,293, agsvm: -4,978, adgsvm: -0,142
FallDetector: svm: 9,988, theta: -41,315, dsvm: 0,500, agsvm: -4,585, adgsvm: -0,229
FallDetector: svm: 10,018, theta: -41,349, dsvm: 0,123, agsvm: -4,603, adgsvm: -0,056
FallDetector: svm: 9,727, theta: -40,059, dsvm: 1,404, agsvm: -4,329, adgsvm: -0,625
FallDetector: svm: 10,483, theta: -46,367, dsvm: 1,362, agsvm: -5,401, adgsvm: -0,702
FallDetector: svm: 9,799, theta: -41,248, dsvm: 1,196, agsvm: -4,491, adgsvm: -0,548
FallDetector: svm: 9,903, theta: -41,761, dsvm: 0,141, agsvm: -4,595, adgsvm: -0,065
