FallDetector: svm: 15,440, theta: 37,522, dsvm: 21,762, agsvm: 6,437, adgsvm: 9,073
FallDetector: svm: 7,642, theta: 17,084, dsvm: 10,668, agsvm: 1,451, adgsvm: 2,025
FallDetector: svm: 9,904, theta: 34,064, dsvm: 5,681, agsvm: 3,749, adgsvm: 2,150
FallDetector: svm: 8,872, theta: 31,159, dsvm: 5,083, agsvm: 3,071, adgsvm: 1,760
FallDetector: svm: 10,655, theta: 30,901, dsvm: 3,880, agsvm: 3,658, adgsvm: 1,332
FallDetector: svm: 9,972, theta: 34,060, dsvm: 0,896, agsvm: 3,774, adgsvm: 0,339
FallDetector: svm: 9,833, theta: 30,717, dsvm: 0,728, agsvm: 3,356, adgsvm: 0,248
FallDetector: svm: 9,989, theta: 30,926, dsvm: 0,271, agsvm: 3,432, adgsvm: 0,093
FallDetector: svm: 9,928, theta: 30,552, dsvm: 0,105, agsvm: 3,370, adgsvm: 0,036
FallDetector: svm: 9,976, theta: 30,372, dsvm: 0,130, agsvm: 3,366, adgsvm: 0,044
FallDetector: svm: 9,998, theta: 30,377, dsvm: 0,047, agsvm: 3,375, adgsvm: 0,016
FallDetector: svm: 19,858, theta: -87,422, dsvm: 29,691, agsvm: -19,289, adgsvm: -28,841
FallDetector: svm: 20,210, theta: -62,230, dsvm: 37,456, agsvm: -13,974, adgsvm: -25,898
FallDetector: svm: 7,811, theta: 73,275, dsvm: 16,418, agsvm: 6,359, adgsvm: 13,367
FallDetector: svm: 11,138, theta: -54,383, dsvm: 10,933, agsvm: -6,730, adgsvm: -6,607
FallDetector: svm: 11,029, theta: -61,063, dsvm: 3,771, agsvm: -7,483, adgsvm: -2,558
FallDetector: svm: 9,746, theta: -52,942, dsvm: 2,168, agsvm: -5,733, adgsvm: -1,275
FallDetector: svm: 9,576, theta: -52,462, dsvm: 0,625, agsvm: -5,582, adgsvm: -0,364
FallDetector: svm: 9,766, theta: -54,006, dsvm: 0,323, agsvm: -5,860, adgsvm: -0,194
FallDetector: svm: 9,884, theta: -54,914, dsvm: 0,197, agsvm: -6,031, adgsvm: -0,120
FallDetector: svm: 9,942, theta: -55,416, dsvm: 0,121, agsvm: -6,122, adgsvm: -0,075
FallDetector: svm: 9,940, theta: -55,273, dsvm: 0,027, agsvm: -6,104, adgsvm: -0,017
FallDetector: svm: 9,940, theta: -55,273, dsvm: 0,000, agsvm: -6,104, adgsvm: -0,000
FallDetector: svm: 9,940, theta: -55,273, dsvm: 0,000, agsvm: -6,104, adgsvm: -0,000
FallDetector: svm: 9,951, theta: -55,183, dsvm: 0,019, agsvm: -6,101, adgsvm: -0,012
FallDetector: svm: 9,948, theta: -55,306, dsvm: 0,027, agsvm: -6,113, adgsvm: -0,017
FallDetector: svm: 9,951, theta: -55,183, dsvm: 0,027, agsvm: -6,101, adgsvm: -0,016
FallDetector: svm: 9,926, theta: -55,220, dsvm: 0,027, agsvm: -6,090, adgsvm: -0,016
FallDetector: svm: 9,959, theta: -55,216, dsvm: 0,033, agsvm: -6,110, adgsvm: -0,020
FallDetector: svm: 9,959, theta: -55,216, dsvm: 0,000, agsvm: -6,110, adgsvm: -0,000
FallDetector: svm: 9,940, theta: -55,273, dsvm: 0,027, agsvm: -6,104, adgsvm: -0,017
FallDetector: svm: 9,937, theta: -55,130, dsvm: 0,027, agsvm: -6,087, adgsvm: -0,016
FallDetector: svm: 9,937, theta: -55,130, dsvm: 0,000, agsvm: -6,087, adgsvm: -0,000
FallDetector: svm: 9,951, theta: -55,183, dsvm: 0,019, agsvm: -6,101, adgsvm: -0,012
FallDetector: svm: 4,958, theta: -77,816, dsvm: 34,344, agsvm: -4,287, adgsvm: -29,695
FallDetector: svm: 14,035, theta: 18,865, dsvm: 14,985, agsvm: 2,942, adgsvm: 3,141
FallDetector: svm: 8,262, theta: 72,832, dsvm: 13,051, agsvm: 6,686, adgsvm: 10,561
FallDetector: svm: 10,120, theta: 85,405, dsvm: 2,874, agsvm: 9,603, adgsvm: 2,727
FallDetector: svm: 9,935, theta: 86,759, dsvm: 0,488, agsvm: 9,577, adgsvm: 0,471
FallDetector: svm: 9,819, theta: 86,610, dsvm: 0,139, agsvm: 9,449, adgsvm: 0,134
FallDetector: svm: 9,819, theta: 86,721, dsvm: 0,027, agsvm: 9,461, adgsvm: 0,026
FallDetector: svm: 9,839, theta: 86,616, dsvm: 0,027, agsvm: 9,469, adgsvm: 0,026
FallDetector: svm: 9,839, theta: 86,616, dsvm: 0,000, agsvm: 9,469, adgsvm: 0,000
FallDetector: svm: 9,819, theta: 86,721, dsvm: 0,027, agsvm: 9,461, adgsvm: 0,026
FallDetector: svm: 9,857, theta: 86,733, dsvm: 0,038, agsvm: 9,499, adgsvm: 0,037
FallDetector: svm: 9,858, theta: 86,623, dsvm: 0,019, agsvm: 9,488, adgsvm: 0,018
FallDetector: svm: 9,858, theta: 86,623, dsvm: 0,000, agsvm: 9,488, adgsvm: 0,000
FallDetector: svm: 9,856, theta: 86,844, dsvm: 0,054, agsvm: 9,511, adgsvm: 0,052
FallDetector: svm: 9,857, theta: 86,733, dsvm: 0,042, agsvm: 9,499, adgsvm: 0,041
FallDetector: svm: 9,838, theta: 86,727, dsvm: 0,019, agsvm: 9,480, adgsvm: 0,018
FallDetector: svm: 9,820, theta: 86,610, dsvm: 0,027, agsvm: 9,450, adgsvm: 0,026
FallDetector: svm: 9,820, theta: 86,610, dsvm: 0,000, agsvm: 9,450, adgsvm: 0,000
FallDetector: svm: 9,837, theta: 86,837, dsvm: 0,042, agsvm: 9,491, adgsvm: 0,041
FallDetector: svm: 9,857, theta: 86,733, dsvm: 0,027, agsvm: 9,499, adgsvm: 0,026
FallDetector: svm: 9,856, theta: 86,843, dsvm: 0,019, agsvm: 9,510, adgsvm: 0,018
FallDetector: svm: 9,960, theta: 87,205, dsvm: 1,706, agsvm: 9,651, adgsvm: 1,653
FallDetector: svm: 9,818, theta: 86,720, dsvm: 1,668, agsvm: 9,460, adgsvm: 1,607
FallDetector: svm: 9,838, theta: 86,616, dsvm: 0,027, agsvm: 9,468, adgsvm: 0,026
FallDetector: svm: 43,754, theta: 74,295, dsvm: 47,406, agsvm: 36,119, adgsvm: 39,133
FallDetector: svm: 5,023, theta: 62,445, dsvm: 39,303, agsvm: 3,485, adgsvm: 27,270
FallDetector: svm: 12,631, theta: -69,902, dsvm: 17,623, agsvm: -9,810, adgsvm: -13,688
FallDetector: svm: 5,478, theta: 51,172, dsvm: 10,886, agsvm: 3,115, adgsvm: 6,189
FallDetector: svm: 12,944, theta: 86,409, dsvm: 9,040, agsvm: 12,428, adgsvm: 8,680
FallDetector: svm: 10,030, theta: -88,181, dsvm: 3,960, agsvm: -9,828, adgsvm: -3,880
FallDetector: svm: 10,816, theta: -84,044, dsvm: 1,087, agsvm: -10,100, adgsvm: -1,015
FallDetector: svm: 9,912, theta: -89,044, dsvm: 1,278, agsvm: -9,807, adgsvm: -1,264
FallDetector: svm: 9,784, theta: -87,127, dsvm: 0,372, agsvm: -9,471, adgsvm: -0,360
FallDetector: svm: 9,857, theta: -87,480, dsvm: 0,096, agsvm: -9,581, adgsvm: -0,093
FallDetector: svm: 9,790, theta: -87,352, dsvm: 0,098, agsvm: -9,502, adgsvm: -0,095
FallDetector: svm: 9,825, theta: -87,361, dsvm: 0,042, agsvm: -9,537, adgsvm: -0,041
FallDetector: svm: 9,786, theta: -87,462, dsvm: 0,042, agsvm: -9,510, adgsvm: -0,041
FallDetector: svm: 9,802, theta: -87,466, dsvm: 0,027, agsvm: -9,527, adgsvm: -0,026
FallDetector: svm: 9,819, theta: -87,471, dsvm: 0,028, agsvm: -9,543, adgsvm: -0,027
FallDetector: svm: 9,821, theta: -87,471, dsvm: 0,020, agsvm: -9,545, adgsvm: -0,019
FallDetector: svm: 9,819, theta: -87,471, dsvm: 0,020, agsvm: -9,543, adgsvm: -0,019
FallDetector: svm: 11,002, theta: -87,044, dsvm: 1,411, agsvm: -10,640, adgsvm: -1,365
FallDetector: svm: 9,800, theta: -87,466, dsvm: 1,428, agsvm: -9,524, adgsvm: -1,388
FallDetector: svm: 9,837, theta: -87,475, dsvm: 0,038, agsvm: -9,561, adgsvm: -0,037
FallDetector: svm: 9,818, theta: -87,581, dsvm: 0,027, agsvm: -9,554, adgsvm: -0,026
FallDetector: svm: 9,797, theta: -87,465, dsvm: 0,033, agsvm: -9,521, adgsvm: -0,032
FallDetector: svm: 9,800, theta: -87,466, dsvm: 0,019, agsvm: -9,524, adgsvm: -0,018
FallDetector: svm: 20,184, theta: -64,081, dsvm: 17,650, agsvm: -14,371, adgsvm: -12,567
FallDetector: svm: 24,969, theta: 85,586, dsvm: 12,936, agsvm: 23,744, adgsvm: 12,301
FallDetector: svm: 3,943, theta: -32,495, dsvm: 24,511, agsvm: -1,423, adgsvm: -8,850
FallDetector: svm: 4,965, theta: 64,076, dsvm: 6,044, agsvm: 3,535, adgsvm: 4,303
FallDetector: svm: 23,942, theta: 53,965, dsvm: 23,239, agsvm: 14,356, adgsvm: 13,934
FallDetector: svm: 11,752, theta: -88,541, dsvm: 26,167, agsvm: -11,562, adgsvm: -25,742
FallDetector: svm: 4,521, theta: 53,521, dsvm: 9,027, agsvm: 2,688, adgsvm: 5,368
FallDetector: svm: 37,097, theta: 60,783, dsvm: 38,468, agsvm: 25,054, adgsvm: 25,980
FallDetector: svm: 6,491, theta: 17,981, dsvm: 36,370, agsvm: 1,297, adgsvm: 7,266
FallDetector: svm: 7,299, theta: -77,012, dsvm: 10,417, agsvm: -6,245, adgsvm: -8,914
FallDetector: svm: 34,892, theta: -87,212, dsvm: 31,426, agsvm: -33,811, adgsvm: -30,452
FallDetector: svm: 9,508, theta: 79,047, dsvm: 26,316, agsvm: 8,351, adgsvm: 23,113
FallDetector: svm: 15,853, theta: -44,864, dsvm: 15,665, agsvm: -7,903, adgsvm: -7,809
FallDetector: svm: 9,476, theta: -70,814, dsvm: 12,176, agsvm: -7,456, adgsvm: -9,580
FallDetector: svm: 23,053, theta: -68,475, dsvm: 24,263, agsvm: -17,539, adgsvm: -18,460
FallDetector: svm: 5,367, theta: -74,345, dsvm: 24,571, agsvm: -4,434, adgsvm: -20,297
FallDetector: svm: 8,644, theta: 78,585, dsvm: 4,821, agsvm: 7,547, adgsvm: 4,210
FallDetector: svm: 25,895, theta: 77,251, dsvm: 21,071, agsvm: 22,227, adgsvm: 18,086
FallDetector: svm: 5,590, theta: 77,870, dsvm: 22,877, agsvm: 4,837, adgsvm: 19,793
FallDetector: svm: 10,368, theta: 87,741, dsvm: 5,299, agsvm: 10,107, adgsvm: 5,166
FallDetector: svm: 23,057, theta: 89,509, dsvm: 23,549, agsvm: 22,931, adgsvm: 23,421
FallDetector: svm: 8,682, theta: 81,458, dsvm: 14,512, agsvm: 7,858, adgsvm: 13,134
FallDetector: svm: 9,192, theta: 89,952, dsvm: 7,923, agsvm: 9,187, adgsvm: 7,919
FallDetector: svm: 24,972, theta: -49,332, dsvm: 25,225, agsvm: -13,688, adgsvm: -13,827
