FallDetector: svm: 12,531, theta: -25,472, dsvm: 1,966, agsvm: -3,547, adgsvm: -0,557
FallDetector: svm: 12,744, theta: -58,904, dsvm: 7,395, agsvm: -8,341, adgsvm: -4,840
FallDetector: svm: 7,073, theta: -79,451, dsvm: 6,623, agsvm: -6,244, adgsvm: -5,846
FallDetector: svm: 6,877, theta: 44,680, dsvm: 7,067, agsvm: 3,414, adgsvm: 3,508
FallDetector: svm: 9,204, theta: 36,888, dsvm: 2,617, agsvm: 3,772, adgsvm: 1,073
FallDetector: svm: 9,294, theta: 31,806, dsvm: 1,427, agsvm: 3,284, adgsvm: 0,504
FallDetector: svm: 10,440, theta: 35,390, dsvm: 1,356, agsvm: 4,105, adgsvm: 0,533
FallDetector: svm: 10,370, theta: 27,018, dsvm: 2,458, agsvm: 3,113, adgsvm: 0,738
FallDetector: svm: 8,233, theta: 9,994, dsvm: 4,078, agsvm: 0,914, adgsvm: 0,453
FallDetector: svm: 6,141, theta: 63,450, dsvm: 7,436, agsvm: 4,330, adgsvm: 5,242
FallDetector: svm: 8,131, theta: -40,952, dsvm: 9,050, agsvm: -3,700, adgsvm: -4,118
FallDetector: svm: 20,538, theta: -48,987, dsvm: 13,909, agsvm: -11,179, adgsvm: -7,570
FallDetector: svm: 10,060, theta: -23,232, dsvm: 12,316, agsvm: -2,597, adgsvm: -3,179
FallDetector: svm: 9,630, theta: -19,604, dsvm: 1,688, agsvm: -2,098, adgsvm: -0,368
FallDetector: svm: 12,133, theta: -16,716, dsvm: 2,571, agsvm: -2,253, adgsvm: -0,478
FallDetector: svm: 7,946, theta: -8,192, dsvm: 4,631, agsvm: -0,723, adgsvm: -0,422
FallDetector: svm: 10,982, theta: -10,551, dsvm: 3,154, agsvm: -1,287, adgsvm: -0,370
FallDetector: svm: 14,882, theta: -12,477, dsvm: 3,952, agsvm: -2,063, adgsvm: -0,548
FallDetector: svm: 10,916, theta: -21,123, dsvm: 4,839, agsvm: -2,562, adgsvm: -1,136
FallDetector: svm: 8,959, theta: -27,567, dsvm: 2,256, agsvm: -2,744, adgsvm: -0,691
FallDetector: svm: 10,120, theta: -51,262, dsvm: 7,504, agsvm: -5,764, adgsvm: -4,274
FallDetector: svm: 17,847, theta: -47,987, dsvm: 9,515, agsvm: -9,516, adgsvm: -5,073
FallDetector: svm: 6,228, theta: -37,591, dsvm: 11,904, agsvm: -2,601, adgsvm: -4,972
FallDetector: svm: 8,858, theta: -39,731, dsvm: 4,495, agsvm: -3,910, adgsvm: -1,985
FallDetector: svm: 4,182, theta: -67,476, dsvm: 23,159, agsvm: -3,135, adgsvm: -17,363
FallDetector: svm: 21,731, theta: -19,173, dsvm: 19,365, agsvm: -4,630, adgsvm: -4,125
FallDetector: svm: 7,724, theta: -20,538, dsvm: 14,041, agsvm: -1,763, adgsvm: -3,204
FallDetector: svm: 11,830, theta: -48,208, dsvm: 6,186, agsvm: -6,337, adgsvm: -3,313
FallDetector: svm: 7,174, theta: 86,739, dsvm: 8,630, agsvm: 6,914, adgsvm: 8,318
FallDetector: svm: 13,186, theta: -62,338, dsvm: 8,441, agsvm: -9,133, adgsvm: -5,847
FallDetector: svm: 12,572, theta: -72,932, dsvm: 4,655, agsvm: -10,187, adgsvm: -3,772
FallDetector: svm: 10,755, theta: -88,711, dsvm: 5,652, agsvm: -10,601, adgsvm: -5,571
FallDetector: svm: 9,829, theta: -78,807, dsvm: 2,003, agsvm: -8,607, adgsvm: -1,754
FallDetector: svm: 10,314, theta: -64,638, dsvm: 2,817, agsvm: -7,408, adgsvm: -2,023
FallDetector: svm: 15,246, theta: -76,144, dsvm: 6,212, agsvm: -12,898, adgsvm: -5,256
FallDetector: svm: 8,866, theta: -68,900, dsvm: 6,851, agsvm: -6,788, adgsvm: -5,245
FallDetector: svm: 9,845, theta: -58,356, dsvm: 2,072, agsvm: -6,383, adgsvm: -1,344
FallDetector: svm: 10,461, theta: -68,223, dsvm: 2,016, agsvm: -7,930, adgsvm: -1,528
FallDetector: svm: 10,681, theta: -75,181, dsvm: 1,772, agsvm: -8,923, adgsvm: -1,481
FallDetector: svm: 9,921, theta: -76,649, dsvm: 0,915, agsvm: -8,449, adgsvm: -0,779
FallDetector: svm: 10,458, theta: -74,966, dsvm: 0,871, agsvm: -8,711, adgsvm: -0,726
FallDetector: svm: 11,078, theta: -70,126, dsvm: 1,119, agsvm: -8,632, adgsvm: -0,872
FallDetector: svm: 8,311, theta: -78,754, dsvm: 6,310, agsvm: -7,273, adgsvm: -5,521
FallDetector: svm: 9,770, theta: -63,371, dsvm: 3,830, agsvm: -6,879, adgsvm: -2,697
FallDetector: svm: 10,728, theta: -71,185, dsvm: 3,297, agsvm: -8,485, adgsvm: -2,608
FallDetector: svm: 9,681, theta: -71,113, dsvm: 1,233, agsvm: -7,650, adgsvm: -0,975
FallDetector: svm: 9,763, theta: -70,202, dsvm: 1,561, agsvm: -7,616, adgsvm: -1,218
FallDetector: svm: 10,031, theta: -67,120, dsvm: 1,768, agsvm: -7,481, adgsvm: -1,319
FallDetector: svm: 11,486, theta: -52,551, dsvm: 8,823, agsvm: -6,706, adgsvm: -5,152
FallDetector: svm: 10,214, theta: -13,439, dsvm: 7,367, agsvm: -1,525, adgsvm: -1,100
FallDetector: svm: 10,701, theta: -19,508, dsvm: 1,593, agsvm: -2,320, adgsvm: -0,345
FallDetector: svm: 7,432, theta: -15,075, dsvm: 3,419, agsvm: -1,245, adgsvm: -0,573
FallDetector: svm: 10,919, theta: -37,111, dsvm: 4,961, agsvm: -4,503, adgsvm: -2,046
FallDetector: svm: 10,628, theta: -46,687, dsvm: 1,862, agsvm: -5,514, adgsvm: -0,966
FallDetector: svm: 9,736, theta: -42,354, dsvm: 3,890, agsvm: -4,582, adgsvm: -1,831
FallDetector: svm: 10,587, theta: -47,046, dsvm: 1,587, agsvm: -5,534, adgsvm: -0,830
FallDetector: svm: 12,026, theta: -46,317, dsvm: 1,544, agsvm: -6,189, adgsvm: -0,795
FallDetector: svm: 9,497, theta: -26,529, dsvm: 4,734, agsvm: -2,799, adgsvm: -1,395
FallDetector: svm: 11,320, theta: -35,754, dsvm: 2,550, agsvm: -4,497, adgsvm: -1,013
FallDetector: svm: 10,816, theta: -37,889, dsvm: 3,963, agsvm: -4,553, adgsvm: -1,668
FallDetector: svm: 9,127, theta: -49,630, dsvm: 2,692, agsvm: -5,033, adgsvm: -1,485
FallDetector: svm: 9,645, theta: -51,481, dsvm: 0,978, agsvm: -5,517, adgsvm: -0,559
FallDetector: svm: 10,224, theta: -49,926, dsvm: 0,922, agsvm: -5,672, adgsvm: -0,512
FallDetector: svm: 10,074, theta: -47,745, dsvm: 0,486, agsvm: -5,344, adgsvm: -0,258
FallDetector: svm: 10,044, theta: -46,850, dsvm: 0,510, agsvm: -5,228, adgsvm: -0,266
FallDetector: svm: 9,785, theta: -45,413, dsvm: 0,736, agsvm: -4,937, adgsvm: -0,372
FallDetector: svm: 10,016, theta: -46,853, dsvm: 0,671, agsvm: -5,214, adgsvm: -0,349
FallDetector: svm: 9,872, theta: -44,650, dsvm: 0,427, agsvm: -4,897, adgsvm: -0,212
FallDetector: svm: 9,866, theta: -46,181, dsvm: 0,288, agsvm: -5,062, adgsvm: -0,148
FallDetector: svm: 10,076, theta: -45,971, dsvm: 0,221, agsvm: -5,147, adgsvm: -0,113
FallDetector: svm: 10,029, theta: -46,624, dsvm: 0,222, agsvm: -5,196, adgsvm: -0,115
FallDetector: svm: 10,013, theta: -45,157, dsvm: 0,313, agsvm: -5,024, adgsvm: -0,157
FallDetector: svm: 8,667, theta: 77,323, dsvm: 10,470, agsvm: 7,446, adgsvm: 8,995
FallDetector: svm: 10,531, theta: -74,857, dsvm: 15,015, agsvm: -8,759, adgsvm: -12,489
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 22,700, theta: -85,662, dsvm: 12,761, agsvm: -21,606, adgsvm: -12,146
FallDetector: svm: 14,283, theta: -70,848, dsvm: 16,978, agsvm: -11,244, adgsvm: -13,365
FallDetector: svm: 15,103, theta: -85,519, dsvm: 14,367, agsvm: -14,351, adgsvm: -13,652
FallDetector: svm: 11,006, theta: 87,276, dsvm: 4,452, agsvm: 10,673, adgsvm: 4,317
FallDetector: svm: 5,574, theta: 82,235, dsvm: 6,127, agsvm: 5,093, adgsvm: 5,598
