[20210311 16:13:17]	-0.644	3.797	8.894	9.692
[20210311 16:13:17]	-2.157	0.445	6.250	6.627
[20210311 16:13:17]	-6.141	-5.856	9.353	12.629
[20210311 16:13:17]	-2.578	-9.208	9.219	13.282
[20210311 16:13:18]	-3.689	-1.891	5.331	6.753
[20210311 16:13:18]	-7.922	-5.243	3.301	10.057
[20210311 16:13:18]	-2.233	-5.167	4.776	7.382
[20210311 16:13:18]	-3.574	-2.121	2.266	4.734
[20210311 16:13:18]	-9.359	-11.602	3.358	15.280
[20210311 16:13:19]	-0.222	-4.420	4.737	6.483
[20210311 16:13:19]	-1.850	-3.730	0.906	4.261
[20210311 16:13:19]	-3.919	-1.681	1.289	4.455
[20210311 16:13:19]	-32.478	-34.798	5.159	47.878	shock no free fall check for stasis
[20210311 16:13:19]	3.531	-3.404	1.366	5.091	stasis
[20210311 16:13:20]	-16.273	-18.939	-0.299	24.972	stasis
[20210311 16:13:20]	-4.398	4.639	-2.464	6.851	stasis
[20210311 16:13:20]	-13.879	-24.072	10.215	29.605	stasis
[20210311 16:13:20]	4.163	-1.432	0.370	4.418	stasis
[20210311 16:13:20]	-35.428	-32.174	-10.987	49.102	stasis
[20210311 16:13:21]	-3.766	-1.393	0.006	4.016	stasis
[20210311 16:13:21]	-5.758	-3.615	-1.927	7.067	stasis
[20210311 16:13:21]	29.907	-28.918	-5.873	42.014	stasis
[20210311 16:13:21]	-7.213	1.690	-5.279	9.097	stasis
[20210311 16:13:21]	0.658	-1.700	1.462	2.337	stasis
[20210311 16:13:22]	1.022	5.310	10.541	11.847	stasis
[20210311 16:13:22]	1.999	3.241	9.698	10.419	stasis
[20210311 16:13:22]	1.175	3.548	8.894	9.647	stasis
[20210311 16:13:22]	-0.452	3.548	9.813	10.445	stasis
[20210311 16:13:22]	-0.912	3.088	9.928	10.437	stasis
[20210311 16:13:23]	-0.452	3.260	9.373	9.934	stasis
