x;y;z;a
-0.950;-2.945;-13.592;13.940
1.022;-5.856;-7.884;9.874
-3.632;-4.994;1.251;6.301
-4.857;-4.630;8.051;10.481
-6.735;-6.488;3.454;9.969
-6.869;-6.641;2.515;9.880
-6.926;-7.082;2.094;10.125
-6.888;-6.852;2.324;9.990
-6.888;-6.910;2.381;10.043
-6.907;-6.890;2.285;10.020
-6.869;-6.890;2.362;10.012
-6.888;-6.890;2.362;10.025
-6.869;-6.910;2.362;10.026
-6.888;-6.910;2.324;10.030
-6.888;-6.910;2.343;10.034
-6.888;-6.890;2.343;10.020
-6.888;-6.871;2.362;10.012
-6.869;-6.871;2.343;9.994
-6.888;-6.871;2.343;10.007
-6.888;-6.890;2.362;10.025
-6.907;-6.871;2.343;10.020
-6.907;-6.871;2.343;10.020
-6.888;-6.871;2.343;10.007
-6.888;-6.871;2.343;10.007
