x;y;z;a
-5.068;4.448;6.863;9.622
-5.011;4.429;6.844;9.569
-5.145;4.390;6.806;9.595
-5.106;4.582;7.055;9.841
-5.777;-2.255;7.783;9.952
-7.635;-3.673;2.994;8.986
-8.573;-5.818;4.009;11.110
-8.516;-5.914;0.198;10.370
-8.478;0.579;-1.621;8.651
-8.784;-5.799;0.945;10.568
-9.895;0.176;-0.089;9.897
-8.286;6.229;-6.448;12.208
-4.934;-6.124;3.607;8.652
-10.125;-18.728;1.270;21.328
-7.750;-6.737;2.592;10.591
-8.803;14.427;4.182;17.411
-8.248;1.172;-1.793;8.522
-8.114;-11.851;0.811;14.385
-8.439;-4.994;0.064;9.806
-7.539;14.600;4.392;17.009
-9.474;2.590;2.841;10.225
-11.159;-15.127;2.036;18.908
-8.937;-2.198;1.155;9.276
-9.435;2.226;2.190;9.939
-8.707;1.172;0.791;8.821
-4.743;6.459;6.634;10.403
-4.723;4.314;7.285;9.695
-3.306;4.812;7.304;9.351
-2.138;4.831;7.859;9.470
-0.567;7.742;8.357;11.406
-0.548;5.080;8.932;10.290
-0.739;4.697;8.568;9.799
-0.778;4.754;8.281;9.580
-0.663;4.563;8.434;9.612
-0.644;4.582;8.434;9.620
-0.663;4.448;8.415;9.541
-0.682;4.524;8.453;9.612
-0.701;4.429;8.587;9.687
-0.682;4.467;8.568;9.687
-0.624;4.467;8.491;9.615
-0.739;4.199;8.568;9.570
-0.682;4.429;8.472;9.584
-0.720;4.429;8.491;9.604
-0.701;4.429;8.453;9.569
-0.701;4.448;8.511;9.629
-0.739;4.448;8.491;9.614
-0.701;4.505;8.472;9.621
-0.701;4.486;8.511;9.647
-0.682;4.448;8.415;9.543
-0.720;4.563;8.472;9.650
-0.778;4.429;8.530;9.643
-0.873;5.578;10.445;11.873
-2.387;-0.857;10.215;10.525
-4.800;-5.894;-0.280;7.606
-8.554;-2.868;-0.797;9.057
-6.907;-4.094;5.523;9.745
-8.707;-2.619;3.722;9.825
-8.554;-1.987;3.760;9.553
-8.573;-3.079;3.205;9.657
-8.133;-6.814;4.239;11.426
-8.248;-3.634;4.431;10.044
-7.960;-2.657;5.274;9.912
-7.673;-1.642;5.752;9.729
-7.443;-0.934;6.040;9.631
-7.597;-0.608;6.461;9.992
-7.616;-0.914;5.733;9.577
-7.846;1.077;5.982;9.925
-7.865;2.264;5.791;10.026
-8.056;2.188;5.044;9.754
-8.190;0.636;5.025;9.630
-8.267;-0.073;4.527;9.426
-8.956;-0.742;4.565;10.080
-9.052;-5.435;0.313;10.563
-8.899;-1.872;3.109;9.611
-8.075;-3.424;2.075;9.013
-8.669;-5.282;2.879;10.552
-10.182;0.560;0.332;10.203
