[20210315 14:58:34]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	shock no free fall check for stasis
[20210315 14:58:35]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:35]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:35]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:35]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:35]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:36]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:36]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:36]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:36]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:36]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:37]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:37]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:37]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:37]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:37]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:38]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:38]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:38]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:38]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:38]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:39]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
[20210315 14:58:39]	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	340282346638528860000000000000000000000.000	589386313296696540000000000000000000000.000	stasis
