x;y;z;a
-2.081;-6.040;-9.280;11.266
-1.468;-8.740;-2.040;9.094
-1.602;-10.081;-2.614;10.537
-2.943;-9.526;-7.364;12.395
-3.939;-7.438;0.220;8.419
-5.452;-10.292;-2.384;11.888
-4.801;-9.871;1.446;11.071
-4.092;-8.242;-0.354;9.209
-3.556;-8.319;3.476;9.692
-3.287;-10.349;-0.067;10.858
-2.406;-6.193;-1.905;6.911
-3.728;-8.932;-4.127;10.522
-1.736;-8.377;-6.502;10.745
-1.736;-8.377;-6.502;10.745
-1.736;-8.377;-6.502;10.745
-4.283;-4.009;-7.154;9.252
-3.134;-4.507;-7.958;9.668
-2.387;-5.369;-8.495;10.329
-2.445;-4.833;-8.073;9.721
-2.579;-4.890;-7.441;9.270
-2.770;-4.718;-8.495;10.104
-4.207;-4.239;-10.621;12.185
-0.759;-5.312;-9.720;11.103
0.887;-2.324;-7.192;7.610
2.611;-2.630;-8.303;9.092
