x;y;z;a
0.008;0.023;9.832;9.832
0.027;-0.015;9.794;9.794
0.027;0.023;9.813;9.813
0.027;-0.015;9.794;9.794
0.027;-0.015;9.813;9.813
0.008;0.004;9.813;9.813
0.008;-0.034;9.794;9.794
0.008;0.004;9.832;9.832
0.008;-0.015;9.813;9.813
0.008;-0.015;9.813;9.813
0.027;0.004;9.813;9.813
0.027;0.004;9.832;9.832
0.027;-0.015;9.794;9.794
0.008;0.004;9.813;9.813
0.008;-0.015;9.813;9.813
0.027;0.004;9.813;9.813
0.046;-0.015;9.813;9.813
0.008;-0.015;9.832;9.832
0.027;0.004;9.813;9.813
0.027;0.004;9.794;9.794
0.008;-0.015;9.832;9.832
0.027;-0.015;9.794;9.794
0.008;0.004;9.794;9.794
0.027;0.004;9.832;9.832
0.027;0.004;9.813;9.813
0.027;0.004;9.794;9.794
0.027;0.004;9.794;9.794
0.046;-0.015;9.813;9.813
0.027;-0.015;9.813;9.813
0.027;0.004;9.813;9.813
0.027;0.004;9.813;9.813
0.027;0.004;9.794;9.794
0.027;0.004;9.813;9.813
0.027;0.004;9.794;9.794
0.027;-0.015;9.794;9.794
0.046;0.004;9.813;9.813
0.008;-0.015;9.813;9.813
0.046;0.004;9.813;9.813
0.027;-0.015;9.794;9.794
0.027;0.004;9.813;9.813
0.027;0.004;9.794;9.794
0.027;0.004;9.813;9.813
0.027;0.004;9.832;9.832
0.027;0.004;9.813;9.813
0.027;-0.015;9.813;9.813
0.027;0.004;9.832;9.832
0.027;0.004;9.813;9.813
0.027;0.004;9.794;9.794
0.027;0.004;9.813;9.813
0.027;-0.015;9.832;9.832
0.046;-0.015;9.794;9.794
0.027;0.004;9.813;9.813
0.027;0.004;9.813;9.813
0.046;-0.015;9.794;9.794
0.027;0.004;9.794;9.794
0.027;-0.015;9.794;9.794
0.046;0.004;9.813;9.813
0.046;0.004;9.794;9.794
0.046;0.004;9.813;9.813
0.046;-0.015;9.813;9.813
0.027;-0.015;9.813;9.813
0.027;-0.015;9.813;9.813
0.027;0.004;9.813;9.813
0.046;0.004;9.813;9.813
0.027;-0.015;9.794;9.794
0.046;0.004;9.832;9.832
0.715;1.192;9.430;9.532
