x;y;z;a
-1.218;4.084;9.258;10.192
0.008;0.253;8.779;8.783
-1.544;-1.317;11.729;11.903
-5.298;-4.592;6.825;9.785
-14.741;-23.421;15.061;31.507
5.849;0.77;-0.702;5.941
-8.803;-31.102;0.351;32.326
-5.106;5.98;-1.602;8.025
6.941;-11.507;4.565;14.192
-0.586;-12.292;2.937;12.651
-3.517;1.402;-1.085;3.939
-14.971;-28.841;9.794;33.939
1.539;-10.855;9.813;14.714
-8.842;-18.364;3.875;20.747
-4.877;4.007;-0.644;6.345
1.616;-6.373;11.671;13.395
2.554;-4.209;1.96;5.299
-9.742;-17.272;0.734;19.844
-3.134;3.107;-0.357;4.428
-6.351;-15.108;11.135;19.813
3.091;0.176;0.542;3.143
-11.351;-26.964;6.193;29.904
-2.578;-0.13;1.021;2.776
-10.661;-9.132;10.445;17.497
-4.934;-5.301;3.626;8.099
-11.638;-5.435;3.492;13.311
-13.285;-6.718;3.435;15.278
-7.941;-2.37;1.807;8.482
-10.431;-2.198;1.155;10.723
-10.929;-2.179;3.416;11.656
-11.274;-4.075;2.688;12.286
-10.182;-1.949;2.209;10.6
-8.075;-0.589;0.887;8.145
-9.761;-2.102;0.791;10.016
-9.11;-2.811;1.596;9.667
-8.746;-1.853;1.136;9.012
-8.746;-2.983;1.845;9.423
-10.393;-1.968;0.753;10.605
-7.788;1.383;-0.433;7.922
-9.32;-0.341;-1.544;9.453
-9.876;-0.322;-1.64;10.017
-9.225;-0.531;-2.138;9.485
-10.202;-1.317;-2.311;10.543
-9.435;1.058;-0.013;9.494
-8.305;2.226;-1.717;8.768
-8.497;-0.341;-1.64;8.661
-11.485;-1.412;-0.797;11.599
-11.389;3.107;0.025;11.806
-7.826;1.69;0.715;8.039
-10.527;2.628;-3.881;11.524
-20.028;-4.4;4.661;21.029
0.601;-1.891;2.726;3.372
-10.795;-31.657;6.308;34.037
-6.371;4.218;-1.123;7.723
2.88;-10.3;8.262;13.514
1.865;-9.534;4.986;10.919
-4.628;0.1;-0.472;4.653
-12.96;-22.386;14.64;29.722
3.761;-3.96;3.339;6.401
-10.106;-7.887;3.684;13.338
-11.504;-3.768;7.208;14.089
6.787;-4.841;2.266;8.639
-8.88;-28.669;14.908;33.511
-3.632;2.954;-3.651;5.937
-7.846;-18.211;12.859;23.634
3.186;-3.826;3.167;5.9
-3.498;-8.423;4.814;10.313
-7.807;-1.393;3.894;8.835
6.979;-8.136;3.99;11.437
2.267;-26.351;7.993;27.63
-4.743;2.743;-0.51;5.503
-7.922;-21.869;7.457;24.426
1.309;-7.484;2.266;7.928
-6.677;-11.794;2.937;13.867
-5.777;1.326;0.983;6.009
6.232;-8.461;7.936;13.168
-3.727;-10.836;6.193;13.025
-0.395;0.081;6.059;6.072
-1.563;-0.761;8.913;9.081
-0.797;3.165;7.917;8.564
0.198;3.509;9.124;9.778
0.313;4.429;9.986;10.929
-0.107;2.916;8.702;9.178
