x;y;z;a
-27.230;-3.251;-11.773;29.844
-0.893;9.160;-17.596;19.858
-9.416;-15.012;9.717;20.210
2.248;-3.960;6.346;7.811
-6.486;-8.844;1.941;11.138
-5.336;-7.982;5.427;11.029
-5.873;-6.871;3.645;9.746
-5.834;-6.412;4.067;9.576
-5.739;-6.680;4.220;9.766
-5.681;-6.852;4.297;9.884
-5.643;-6.967;4.297;9.942
-5.662;-6.948;4.297;9.940
-5.662;-6.948;4.297;9.940
-5.662;-6.948;4.297;9.940
-5.681;-6.948;4.297;9.951
-5.662;-6.948;4.316;9.948
-5.681;-6.948;4.297;9.951
-5.662;-6.929;4.297;9.926
-5.681;-6.948;4.316;9.959
-5.681;-6.948;4.316;9.959
-5.662;-6.948;4.297;9.940
-5.681;-6.929;4.297;9.937
-5.681;-6.929;4.297;9.937
-5.681;-6.948;4.297;9.951
