x;y;a;z;index
-0.003;-0.022;9.788;9.788;
0.016;-0.022;9.826;9.826;
0.073;-0.041;9.864;9.865;
-0.041;-0.003;9.692;9.692;
0.073;-0.022;9.902;9.903;
0.016;-0.079;9.788;9.789;
0.111;-0.060;9.826;9.827;
-0.099;-0.118;10.113;10.114;
-0.041;-0.137;9.692;9.693;
0.111;0.112;9.673;9.674;
0.073;-0.003;9.902;9.902;
0.054;0.036;9.385;9.385;
-0.080;-0.041;9.998;9.999;
-0.022;0.055;9.558;9.558;
0.092;-0.022;10.017;10.018;
0.168;0.017;9.462;9.464;
-0.195;-0.098;10.228;10.231;
0.016;0.017;9.711;9.711;
-0.041;0.074;9.922;9.923;
-0.041;0.055;9.902;9.902;
-0.022;-0.118;10.918;10.919;
-0.214;0.036;9.807;9.810;
0.016;-0.156;9.711;9.712;
-0.041;-0.118;9.577;9.578;
-0.099;-0.232;10.324;10.327;
-0.156;0.093;9.749;9.751;
0.054;0.170;9.807;9.809;
-0.214;-0.079;10.266;10.269;
-0.022;-0.041;9.500;9.500;
0.590;0.208;9.002;9.024;
-0.061;-0.251;10.994;10.997;
0.264;4.728;11.933;12.838;
8.041;-3.220;5.861;10.458;
-0.214;-3.507;2.720;4.444;
-5.290;-6.150;-3.026;8.659;
-14.388;-1.496;4.348;15.105;
-2.819;-6.725;14.768;16.471;
0.781;-0.787;10.017;10.078;
-0.022;-2.817;8.504;8.959;
-4.255;-0.423;12.546;13.255;
-0.827;-2.971;9.577;10.062;
-0.578;-2.013;9.155;9.392;
0.226;-1.879;8.753;8.956;
-0.808;-2.032;9.500;9.749;
-0.961;-2.166;10.171;10.444;
-0.597;-1.726;9.979;10.145;
-0.923;-1.764;9.232;9.445;
0.456;-2.741;9.558;9.954;
-1.286;-1.572;9.673;9.884;
-1.631;-2.300;9.711;10.112;
-1.535;-2.415;9.634;10.050;
-0.425;-2.453;9.117;9.451;
-1.957;-2.262;9.117;9.596;
-1.076;-2.779;9.060;9.538;
-2.436;-4.024;9.213;10.345;
-2.570;-4.311;9.749;10.966;
-1.708;-3.775;10.324;11.125;
-1.459;-3.143;9.788;10.384;
-1.842;-3.085;9.404;10.067;
-1.746;-3.354;9.194;9.942;
-3.049;-3.200;9.424;10.410;
-1.114;-5.020;9.251;10.585;
-1.306;-4.465;7.508;8.833;
-1.746;-3.143;8.198;8.952;
-3.393;3.522;8.830;10.094;
2.601;-14.578;4.654;15.523;
0.398;-4.196;8.198;9.218;
0.322;-5.307;8.255;9.819;
-0.942;-8.889;5.593;10.545;
0.016;-7.855;6.838;10.415;
-0.080;-4.599;9.136;10.229;
-0.865;-5.173;8.523;10.008;
-0.674;-7.759;4.022;8.766;
-2.953;-5.767;4.731;8.023;
-0.176;-12.892;1.321;12.961;
-3.987;-15.804;-0.536;16.309;
-3.987;-9.598;6.991;12.526;
-0.750;-2.070;7.355;7.678;
-0.769;-3.909;9.519;10.319;
-0.923;-3.641;9.519;10.234;
-1.018;-4.311;9.270;10.274;
-1.880;-5.039;8.121;9.741;
-3.853;-10.862;2.011;11.700;
-1.535;-2.779;1.494;3.509;
-3.700;-10.019;4.367;11.539;
-3.623;-8.142;8.772;12.505;
-2.838;-7.395;7.068;10.616;
-4.696;-5.365;7.355;10.244;
-8.105;2.794;9.194;12.571;
-2.838;-1.132;9.385;9.870;
-1.421;-0.213;10.094;10.196;
-2.455;-3.354;10.726;11.504;
0.896;6.357;8.293;10.487;
-6.267;-3.852;7.508;10.512;
-6.267;0.055;9.060;11.017;
-2.761;-6.974;8.140;11.069;
-4.275;1.415;9.462;10.479;
-1.919;-10.402;7.930;13.221;
-4.140;-11.590;14.691;19.165;
1.164;-5.652;3.064;6.534;
0.264;-0.385;9.788;9.799;
11.450;2.890;5.459;13.009;
2.812;-3.258;6.493;7.790;
7.332;-6.936;5.593;11.539;
8.156;-0.098;5.937;10.088;
10.148;-2.358;-0.134;10.419;
8.596;-13.467;13.618;20.993;
8.845;-1.840;4.578;10.128;
12.925;1.453;4.233;13.678;
9.056;-5.480;-0.192;10.587;
4.095;-9.617;1.091;10.510;
-1.306;-0.289;6.340;6.480;
8.328;-4.005;1.398;9.346;
-4.773;-1.400;9.634;10.843;
-2.282;-14.578;0.325;14.760;
12.561;-4.196;13.235;18.723;
3.252;-2.089;6.914;7.921;
3.252;-9.483;-1.493;10.136;
-0.788;-8.066;-0.612;8.128;
0.647;-10.230;-3.964;10.991;
2.620;-11.456;-4.137;12.459;
4.286;-9.751;0.306;10.656;
4.555;-9.330;-0.708;10.407;
4.574;-9.138;-0.517;10.232;
9.018;-6.246;-2.049;11.159;
8.136;-2.894;-0.077;8.635;
4.267;-10.690;-1.685;11.633;
6.662;-11.801;1.130;13.599;
0.264;-3.507;2.356;4.234;
5.723;-8.736;-0.555;10.459;
14.419;-5.920;6.589;16.922;
-0.348;-6.859;2.509;7.312;
11.067;-1.975;-2.279;11.470;
6.834;-4.311;8.408;11.661;
9.803;-0.806;-7.853;12.586;
11.431;-9.655;4.348;15.582;
5.129;0.840;7.987;9.529;
7.562;2.564;-8.351;11.554;
0.762;-1.802;5.171;5.529;
11.450;-0.844;1.111;11.534;
8.577;-6.399;1.072;10.755;
6.547;-4.216;1.896;8.014;
6.183;-7.548;3.467;10.355;
5.742;-5.614;2.509;8.413;
6.240;-7.855;2.317;10.296;
5.053;-5.346;5.267;9.047;
5.474;-5.020;3.984;8.428;
7.236;-2.626;1.015;7.764;
9.592;-4.963;0.115;10.800;
8.041;0.725;3.601;8.840;
13.595;0.974;4.348;14.306;
-1.172;-0.979;3.754;4.053;
8.577;1.357;6.091;10.607;
9.669;2.660;3.352;10.573;
0.245;-13.007;4.635;13.811;
11.278;-20.018;0.708;22.987;
16.047;10.992;13.982;23.954;
8.232;3.273;8.351;12.174;
7.236;-6.303;9.864;13.762;
6.604;-2.664;6.321;9.522;
11.948;-3.679;9.692;15.818;
2.160;-3.449;1.724;4.420;
18.518;2.870;2.739;18.938;
-1.037;-7.510;-0.115;7.583;
9.822;-4.445;2.566;11.082;
11.814;-7.031;-10.592;17.355;
6.259;6.318;-2.604;9.266;
2.601;-12.873;-9.615;16.277;
-8.872;-12.050;-3.275;15.319;
-6.631;-7.548;-3.064;10.504;
-4.409;-11.533;-2.240;12.549;
-3.010;-8.334;-2.853;9.309;
-1.708;-9.464;-4.079;10.447;
-0.233;-5.576;-0.708;5.626;
5.953;-8.679;5.095;11.693;
-3.432;-9.215;-9.845;13.915;
15.971;-11.303;14.825;24.548;
4.899;-11.054;6.301;13.635;
11.067;-7.797;3.467;13.975;
4.191;-6.208;1.455;7.630;
4.037;-4.924;0.115;6.368;
5.187;-6.782;-3.256;9.138;
15.281;-1.189;1.570;15.407;
9.190;-5.039;-3.121;10.935;
10.646;-5.939;-5.899;13.543;
10.818;-4.158;-1.225;11.654;
6.164;-5.461;-6.761;10.655;
2.754;-4.580;-4.405;6.926;
10.952;-5.480;0.823;12.274;
7.619;-8.104;7.068;13.179;
7.102;-6.859;2.164;10.108;
7.217;-7.759;1.475;10.699;
6.700;-7.587;0.823;10.155;
7.811;-6.955;2.222;10.692;
5.436;-8.334;2.471;10.253;
7.217;-6.725;3.256;10.388;
6.049;-7.721;3.716;10.489;
6.642;-8.257;1.724;10.736;
6.087;-8.200;2.834;10.598;
6.662;-10.824;1.609;12.812;
8.290;-7.299;1.302;11.122;
10.741;-5.901;2.049;12.425;
4.804;-4.024;1.628;6.475;
14.687;-4.771;-0.459;15.449;
6.125;-7.050;-4.443;10.342;
9.075;4.173;-1.704;10.132;
10.933;-8.544;-11.913;18.288;
2.237;-6.054;-19.652;20.685;
-2.531;-11.437;-10.189;15.525;
-2.225;-8.564;-8.868;12.528;
-9.331;-2.453;-2.030;9.860;
-8.910;4.001;-0.421;9.776;
-1.497;10.551;1.379;10.745;
-2.014;5.322;6.991;9.014;
-6.439;-11.590;0.651;13.275;
3.961;-19.003;-4.616;19.953;
4.325;-10.096;0.977;11.027;
6.374;-9.330;0.153;11.301;
9.803;-6.054;1.264;11.591;
4.018;-6.323;1.475;7.636;
5.302;-9.119;2.566;10.856;
6.834;-6.437;0.613;9.408;
5.991;-6.648;-0.211;8.952;
8.730;-6.361;-1.034;10.851;
7.045;-6.074;0.076;9.302;
6.700;-6.074;-1.398;9.151;
12.542;-8.717;-0.478;15.281;
4.555;-3.986;-0.306;6.061;
5.417;-8.295;-1.034;9.961;
7.332;-6.284;-3.945;10.431;
3.214;-7.185;-5.305;9.492;
6.355;-7.089;-11.243;14.732;
3.520;-5.480;-4.826;8.106;
6.183;-4.771;-4.252;8.892;
8.424;-6.150;-2.432;10.710;
4.401;-5.978;-2.260;7.760;
8.328;-9.291;-5.956;13.826;
3.903;-4.560;-0.689;6.042;
9.362;-5.288;-2.623;11.067;
10.722;-4.867;-1.187;11.834;
