x;y;z;a
5.085;-10.406;-9.779;15.158
10.773;0.798;5.505;12.124
5.219;-0.542;1.713;5.519
0.354;-0.772;2.249;2.404
-0.048;-0.331;9.853;9.859
-0.048;-0.331;9.892;9.898
-0.048;-0.331;9.872;9.878
-0.048;-0.331;9.872;9.878
-0.048;-0.35;9.872;9.878
-0.048;-0.331;9.872;9.878
-0.048;-0.331;9.872;9.878
-0.048;-0.331;9.872;9.878
-0.967;0.587;1.176;1.632
1.771;9.973;-0.546;10.144
0.622;10.835;-4.856;11.89
-1.197;7.176;-2.232;7.61
3.284;11.409;-3.879;12.49
-1.197;8.23;-0.259;8.321
-1.044;8.651;-1.025;8.774
1.445;10.145;1.234;10.321
3.744;10.777;-2.366;11.651
0.947;9.207;-0.91;9.3
-0.527;8.747;-2.692;9.167
1.292;10.796;-3.745;11.5
0.756;4.341;1.809;4.763
