x;y;z;a
2.250;37.210;0.774;37.286
6.445;5.529;0.755;8.525
2.441;13.765;-9.300;16.790
-2.289;6.084;-7.576;9.983
2.671;5.452;-9.338;11.138
3.935;2.522;-12.518;13.362
0.717;-0.389;-9.760;9.794
-1.120;-0.714;-10.947;11.027
-0.239;-2.228;-8.802;9.083
-0.986;-0.906;-9.626;9.719
-1.140;-0.848;-9.779;9.882
-1.120;-0.848;-9.760;9.861
-1.159;-0.868;-9.760;9.867
-1.120;-0.848;-9.779;9.880
-1.120;-0.868;-9.760;9.862
-1.140;-0.848;-9.779;9.882
-1.140;-0.868;-9.779;9.884
-1.120;-0.848;-9.779;9.880
-1.140;-0.848;-9.779;9.882
-1.140;-0.848;-9.779;9.882
-1.120;-0.848;-9.760;9.861
-1.101;-0.848;-9.779;9.877
-1.120;-0.848;-9.779;9.880
-1.120;-0.848;-9.779;9.880
-1.120;-0.848;-9.779;9.880
-1.120;-0.848;-9.779;9.880
