x;y;z;a
7.019;-14.525;2.058;16.263
0.259;-6.978;1.502;7.143
4.491;-9.43;0.889;10.483
5.085;-9.928;1.751;11.291
4.318;-9.295;0.41;10.257
4.797;-10.004;1.617;11.212
4.491;-8.912;1.904;10.16
7.517;-10.943;3.973;13.858
4.338;-10.292;0.583;11.184
0.411;-0.465;7.344;7.37
-1.791;-1.193;7.478;7.782
-12.306;-35.537;5.984;38.081
1.081;-6.039;-5.124;7.993
4.51;0.089;1.904;4.896
7.498;-2.745;10.907;13.517
0.775;-9.87;6.31;11.74
2.001;-9.123;4.854;10.526
4.108;-7.265;2.843;8.817
4.51;-10.311;1.464;11.349
2.978;-8.855;2.096;9.575
2.69;-10.636;2.479;11.248
4.951;-7.591;3.437;9.693
2.863;-8.74;4.011;10.034
3.782;-7.629;3.092;9.059
6.196;-7.246;5.639;11.077
