x;y;z;a
-2.059;-2.247;-3.362;4.538
4.031;-2.419;5.563;7.283
6.943;-3.147;6.540;10.044
3.150;-5.656;5.544;8.523
4.242;-4.928;-0.681;6.538
4.644;-13.299;-4.416;14.763
1.139;-10.560;-3.573;11.206
1.139;-10.560;-3.573;11.206
1.139;-10.560;-3.573;11.206
1.139;-10.560;-3.573;11.206
1.101;-8.702;-2.577;9.142
2.154;-7.725;-5.182;9.548
0.163;-8.721;-2.500;9.074
-1.178;-11.786;-4.301;12.602
0.698;-7.323;-2.232;7.687
4.127;-8.414;-3.592;10.036
-4.951;-5.924;7.631;10.856
-2.557;-3.147;9.623;10.443
0.641;-2.745;10.198;10.580
-0.412;-3.913;9.528;10.308
-1.465;-0.255;9.509;9.625
0.794;-1.864;9.432;9.647
-0.086;0.013;10.102;10.102
1.273;0.281;8.589;8.687
-1.982;3.403;8.953;9.781
