x;y;z;a
-4.798;-12.916;1.387;13.848
-3.457;-8.491;2.805;9.588
-3.381;-7.782;1.1;8.556
-3.132;-9.985;2.862;10.849
-4.204;-14.448;2.766;15.3
5.793;-12.36;-1.887;13.78
7.958;3.499;6.271;10.719
6.061;-2.802;1.828;6.923
15.275;-3.951;6.52;17.071
6.77;-3.147;2.843;7.988
8.456;-3.875;2.69;9.682
9.777;-2.994;4.854;11.318
8.973;-2.84;5.007;10.66
8.839;-2.113;4.26;10.037
5.257;-2.362;4.03;7.032
6.751;-1.232;4.624;8.275
9.011;-1.94;4.682;10.338
7.67;-2.706;3.992;9.06
6.196;-0.638;5.85;8.545
7.881;-1.136;2.766;8.429
7.805;-2.285;3.494;8.851
8.781;-3.243;3.207;9.895
13.34;-3.396;7.076;15.477
8.475;-3.032;3.13;9.529
-14.586;-39.368;16.634;45.159
