[20210406 13:41:33]	0.966	0.357	-1.198	1.580	free fall
[20210406 13:41:34]	-15.754	-10.062	-3.094	18.948	possible fall detected
[20210406 13:41:34]	1.024	-10.157	-2.768	10.577	possible fall detected
[20210406 13:41:34]	-13.686	7.540	0.334	15.629	possible fall detected
[20210406 13:41:34]	-6.541	1.047	-4.377	7.940	possible fall detected
[20210406 13:41:34]	-13.839	-2.477	-0.585	14.071	possible fall detected
[20210406 13:41:35]	-8.840	-2.764	1.004	9.317	possible fall detected
[20210406 13:41:35]	-9.433	-4.047	-2.002	10.458	possible fall detected
[20210406 13:41:35]	-8.840	-2.687	-0.432	9.250	possible fall detected
[20210406 13:41:35]	-5.928	-3.281	1.291	6.898	possible fall detected
[20210406 13:41:35]	-13.054	-4.794	-2.136	14.070	possible fall detected
[20210406 13:41:36]	-11.713	-13.145	-6.618	18.809	possible fall detected
[20210406 13:41:36]	-4.051	0.070	-0.163	4.055	possible fall detected
[20210406 13:41:36]	0.966	-8.606	-10.488	13.601	possible fall detected
[20210406 13:41:36]	-4.568	-5.943	-2.787	7.997	possible fall detected
[20210406 13:41:36]	1.579	-9.889	-8.783	13.320	possible fall detected
[20210406 13:41:37]	-6.350	0.185	4.931	8.042	possible fall detected
[20210406 13:41:37]	-2.346	-6.154	0.277	6.592	possible fall detected
[20210406 13:41:37]	-3.093	-4.947	-8.208	10.071	possible fall detected
[20210406 13:41:37]	-5.622	-6.365	-4.894	9.802	possible fall detected
[20210406 13:41:37]	2.326	-8.797	3.571	9.775	possible fall detected
[20210406 13:41:38]	0.507	-0.734	9.796	9.836	possible fall detected
[20210406 13:41:38]	-0.450	-7.687	2.172	8.001	possible fall detected
[20210406 13:41:38]	-0.354	-8.127	6.674	10.522	possible fall detected
[20210406 13:41:38]	-2.653	-7.993	4.586	9.590	possible fall detected
[20210406 13:41:38]	-1.772	-6.116	6.865	9.364	possible fall detected
[20210406 13:41:39]	-1.503	-7.572	5.333	9.383	possible fall detected
[20210406 13:41:39]	[1617709299126] no fall
[20210406 13:42:08]	-14.452	-21.707	-5.680	26.690	shock no free fall check for stasis
[20210406 13:42:09]	-3.898;-4.928;2.824;6.889;stasis
[20210406 13:42:09]	-5.986;2.732;-0.259;6.585;stasis
[20210406 13:42:09]	-9.702;-7.208;1.368;12.164;stasis
[20210406 13:42:09]	-7.288;-4.411;-0.470;8.532;stasis
[20210406 13:42:09]	-8.878;-7.418;0.162;11.571;stasis
[20210406 13:42:10]	-10.065;-5.867;0.239;11.653;stasis
[20210406 13:42:10]	-6.522;-4.909;-0.048;8.164;stasis
[20210406 13:42:10]	-4.779;-11.249;-0.048;12.222;stasis
[20210406 13:42:10]	-6.771;-14.429;-3.075;16.233;stasis
[20210406 13:42:10]	-0.795;-8.568;2.172;8.875;stasis
[20210406 13:42:11]	1.848;-3.530;4.471;5.989;stasis
[20210406 13:42:11]	1.579;-6.556;6.003;9.028;stasis
[20210406 13:42:11]	4.606;-5.848;7.344;10.457;stasis
[20210406 13:42:11]	5.851;-8.223;5.467;11.478;stasis
[20210406 13:42:11]	4.414;-7.284;5.678;10.236;stasis
[20210406 13:42:12]	5.985;-5.196;5.410;9.596;stasis
[20210406 13:42:12]	3.035;-6.288;5.524;8.903;stasis
[20210406 13:42:12]	4.759;-4.603;2.690;7.146;stasis
[20210406 13:42:12]	6.196;-14.793;-0.029;16.038;stasis
[20210406 13:42:12]	6.081;-5.331;6.789;10.559;stasis
[20210406 13:42:13]	3.322;-8.932;6.597;11.590;stasis
[20210406 13:42:13]	0.526;-7.380;5.946;9.492;stasis
[20210406 13:42:13]	4.089;-6.959;6.348;10.269;stasis
[20210406 13:42:13]	1.752;-4.794;7.766;9.293;stasis
[20210406 13:42:13]	1.867;-5.177;8.359;10.008;stasis
[20210406 13:42:14]	A stasis: {avg:10,119,mediana:10,236,sqm:2,505};
[20210406 13:42:14]	min: 8,731; max: 10,104; mediana: 10,236; sqm: 2,505; min_sqm: 1,000; filtered: 0; spikes: 9; false; 
[20210406 13:50:01]	-1.159	-39.464	3.686	39.653	shock no free fall check for stasis
[20210406 13:50:01]	6.425;-11.517;1.943;13.330;stasis
[20210406 13:50:01]	4.146;-9.698;1.655;10.676;stasis
[20210406 13:50:01]	3.246;-8.874;2.115;9.683;stasis
[20210406 13:50:02]	3.706;-9.602;3.015;10.725;stasis
[20210406 13:50:02]	5.123;-8.778;5.046;11.347;stasis
[20210406 13:50:02]	5.736;-7.457;1.023;9.463;stasis
[20210406 13:50:02]	3.763;-10.483;2.805;11.486;stasis
[20210406 13:50:02]	5.295;-7.208;4.203;9.882;stasis
[20210406 13:50:03]	3.935;-7.361;5.333;9.905;stasis
[20210406 13:50:03]	1.982;-5.407;9.298;10.937;stasis
[20210406 13:50:03]	3.552;-3.932;9.470;10.852;stasis
[20210406 13:50:03]	2.480;-3.396;9.164;10.083;stasis
[20210406 13:50:03]	4.261;-11.690;10.581;16.333;stasis
[20210406 13:50:04]	6.004;-7.687;0.429;9.763;stasis
[20210406 13:50:04]	5.295;-3.109;12.975;14.354;stasis
[20210406 13:50:04]	6.042;-4.469;7.708;10.765;stasis
[20210406 13:50:04]	4.587;-3.971;7.995;10.036;stasis
[20210406 13:50:04]	5.563;-3.664;8.340;10.673;stasis
[20210406 13:50:05]	2.499;-3.664;6.176;7.603;stasis
[20210406 13:50:05]	4.261;-3.128;9.911;11.232;stasis
[20210406 13:50:05]	2.250;-3.971;7.727;8.974;stasis
[20210406 13:50:05]	2.920;-3.243;11.041;11.872;stasis
[20210406 13:50:05]	1.656;-1.921;6.367;6.853;stasis
[20210406 13:50:06]	1.407;-3.856;5.754;7.068;stasis
[20210406 13:50:06]	4.204;-1.787;8.781;9.898;stasis
[20210406 13:50:06]	A stasis: {avg:10,552,mediana:10,676,sqm:2,051};
[20210406 13:50:06]	min: 8,731; max: 10,104; mediana: 10,676; sqm: 2,051; min_sqm: 1,000; filtered: 0; spikes: 17; true; 
[20210406 13:50:06]	fall detected
[20210406 13:50:06]	Hard Fall
