x;y;z;a;index
10.082;-8.026;0.873;12.916;21.862
4.516;-11.416;6.200;13.753;23.399
4.442;-7.956;5.623;10.707;23.639
7.968;-4.765;4.869;10.483;24.087
7.487;-9.158;2.391;12.068;24.588
6.989;-6.939;0.131;9.849;24.632
2.694;-7.877;0.068;8.325;24.906
6.867;-10.674;-4.490;13.463;25.579
7.597;-9.026;-1.002;11.841;25.728
5.696;-9.029;-4.591;11.621;25.795
6.853;-6.467;-3.303;9.984;25.791
10.647;-3.833;-2.132;11.516;26.080
7.566;-6.740;-4.488;11.082;26.280
3.158;-4.410;-5.570;7.775;25.576
9.821;-2.995;-2.199;10.501;26.420
11.816;-4.377;-3.346;13.037;25.383
4.039;-12.412;-4.893;13.940;26.748
9.364;-3.625;-1.775;10.197;27.027
11.713;-3.457;-3.559;12.721;26.864
6.316;-5.490;-3.949;9.254;25.907
5.926;-3.517;-3.336;7.656;24.592
8.770;-3.311;-3.028;9.851;24.509
11.694;-4.992;-1.579;12.812;24.309
9.467;-4.789;-3.459;11.159;23.954
4.437;-11.461;-1.177;12.346;25.270
7.437;-2.399;-0.664;7.842;26.657
6.678;-5.229;-2.099;8.737;25.985
9.065;-3.661;-0.832;9.812;25.876
11.890;-3.007;-0.822;12.292;25.720
7.961;-4.707;-2.017;9.466;25.917
7.159;-7.018;-4.838;11.131;25.747
5.090;-3.975;-3.284;7.245;25.600
8.371;-4.547;-3.880;10.286;25.314
9.941;-3.364;-1.869;10.660;24.309
10.513;-5.516;-0.487;11.883;24.302
9.874;-4.635;-2.015;11.093;21.603
5.564;-9.149;-3.159;11.164;19.790
6.592;-2.442;-1.969;7.300;20.746
7.420;-4.640;-0.839;8.792;20.094
8.876;-3.345;-1.285;9.572;20.083
12.446;-2.196;-0.188;12.639;20.258
6.733;-5.107;-1.909;8.664;21.000
7.662;-6.479;-5.225;11.313;21.123
5.648;-3.383;-3.049;7.256;19.737
8.916;-3.790;-3.116;10.177;17.578
10.008;-2.751;-1.150;10.443;17.450
10.899;-5.993;-1.131;12.489;17.494
7.544;-3.615;-2.259;8.666;17.771
6.144;-10.209;-4.268;12.657;18.588
5.835;-2.361;-2.134;6.647;19.946
7.705;-4.367;-1.088;8.923;19.761
9.819;-3.884;-1.694;10.694;19.599
13.331;-4.365;-3.044;14.354;19.764
6.252;-5.528;-2.723;8.779;20.864
7.221;-5.162;-4.636;10.015;20.893
6.316;-3.165;-3.205;7.758;20.078
8.042;-3.668;-3.327;9.445;18.946
9.498;-3.405;-2.881;10.493;18.829
12.170;-7.643;1.637;14.464;19.901
7.372;-3.405;-2.328;8.448;20.916
5.878;-10.164;-3.514;12.256;21.041
4.394;-6.405;-2.886;8.286;21.112
4.942;-3.591;-3.186;6.890;20.872
4.925;-2.974;-2.903;6.444;20.622
5.708;-3.635;-2.527;7.223;20.501
7.080;-4.161;-1.974;8.446;20.285
8.282;-4.180;-1.364;9.377;19.877
8.833;-3.745;-0.866;9.633;18.611
8.823;-3.515;-1.375;9.596;16.746
8.131;-3.354;-1.481;8.920;16.503
7.829;-3.455;-1.447;8.679;16.352
7.430;-3.848;-1.694;8.537;15.917
7.480;-4.025;-2.008;8.728;14.209
7.992;-3.972;-1.938;9.133;14.051
9.398;-3.917;-1.991;10.374;13.877
10.662;-3.891;-2.398;11.600;13.823
11.320;-3.738;-2.429;12.166;13.753
11.387;-3.429;-2.237;12.101;11.991
12.714;-3.467;-2.769;13.466;9.440
15.503;-4.286;-5.415;16.971;7.433
14.675;-5.220;-5.977;16.683;6.356
9.668;-5.555;-3.947;11.828;7.835
7.425;-5.514;-2.647;9.620;8.225
6.328;-5.258;-2.616;8.633;8.230
6.362;-5.114;-3.480;8.873;8.126
6.592;-5.643;-4.617;9.829;8.115
7.097;-6.548;-5.743;11.235;8.213
7.272;-6.263;-5.496;11.060;8.204
6.977;-5.478;-4.948;10.157;8.234
6.307;-4.939;-4.378;9.129;8.292
5.895;-4.449;-4.000;8.399;8.303
5.538;-4.250;-3.834;7.965;8.306
5.605;-4.008;-3.722;7.832;8.295
5.727;-3.934;-3.741;7.891;8.176
5.878;-4.020;-3.782;8.063;8.069
6.146;-4.168;-3.729;8.310;8.047
6.623;-4.372;-4.330;9.040;8.077
7.454;-4.257;-4.486;9.685;7.995
8.399;-3.879;-3.968;10.067;7.055
9.048;-3.666;-4.273;10.656;6.962
9.359;-3.390;-4.172;10.793;4.399
9.170;-3.125;-4.033;10.494;3.570
8.861;-3.168;-3.688;10.107;3.420
8.617;-3.304;-3.341;9.815;3.335
8.833;-3.290;-2.503;9.752;3.201
10.035;-4.195;3.569;11.447;6.858
11.150;-7.595;6.885;15.146;8.406
9.216;-6.747;-2.309;11.653;12.596
8.687;-6.093;-2.984;11.022;12.600
9.884;-5.797;-2.185;11.665;12.663
11.912;-5.370;-1.476;13.149;12.844
12.750;-5.270;-2.546;14.029;12.913
12.996;-5.557;-4.201;14.746;13.023
10.676;-4.935;-3.552;12.286;13.258
7.736;-3.338;-2.015;8.663;13.756
7.037;-3.228;-2.149;8.034;13.752
6.872;-4.298;-2.474;8.474;13.772
8.062;-6.374;-3.162;10.752;13.948
8.790;-7.427;-3.274;11.964;13.987
7.497;-8.105;-3.645;11.626;14.062
5.888;-7.643;-2.814;10.050;14.181
5.593;-5.804;-2.582;8.464;14.297
5.359;-3.994;-2.728;7.218;14.407
5.251;-3.256;-2.285;6.588;14.407
5.758;-3.618;-2.111;7.120;12.994
7.190;-3.690;-2.106;8.351;12.129
7.971;-3.599;-2.089;8.991;7.664
8.387;-3.402;-2.144;9.302;7.602
8.675;-3.283;-2.175;9.527;7.465
8.620;-3.388;-2.381;9.563;7.140
8.172;-3.364;-2.192;9.105;7.026
7.722;-3.398;-2.127;8.700;6.833
7.935;-3.419;-2.204;8.917;6.368
8.282;-3.342;-2.352;9.236;5.210
9.050;-3.086;-2.345;9.846;5.223
10.116;-2.911;-2.063;10.727;5.220
11.191;-2.835;-2.079;11.730;4.713
11.703;-2.591;-2.022;12.156;4.570
11.234;-2.152;-1.581;11.547;4.384
12.371;-1.980;-1.261;12.592;4.142
13.674;-3.354;-3.549;14.520;4.739
13.564;-5.461;-4.294;15.239;4.910
11.442;-5.935;-3.832;13.448;5.319
8.636;-5.734;-3.205;10.851;6.015
7.042;-4.906;-2.855;9.045;6.122
6.568;-4.336;-3.028;8.432;6.119
6.606;-4.262;-3.600;8.646;6.129
7.386;-4.556;-3.842;9.491;6.182
7.908;-4.887;-4.050;10.140;6.212
8.244;-4.997;-4.330;10.568;6.209
8.138;-4.918;-4.251;10.416;6.194
7.762;-4.391;-3.827;9.705;6.238
7.195;-4.051;-3.506;8.971;6.270
6.663;-3.936;-3.384;8.447;6.242
6.616;-3.833;-3.226;8.299;6.144
6.386;-4.049;-3.559;8.357;6.067
6.151;-4.535;-4.297;8.767;6.108
6.235;-4.810;-4.761;9.202;6.083
6.637;-4.693;-4.878;9.480;5.981
7.073;-4.300;-4.385;9.367;5.247
7.628;-4.178;-4.294;9.700;4.781
8.217;-4.025;-3.837;9.922;4.301
8.718;-3.702;-3.585;10.127;3.257
8.919;-3.565;-3.490;10.219;2.706
9.089;-3.455;-3.207;10.239;2.620
9.225;-3.330;-2.846;10.212;2.588
9.067;-3.151;-2.333;9.879;2.502
9.039;-2.916;-1.713;9.651;2.506
10.624;-3.898;9.787;14.961;11.908
10.671;-5.897;1.773;12.321;14.491
8.579;-5.155;-3.099;10.477;15.429
8.866;-4.140;-1.878;9.964;15.496
10.193;-3.388;-0.590;10.757;15.614
10.870;-3.366;-0.602;11.395;15.627
12.003;-4.104;-1.797;12.811;15.725
13.008;-4.585;-2.621;14.039;15.759
12.472;-5.217;-2.810;13.808;15.773
9.709;-4.494;-2.494;10.985;16.026
8.541;-4.580;-2.283;9.956;16.052
7.813;-5.440;-2.549;9.855;16.083
8.210;-6.220;-2.970;10.720;16.095
9.041;-7.633;-4.117;12.528;16.206
8.576;-9.134;-3.978;13.146;16.280
5.459;-9.620;-3.892;11.726;16.580
