x;y;z;a
1.224;9.093;2.839;9.604
1.377;9.141;2.792;9.656
1.521;9.217;2.437;9.654
1.291;9.102;2.552;9.541
1.281;9.112;2.629;9.570
1.214;9.342;2.332;9.705
1.195;9.102;2.514;9.518
1.952;9.323;1.690;9.673
1.636;9.006;2.657;9.532
1.645;9.112;3.060;9.752
1.674;9.188;2.945;9.793
1.674;9.236;2.610;9.743
3.360;10.117;0.752;10.687
0.831;7.924;4.889;9.348
1.042;3.184;-0.053;3.350
-3.248;1.680;-0.292;3.669
13.769;38.407;37.852;55.655
-30.274;19.608;-20.585;41.530
-5.030;0.790;14.533;15.399
-0.289;5.205;4.046;6.599
2.057;0.876;-3.472;4.129
-1.295;-2.716;9.333;9.805
-1.304;-2.677;9.342;9.805
-1.391;-2.687;9.246;9.729
-1.371;-2.668;9.218;9.693
-1.371;-2.744;9.218;9.715
-1.257;-2.677;9.160;9.626
-1.371;-2.754;9.285;9.781
-1.352;-2.725;9.198;9.688
-1.295;-2.677;9.246;9.713
-1.371;-2.696;9.265;9.747
-1.333;-2.668;9.227;9.697
-1.343;-2.696;9.198;9.679
-1.304;-2.677;9.285;9.751
-1.295;-2.677;9.218;9.685
-1.400;-2.668;9.237;9.716
-1.285;-2.629;9.189;9.644
-1.285;-2.668;9.160;9.627
-1.371;-2.687;9.122;9.608
-1.276;-2.725;9.275;9.751
-1.266;-2.629;9.170;9.623
-1.314;-2.725;9.227;9.710
-1.343;-2.763;9.256;9.752
-1.276;-2.696;9.218;9.688
-1.371;-2.792;9.218;9.728
-1.314;-2.610;9.122;9.578
-1.285;-2.687;9.237;9.705
-1.285;-2.773;9.179;9.675
-1.314;-2.687;9.131;9.609
-1.371;-2.773;9.313;9.814
-1.295;-2.735;9.141;9.629
-1.304;-2.725;9.285;9.764
-1.410;-2.763;9.246;9.753
-1.324;-2.687;9.189;9.665
-1.362;-2.783;9.275;9.779
-1.314;-2.687;9.285;9.754
-1.371;-2.725;9.371;9.855
-1.391;-2.763;9.227;9.732
-1.371;-2.754;9.294;9.790
-2.434;-3.386;11.334;12.077
-1.362;-2.773;9.361;9.858
-1.352;-2.725;9.304;9.789
-1.458;-2.993;9.725;10.279
