x;y;z;a
-1.161;9.227;2.974;9.763
-1.122;9.255;2.906;9.766
-0.940;9.428;2.906;9.910
-0.969;9.370;2.849;9.842
-1.678;9.217;2.830;9.787
-1.343;9.361;2.734;9.844
-1.295;9.562;2.504;9.969
-1.343;9.552;2.610;9.993
-1.142;9.323;2.514;9.723
0.783;5.415;0.474;5.492
1.511;5.837;-1.729;6.272
-0.816;-0.005;-5.042;5.108
20.128;-20.318;-9.946;30.280
14.765;4.218;3.136;15.673
8.378;7.618;2.303;11.555
5.926;3.816;0.723;7.085
1.109;9.380;-4.966;10.671
3.609;4.888;-3.577;7.051
0.151;1.163;-9.543;9.615
0.276;1.584;-9.246;9.385
0.333;1.393;-9.572;9.679
0.352;1.661;-9.390;9.542
0.285;1.613;-9.553;9.692
0.419;1.709;-9.400;9.563
0.352;1.671;-9.419;9.572
0.400;1.632;-9.342;9.492
0.391;1.709;-9.448;9.609
0.391;1.699;-9.428;9.588
0.314;1.623;-9.352;9.497
0.333;1.584;-9.409;9.548
0.305;1.584;-9.352;9.490
0.305;1.652;-9.400;9.549
0.333;1.575;-9.361;9.499
0.314;1.623;-9.400;9.544
0.333;1.584;-9.342;9.482
0.324;1.594;-9.505;9.643
0.247;1.584;-9.304;9.441
0.237;1.537;-9.256;9.386
0.257;1.671;-9.400;9.550
0.305;1.565;-9.371;9.506
0.228;1.565;-9.256;9.390
0.285;1.594;-9.419;9.557
0.266;1.623;-9.476;9.618
0.257;1.594;-9.381;9.518
0.218;1.537;-9.266;9.395
0.333;1.584;-9.371;9.510
0.257;1.517;-9.390;9.515
0.314;1.594;-9.390;9.530
0.285;1.584;-9.409;9.546
0.343;1.699;-9.467;9.624
0.305;1.604;-9.476;9.616
0.266;1.584;-9.419;9.555
0.257;1.565;-9.390;9.523
0.343;1.565;-9.342;9.479
0.276;1.594;-9.342;9.481
0.343;1.613;-9.419;9.562
0.343;1.565;-9.486;9.620
0.295;1.575;-9.342;9.479
0.314;1.537;-9.371;9.501
0.285;1.537;-9.371;9.500
0.295;1.623;-9.361;9.506
0.295;1.517;-9.285;9.413
0.218;1.489;-9.246;9.368
0.324;1.498;-9.275;9.401
0.209;1.594;-9.333;9.470
0.228;1.537;-9.218;9.348
0.199;1.479;-9.256;9.376
0.190;1.489;-9.285;9.405
0.237;1.604;-9.342;9.482
0.266;1.517;-9.371;9.497
0.237;1.546;-9.275;9.406
0.237;1.565;-9.151;9.287
0.123;1.479;-9.237;9.355
0.285;1.556;-9.371;9.504
0.343;1.613;-9.524;9.666
0.333;1.623;-9.448;9.592
0.343;1.709;-9.448;9.607
0.257;1.565;-9.457;9.589
0.410;1.738;-9.515;9.681
0.199;1.546;-9.381;9.509
0.305;1.690;-9.361;9.518
0.285;1.584;-9.409;9.546
0.218;1.556;-9.314;9.445
0.314;1.537;-9.294;9.426
0.285;1.537;-9.409;9.538
0.247;1.498;-9.294;9.418
0.228;1.537;-9.323;9.452
0.276;1.565;-9.390;9.524
0.343;1.690;-9.409;9.566
0.352;1.623;-9.448;9.592
0.410;1.632;-9.428;9.577
0.295;1.652;-9.400;9.548
0.314;1.546;-9.400;9.531
0.237;1.594;-9.352;9.490
0.305;1.527;-9.333;9.462
0.237;1.498;-9.246;9.370
0.190;1.450;-9.256;9.371
0.247;1.508;-9.266;9.391
0.486;1.508;-9.304;9.438
0.237;1.441;-9.275;9.389
0.237;1.537;-9.266;9.395
0.276;1.613;-9.381;9.522
0.266;1.565;-9.342;9.476
0.199;1.489;-9.199;9.320
0.314;1.575;-9.285;9.423
1.511;2.475;-12.024;12.369
3.666;3.433;-8.365;9.757
6.137;0.320;-1.920;6.438
8.588;2.399;1.374;9.022
7.420;1.901;3.596;8.462
8.665;2.715;2.772;9.494
8.646;2.111;1.978;9.117
8.799;2.379;2.495;9.450
8.694;2.207;2.466;9.302
8.627;2.322;2.543;9.289
