x;y;z;a
-1.285;9.045;3.510;9.787
-1.189;8.968;3.366;9.653
-1.237;8.959;3.519;9.704
-1.228;8.920;3.213;9.560
-1.170;8.911;3.414;9.614
-1.103;8.949;3.529;9.683
-0.893;9.102;3.395;9.756
-0.701;9.016;3.414;9.666
-0.816;8.968;3.414;9.631
-0.701;9.466;3.395;10.081
-1.419;8.834;3.481;9.601
-1.199;9.141;3.155;9.744
-1.735;8.911;3.567;9.754
-0.490;9.361;2.744;9.767
-1.783;8.719;3.950;9.737
-1.199;8.882;3.337;9.564
-1.122;9.093;3.117;9.677
-1.276;8.872;3.443;9.602
-1.285;9.045;3.098;9.647
-1.707;8.738;3.922;9.729
-1.180;9.141;3.309;9.792
-0.921;9.016;3.155;9.597
-1.956;9.026;3.634;9.924
-1.898;8.700;3.117;9.435
-1.324;9.064;3.117;9.676
-1.620;9.188;3.500;9.965
-1.879;15.787;7.551;17.600
0.314;7.254;2.916;7.824
-1.027;-0.350;1.901;2.189
-2.703;1.719;-1.853;3.700
-23.839;6.430;-22.731;33.561
9.537;-13.231;-14.964;22.134
7.430;10.606;9.323;15.956
7.133;4.984;2.140;8.961
4.921;5.683;6.641;10.031
6.328;5.999;3.404;9.361
6.462;5.128;3.711;9.046
6.549;5.971;3.663;9.589
6.376;5.616;4.027;9.403
6.549;5.463;4.333;9.566
6.472;5.530;4.037;9.421
6.520;5.540;4.084;9.480
6.415;5.492;4.151;9.410
6.434;5.492;4.257;9.470
6.415;5.396;4.305;9.423
6.462;5.386;4.180;9.394
6.472;5.396;4.295;9.458
6.405;5.348;4.238;9.359
6.462;5.444;4.199;9.436
6.568;5.473;4.075;9.470
6.520;5.463;4.171;9.474
6.472;5.444;4.238;9.459
6.453;5.501;4.238;9.480
6.453;5.377;4.161;9.374
6.491;5.444;4.219;9.464
6.434;5.415;4.132;9.370
6.424;5.482;4.171;9.419
6.462;5.386;4.257;9.429
6.443;5.358;4.295;9.416
6.491;5.386;4.180;9.414
6.453;5.492;4.151;9.436
6.520;5.415;4.199;9.459
6.491;5.415;4.113;9.401
6.529;5.549;4.094;9.497
6.549;5.549;4.123;9.522
6.616;5.521;4.017;9.507
6.558;5.511;4.171;9.528
6.606;5.530;4.094;9.538
6.539;5.568;4.037;9.490
6.549;5.463;4.056;9.443
6.520;5.530;4.037;9.454
6.453;5.386;4.228;9.409
