x;y;z;a
4.324735;-2.847571;-1.234798;5.323225
17.540735;-35.888573;9.835202;41.138768
0.282735;-4.054571;1.886202;4.480764
16.564735;-9.570571;1.752202;19.210843
5.397735;-11.352571;9.375202;15.681544
-1.286265;-9.570571;4.280202;10.562691
7.197734;-19.511572;4.529202;21.284325
5.531734;4.200428;-0.813798;6.993279
-4.581265;-17.404572;3.629202;18.359690
-4.006266;-18.630571;10.180202;21.605204
6.297734;4.085429;-3.992798;8.502624
10.434735;-26.694571;10.544202;30.539548
-3.546265;0.216429;-1.081798;3.713910
10.089735;0.618429;-3.245798;10.616987
9.994735;-27.997570;16.520203;34.009936
-4.715266;-12.712571;0.047202;13.558961
18.900736;-17.347570;7.134202;26.628422
3.654735;8.145429;1.082202;8.993123
3.826735;-7.042572;5.296202;9.606845
-2.723265;-10.451571;3.284202;11.288821
8.729735;5.540429;-4.893798;11.439139
13.212735;-33.513573;13.532202;38.481897
1.413735;-5.012571;1.695202;5.477064
8.021735;-4.150571;-1.100798;9.098749
11.698735;-5.625571;7.575202;15.029675
-4.083265;-7.176571;3.610202;9.011647
-2.167265;-23.151571;8.475202;24.749168
