x;y;z;a
-2.032;9.380;1.786;9.762
-2.042;9.495;1.709;9.861
-1.898;9.323;1.767;9.676
-2.358;9.370;2.188;9.907
-2.205;9.485;1.815;9.906
-2.185;9.495;1.700;9.890
-2.128;9.208;1.882;9.636
-2.147;9.399;2.045;9.856
-2.071;8.509;1.700;8.920
-0.653;7.666;1.116;7.774
-0.979;10.299;1.556;10.462
-1.036;2.533;-0.828;2.859
5.658;-18.412;29.243;35.016
-14.386;-10.846;-7.159;19.387
38.305;-35.947;37.852;64.748
16.901;-2.218;-13.700;21.869
-29.230;1.814;-3.587;29.505
0.237;0.818;-9.543;9.581
0.132;0.866;-9.428;9.469
0.142;0.761;-9.457;9.489
0.094;0.799;-9.457;9.491
0.218;0.866;-9.467;9.509
0.170;0.818;-9.476;9.513
0.170;0.847;-9.505;9.544
0.247;0.933;-9.505;9.554
0.199;0.818;-9.448;9.485
0.161;0.809;-9.419;9.455
0.180;0.876;-9.419;9.461
0.151;0.905;-9.448;9.492
0.151;0.895;-9.495;9.539
0.305;0.914;-9.582;9.630
0.161;0.933;-9.639;9.686
0.142;0.914;-9.515;9.559
0.228;0.895;-9.505;9.550
0.132;0.857;-9.524;9.564
0.151;0.876;-9.409;9.451
0.170;0.828;-9.438;9.476
0.170;0.933;-9.467;9.514
0.314;0.905;-9.505;9.553
0.151;0.751;-9.381;9.412
0.199;0.818;-9.534;9.571
0.170;0.857;-9.534;9.574
0.257;0.847;-9.505;9.546
0.132;0.876;-9.476;9.518
0.209;0.847;-9.409;9.450
0.190;0.905;-9.448;9.493
0.170;0.828;-9.505;9.543
0.199;0.933;-9.534;9.581
0.142;0.828;-9.352;9.389
0.218;0.895;-9.524;9.569
0.094;0.809;-9.495;9.530
0.161;0.857;-9.563;9.602
0.247;0.876;-9.572;9.615
0.170;0.828;-9.563;9.600
0.123;0.837;-9.438;9.476
0.142;0.943;-9.457;9.505
0.123;0.780;-9.495;9.528
0.209;0.847;-9.543;9.583
0.170;0.866;-9.467;9.508
0.218;0.933;-9.591;9.639
0.228;0.905;-9.630;9.675
0.170;0.972;-9.687;9.737
1.262;2.063;-12.426;12.659
3.570;2.073;-8.509;9.458
6.510;1.355;-5.703;8.760
5.926;-4.497;0.464;7.454
8.186;-2.936;2.025;8.929
8.330;-3.357;2.820;9.413
8.809;-2.706;1.824;9.394
8.387;-3.290;1.978;9.224
8.541;-3.204;1.566;9.255
8.474;-3.223;1.690;9.222
8.646;-3.156;1.527;9.330
8.617;-3.146;1.470;9.291
8.560;-3.242;1.681;9.306
8.751;-2.965;1.441;9.351
8.569;-3.146;1.422;9.239
