x;y;z;a
29.715;5.406;-38.753;49.132
6.118;-1.327;-9.065;11.016
26.334;23.525;0.129;35.312
0.410;6.689;12.474;14.160
5.648;2.983;3.539;7.302
6.252;6.066;2.935;9.192
5.102;5.032;7.494;10.369
5.533;4.888;5.856;9.424
5.677;5.137;5.607;9.490
5.390;4.831;6.306;9.600
5.639;5.032;5.827;9.543
5.495;4.956;5.952;9.496
5.562;5.042;6.076;9.658
5.658;5.003;5.827;9.540
5.562;4.994;5.837;9.484
5.639;5.032;5.961;9.626
5.610;4.927;5.961;9.554
5.524;4.927;6.019;9.540
5.562;4.936;6.019;9.567
5.600;4.888;5.952;9.523
5.620;5.023;6.000;9.633
5.677;5.023;5.952;9.637
5.562;5.003;5.971;9.572
5.629;5.032;5.961;9.620
5.658;5.032;5.904;9.602
