x;y;z;a
9.537;-13.231;-14.964;22.134
7.430;10.606;9.323;15.956
7.133;4.984;2.140;8.961
4.921;5.683;6.641;10.031
6.328;5.999;3.404;9.361
6.462;5.128;3.711;9.046
6.549;5.971;3.663;9.589
6.376;5.616;4.027;9.403
6.549;5.463;4.333;9.566
6.472;5.530;4.037;9.421
6.520;5.540;4.084;9.480
6.415;5.492;4.151;9.410
6.434;5.492;4.257;9.470
6.415;5.396;4.305;9.423
6.462;5.386;4.180;9.394
6.472;5.396;4.295;9.458
6.405;5.348;4.238;9.359
6.462;5.444;4.199;9.436
6.568;5.473;4.075;9.470
6.520;5.463;4.171;9.474
6.472;5.444;4.238;9.459
6.453;5.501;4.238;9.480
6.453;5.377;4.161;9.374
6.491;5.444;4.219;9.464
6.434;5.415;4.132;9.370
