x;y;z;a;s
4.028816;-0.252592;8.354038;9.278207;possible fall detected
8.759816;-10.845592;5.212038;14.883769;shock T_DURATION: 400
8.356816;-2.493592;2.473038;9.064783;stasis
12.724816;-12.760592;5.883038;18.956893;stasis
8.069817;-3.834592;6.649038;11.137133;stasis
4.219816;-7.378592;2.531038;8.868856;stasis
4.008816;-14.771592;-1.528962;15.382076;stasis
4.391816;-8.527592;-0.915962;9.635707;stasis
1.921816;-8.412592;-2.218962;8.910043;stasis
1.882816;-9.753592;-2.562962;10.258963;stasis
0.656816;-8.987592;-3.443962;9.647232;stasis
0.599816;-8.699592;-3.827962;9.523443;stasis
0.886816;-9.197592;-3.424962;9.854568;stasis
0.407816;-9.600592;-5.225962;10.938389;stasis
