x;y;z;a;index
-2.7709;-5.2822;0.2927;5.972;0.0
-2.7709;-5.2822;0.2927;5.972;0.0
-2.7709;-5.2822;0.2927;5.972;0.0
-2.7709;-5.2822;0.2927;5.972;0.0
-2.7709;-5.2822;0.2927;5.972;0.0
-2.7709;-5.2822;0.2927;5.972;0.0
-2.7709;-5.2822;0.2927;5.972;0.0
-2.7709;-5.2822;0.2927;5.972;0.0
-2.7709;-5.2822;0.2927;5.972;0.0
-2.7709;-5.2822;0.2927;5.972;0.0
-13.6119;-20.7392;-7.0043;25.7771;20.2409
-6.5439;-2.2552;-7.9613;10.5495;28.3235
-4.3599;-4.9752;-2.5023;7.0727;29.055
-10.6239;-8.3082;-7.2533;15.3136;30.2838
-9.0529;-4.2472;-5.8543;11.5874;30.6272
-3.0199;-1.1642;-2.0433;3.8276;31.5983
-8.3059;-8.2122;-5.2613;12.8106;32.961
-8.3059;-8.2122;-5.2613;12.8106;32.961
-8.3059;-8.2122;-5.2613;12.8106;32.961
-8.3059;-8.2122;-5.2613;12.8106;32.961
-8.3059;-8.2122;-5.2613;12.8106;32.961
-8.3059;-8.2122;-5.2613;12.8106;32.961
-8.3059;-8.2122;-5.2613;12.8106;32.961
-8.3059;-8.2122;-5.2613;12.8106;32.961
-8.3059;-8.2122;-5.2613;12.8106;32.961
-8.3059;-8.2122;-5.2613;12.8106;32.961
-8.3059;-8.2122;-5.2613;12.8106;32.961
-8.3059;-8.2122;-5.2613;12.8106;32.961
-8.3059;-8.2122;-5.2613;12.8106;32.961
-8.3059;-8.2122;-5.2613;12.8106;26.0141
-8.3059;-8.2122;-5.2613;12.8106;16.8583
-8.3059;-8.2122;-5.2613;12.8106;15.5638
-8.3059;-8.2122;-5.2613;12.8106;13.0121
-8.3059;-8.2122;-5.2613;12.8106;12.1818
-8.3059;-8.2122;-5.2613;12.8106;9.3793
-8.3059;-8.2122;-5.2613;12.8106;0.0
